Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
98,19,17,3,2,3,2,12,28,15,29,19,7,9,7,0
109,19,23,4,37,4,3,12,34,15,28,24,7,10,8,0
111,20,20,5,38,5,3,12,35,16,30,22,9,8,9,0
118,20,23,4,3,5,3,13,40,15,30,25,8,14,9,0
110,19,20,4,38,5,3,12,35,16,29,21,9,9,9,0
149,21,27,4,2,5,5,14,57,17,31,30,10,13,10,0
101,18,19,4,37,3,3,12,30,15,28,20,7,9,8,0
106,19,19,4,2,4,3,13,32,15,28,21,8,9,8,0
104,19,18,4,38,4,3,13,33,15,28,20,7,8,8,0
106,20,19,4,37,4,3,13,33,16,29,21,8,9,8,0
110,32,17,4,37,3,3,10,30,15,42,18,7,9,7,0
109,19,26,3,38,4,3,12,31,15,28,27,14,9,8,0
109,23,19,4,2,4,3,12,32,20,33,21,8,8,8,0
108,19,20,4,38,4,3,12,34,16,29,21,8,8,8,0
116,20,19,4,38,4,3,12,41,16,29,21,17,9,16,0
138,23,24,5,4,6,4,15,47,18,36,26,11,12,12,0
110,20,20,4,38,5,3,13,35,16,30,22,8,9,8,0
109,19,19,4,3,4,3,13,36,16,29,20,9,9,9,0
110,19,19,5,38,5,2,13,37,15,29,21,8,9,9,0
114,19,19,4,2,4,3,13,40,15,29,21,8,15,9,0
142,24,27,5,38,6,5,15,45,21,37,30,11,12,12,0
109,17,18,4,3,4,3,17,33,15,28,20,8,9,9,0
102,19,18,3,37,3,2,12,31,15,28,19,7,10,8,0
120,18,26,6,3,5,3,18,39,15,28,28,8,10,8,0
141,22,20,20,37,3,2,13,64,19,31,22,7,25,8,1
142,25,25,5,40,6,4,15,46,20,37,28,10,14,10,0
155,19,31,5,38,4,3,13,58,16,29,32,53,9,31,2
120,20,20,4,38,5,3,14,41,16,30,22,9,12,10,0
164,30,29,7,4,6,6,19,52,23,44,32,12,13,12,0
161,27,31,7,39,6,5,17,54,22,42,34,11,14,13,0
216,31,44,7,4,6,5,18,77,26,46,47,57,14,35,2
125,21,22,4,38,5,3,14,40,16,34,24,9,11,9,0
119,24,19,5,3,4,3,12,35,16,34,21,8,9,9,0
105,19,18,4,37,4,2,13,33,16,28,20,7,9,8,0
108,19,19,3,2,4,3,13,35,17,29,21,8,10,9,0
120,19,20,5,3,10,3,13,44,15,29,21,9,10,11,0
108,18,25,3,2,3,2,15,30,21,28,26,7,9,8,0
111,21,22,4,3,3,3,13,33,19,30,23,8,9,8,0
113,23,23,3,37,3,3,13,31,15,32,25,8,9,8,0
110,19,21,4,3,5,3,14,36,16,28,23,8,10,9,0
147,25,31,4,3,6,4,15,44,20,38,33,10,11,12,0
143,20,20,20,38,4,3,13,68,16,29,22,8,26,8,1
150,18,30,4,38,5,2,13,56,15,27,32,53,9,31,2
107,19,19,5,3,4,3,12,34,16,29,20,8,9,9,0
102,16,17,5,2,4,2,10,40,13,24,18,8,10,9,0
110,19,19,4,2,4,3,14,35,15,29,20,8,10,8,0
149,28,23,5,3,6,4,16,46,21,48,26,10,12,12,0
103,16,22,4,1,3,3,11,29,15,25,24,7,8,7,0
109,19,20,4,38,4,3,12,34,16,29,21,7,9,8,0
115,25,18,6,3,4,2,13,36,16,35,20,8,9,9,0
137,22,23,5,38,5,4,15,46,18,39,25,9,11,10,0
139,22,29,5,39,5,4,15,43,18,35,31,10,11,12,0
140,23,20,20,3,4,3,13,64,15,32,22,8,24,7,1
106,20,19,4,3,4,3,13,32,17,30,21,7,9,8,0
102,20,16,4,3,5,2,10,36,14,29,18,7,9,9,0
110,19,19,4,3,4,3,14,37,15,28,20,8,11,9,0
101,18,19,3,2,3,3,12,30,15,26,21,8,8,8,0
110,20,19,4,2,4,3,13,33,15,29,21,8,9,8,0
112,20,19,4,38,5,3,13,36,16,30,21,9,10,9,0
163,24,37,4,38,4,9,13,56,16,33,39,52,9,30,2
102,18,20,3,3,4,3,13,29,15,27,22,7,8,6,0
173,20,34,4,3,6,3,15,64,16,32,37,55,10,32,2
139,20,19,20,37,4,3,13,66,15,29,20,8,26,8,1
108,18,24,4,3,4,8,13,32,14,27,25,7,9,7,0
131,16,19,20,37,3,3,12,63,14,25,21,7,24,8,1
117,19,21,5,3,5,4,14,39,15,29,23,8,10,9,0
162,29,38,5,38,6,4,15,51,25,42,40,17,10,12,0
120,20,25,4,2,4,3,18,39,16,30,27,13,9,13,0
164,20,31,4,38,5,3,12,57,16,30,33,53,9,31,2
207,31,39,10,39,8,3,14,77,23,46,43,55,12,34,2
116,21,20,4,37,4,2,18,36,17,34,22,7,14,7,0
109,18,18,5,38,5,3,11,37,14,30,21,8,9,9,0
140,22,24,5,38,5,4,15,51,18,34,26,11,10,12,0
115,24,17,5,2,5,2,12,38,15,35,19,8,10,9,0
114,20,22,5,3,4,3,13,35,16,30,24,9,10,8,0
155,20,30,4,3,4,3,13,58,16,29,32,53,10,31,2
115,20,19,5,38,4,3,12,41,16,29,21,8,9,9,0
115,19,18,4,38,6,2,11,38,15,35,20,8,9,9,0
124,19,22,5,3,6,3,14,45,14,30,24,11,11,11,0
116,24,20,5,38,5,3,12,36,16,35,22,9,9,9,0
136,26,24,5,3,6,4,15,43,21,39,26,11,11,11,0
107,18,19,4,38,3,3,13,36,16,28,21,7,9,8,0
177,23,33,5,38,5,4,16,65,18,35,35,55,11,33,2
111,18,19,3,3,5,3,12,36,14,29,21,8,10,9,0
142,19,20,21,2,4,3,14,67,16,29,22,8,25,9,1
114,19,17,4,37,4,2,12,39,15,33,19,13,9,15,0
145,19,19,21,38,4,3,13,69,15,31,21,8,26,9,1
111,20,17,5,3,4,2,12,35,16,30,19,7,8,9,0
104,18,18,4,38,4,3,12,33,15,28,20,8,9,8,0
195,30,37,5,2,6,4,20,65,25,46,39,55,12,33,2
114,20,20,4,3,5,3,13,37,17,30,22,8,10,9,0
111,20,19,4,38,4,3,12,39,15,29,20,7,15,8,0
110,20,19,5,38,5,3,13,37,16,29,21,8,9,9,0
115,19,19,4,3,5,3,13,35,16,35,20,8,9,8,0
142,20,18,20,3,4,2,12,67,16,32,19,8,25,9,1
111,19,24,4,3,4,8,12,33,15,28,26,7,9,8,0
113,18,19,4,3,4,3,12,35,15,29,20,8,8,8,0
120,22,21,5,3,5,4,13,38,16,33,23,8,10,9,0
107,17,22,4,2,4,5,14,34,14,26,23,9,8,9,0
148,19,18,21,37,4,2,19,68,15,31,20,8,26,9,1
136,22,29,4,2,5,3,14,39,22,34,31,9,9,10,0
110,21,20,4,37,4,3,13,33,18,30,22,8,9,8,0
109,19,19,4,37,3,3,13,34,15,30,21,7,10,9,0
110,20,20,4,38,5,3,12,33,16,30,22,8,8,8,0
118,21,18,5,3,5,3,15,39,16,32,20,9,10,10,0
116,18,20,4,41,5,3,12,37,15,33,22,8,8,10,0
163,34,24,4,38,6,4,16,51,28,49,32,10,18,11,0
123,22,20,5,38,4,3,14,37,17,39,21,8,10,8,0
110,18,24,4,2,4,3,13,33,20,27,26,8,9,9,0
112,20,21,4,38,5,2,13,35,15,30,23,9,9,10,0
117,20,25,4,38,4,3,13,36,16,31,27,13,10,8,0
