Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
162,28,25,6,38,5,4,18,50,22,42,28,11,13,13,0
141,31,29,15,4,5,3,11,47,15,40,31,8,9,9,1
168,20,24,5,38,5,3,12,65,15,49,25,23,26,17,2
107,19,18,4,38,4,3,12,34,15,29,20,8,10,8,0
102,19,16,4,2,4,2,12,32,15,28,18,7,8,8,0
117,20,22,4,2,5,6,12,38,15,32,23,9,9,11,0
115,19,24,3,37,3,3,12,35,16,31,25,7,13,8,0
128,23,20,6,3,5,3,14,43,17,35,22,10,10,11,0
103,18,19,4,2,4,3,12,32,15,27,21,8,9,8,0
119,18,28,4,38,5,3,11,39,15,27,29,8,9,9,0
161,36,31,16,2,5,3,14,51,19,50,33,9,11,10,1
113,28,19,3,2,4,3,13,30,14,37,21,8,9,8,0
154,32,32,15,4,4,3,12,45,15,47,34,8,10,8,1
124,19,19,4,38,5,3,17,40,15,29,21,12,8,13,0
103,19,19,3,37,4,3,13,31,15,27,21,9,8,9,0
110,19,22,3,38,4,2,13,34,16,27,23,9,8,10,0
119,21,21,4,38,4,3,14,38,17,31,23,8,11,8,0
110,20,19,5,2,4,3,13,34,16,30,21,8,9,9,0
131,22,22,6,3,5,4,15,44,17,34,24,11,11,12,0
119,26,18,5,2,5,3,13,36,21,38,21,8,9,10,0
168,36,32,16,38,4,3,15,53,19,48,34,11,11,11,1
98,18,19,3,38,3,3,11,25,15,27,21,8,6,7,0
105,20,19,4,37,4,3,12,32,15,29,20,8,9,8,0
108,19,19,4,3,4,3,13,34,16,29,21,7,9,8,0
104,18,16,4,2,3,2,11,36,15,27,18,7,13,8,0
137,22,24,5,3,5,4,17,43,18,34,26,10,13,10,0
174,23,23,5,2,5,3,12,66,16,54,25,27,27,19,2
124,24,21,5,3,5,3,14,37,18,37,23,9,9,9,0
124,23,22,4,38,5,3,15,40,19,34,24,9,11,10,0
111,22,19,5,2,4,3,12,34,15,32,21,8,9,8,0
115,22,22,4,2,3,3,14,33,20,32,24,8,9,8,0
145,25,25,5,38,6,4,15,44,19,46,28,9,11,11,0
110,19,19,4,2,4,2,17,32,15,28,21,8,9,8,0
104,19,17,3,2,3,2,13,31,15,29,18,7,8,8,0
169,20,25,5,3,5,3,14,63,17,49,27,26,27,18,2
98,18,19,3,2,3,3,12,28,14,28,20,7,7,7,0
104,19,19,3,2,4,3,12,32,15,29,21,8,9,9,0
146,37,29,14,37,4,3,13,45,15,46,30,8,9,10,1
135,25,22,5,39,5,4,15,43,19,37,25,11,11,12,0
164,34,31,16,39,5,3,15,56,16,47,33,12,11,13,1
147,26,26,7,39,6,3,15,50,21,39,28,10,11,13,0
215,25,33,7,4,7,5,18,80,20,59,36,29,30,22,2
106,21,19,4,38,4,3,13,31,17,30,21,7,8,8,0
181,21,28,6,3,5,4,14,66,18,51,30,25,27,18,2
114,21,20,4,2,5,3,12,38,17,31,21,8,9,11,0
116,18,26,4,37,3,4,12,37,16,27,28,9,12,9,0
107,18,20,5,3,4,3,11,39,15,26,21,7,9,7,0
108,19,19,5,3,4,3,12,35,15,28,21,9,9,9,0
111,20,19,4,2,4,3,12,35,16,31,21,9,9,9,0
111,18,26,5,37,4,2,12,35,14,26,28,8,9,8,0
141,33,28,15,38,4,3,14,43,17,42,29,7,8,8,1
127,23,21,6,3,5,3,12,43,17,36,23,9,10,11,0
176,38,36,15,3,5,4,15,53,20,52,38,12,11,11,1
107,20,17,4,3,5,3,11,36,15,30,19,8,9,8,0
112,22,20,4,38,4,3,13,34,19,32,22,8,9,9,0
115,20,21,4,3,5,3,13,37,16,31,22,9,9,9,0
106,19,19,4,2,4,2,11,32,15,29,21,7,9,8,0
111,21,19,4,38,4,3,13,34,16,31,21,8,9,8,0
139,19,23,5,3,5,4,20,39,15,43,25,11,10,9,0
164,20,23,4,37,4,2,13,59,16,51,25,24,25,16,2
109,19,19,4,38,4,3,12,34,15,31,21,8,10,8,0
169,29,31,7,39,7,6,18,53,21,45,34,12,14,13,0
155,28,27,4,3,18,4,15,53,22,42,30,10,11,10,0
114,19,21,5,38,4,3,12,40,16,29,22,8,13,9,0
136,22,24,6,39,5,4,16,44,18,36,27,11,10,12,0
120,22,22,6,39,5,3,12,39,19,32,24,9,9,10,0
109,20,15,4,38,4,2,11,40,15,31,16,7,8,8,0
111,19,22,4,3,4,3,12,35,17,29,24,9,9,10,0
139,33,27,15,3,4,2,12,43,16,43,29,8,9,9,1
114,19,19,4,38,4,3,17,33,16,29,21,8,8,8,0
112,19,20,4,38,4,3,13,36,16,29,22,9,9,9,0
198,26,31,6,38,5,4,15,70,20,58,34,27,27,19,2
118,20,19,4,38,4,2,12,33,16,29,21,8,8,9,0
110,19,21,4,38,5,3,13,35,17,29,22,8,9,9,0
124,28,21,4,38,5,3,14,37,17,39,23,8,10,9,0
109,21,19,5,2,4,3,12,33,15,32,21,8,9,8,0
122,21,22,5,3,4,3,14,37,17,30,24,9,10,9,0
119,21,22,5,3,4,3,15,39,17,31,23,10,12,9,0
179,36,36,16,4,7,4,17,59,19,50,38,12,12,13,1
110,24,19,4,38,4,3,12,33,15,33,20,8,9,8,0
111,20,18,5,38,4,3,10,35,15,29,20,9,8,10,0
118,26,21,4,38,4,2,13,33,23,37,23,8,9,8,0
171,21,27,5,38,5,3,13,62,17,51,30,25,25,17,2
111,18,19,4,1,4,3,16,34,15,28,21,9,9,10,0
127,26,22,4,39,5,3,16,39,16,37,24,9,11,9,0
108,21,19,4,38,4,3,12,34,17,30,21,8,9,8,0
164,26,28,6,3,7,4,16,60,22,41,31,12,12,13,0
119,21,21,4,38,6,3,12,40,18,31,23,9,10,10,0
117,20,19,4,37,4,3,13,41,16,32,21,8,15,8,0
163,22,21,4,38,5,3,12,62,15,51,23,24,26,18,2
106,18,19,4,2,4,3,12,32,15,30,21,8,8,8,0
165,19,24,4,38,5,3,13,63,15,47,26,26,27,18,2
120,21,21,5,38,5,4,13,40,17,32,23,8,10,10,0
108,19,17,4,2,4,2,16,32,15,29,19,8,8,9,0
131,22,22,5,38,5,4,16,43,16,35,24,10,11,10,0
115,23,22,5,3,4,3,13,35,19,33,24,8,9,9,0
117,19,21,4,38,4,3,12,40,15,28,25,9,11,10,0
120,20,26,5,38,5,3,12,36,17,31,28,9,9,9,0
128,22,23,5,3,5,4,14,44,16,34,25,11,12,12,0
163,20,24,4,4,5,3,14,60,16,49,25,24,26,16,2
97,17,17,4,3,4,2,11,34,14,24,19,8,9,9,0
119,21,20,4,43,4,3,13,37,17,31,22,8,10,10,0
121,19,25,4,37,4,2,13,35,16,30,27,7,11,8,0
110,20,20,4,2,3,2,12,34,17,30,21,8,9,9,0
107,21,19,4,43,4,3,12,31,16,32,21,7,9,8,0
111,19,18,4,37,4,2,13,39,15,29,20,7,14,8,0
118,21,21,4,2,5,3,14,38,17,31,23,9,11,9,0
116,20,20,5,38,5,3,13,39,16,30,22,8,10,9,0
156,33,29,24,38,5,3,12,55,16,43,31,8,9,9,1
167,16,22,3,53,4,3,11,73,13,44,23,23,24,14,2
