Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
102,17,18,4,3,4,3,13,33,14,26,19,8,9,8,0
155,19,22,5,37,29,3,29,67,16,29,24,8,13,10,1
154,18,21,5,38,4,3,37,64,14,28,23,8,14,8,2
106,20,18,4,2,3,2,13,33,16,29,20,8,9,8,0
119,20,21,5,38,4,3,14,38,15,32,22,9,10,9,0
163,22,24,5,3,29,3,31,66,17,35,25,8,14,9,1
136,23,20,6,3,5,2,16,46,18,36,23,10,12,12,0
117,21,21,6,38,5,3,13,39,18,30,23,9,10,9,0
154,19,21,4,2,34,2,31,66,15,29,23,8,12,9,1
108,18,20,5,3,4,3,12,36,15,28,21,8,10,8,0
109,18,19,5,38,4,3,13,36,15,28,21,7,10,8,0
107,20,20,4,2,4,3,12,32,14,29,23,7,8,8,0
113,25,20,4,37,5,2,13,34,18,35,22,7,10,8,0
110,19,20,4,39,4,4,12,36,16,28,21,9,9,10,0
152,20,22,4,38,28,3,30,63,17,30,24,8,14,8,1
103,18,19,4,2,4,3,12,33,14,27,20,8,10,8,0
107,20,19,4,3,4,3,13,33,17,30,21,7,9,8,0
108,20,18,4,37,3,3,13,33,15,30,20,7,10,9,0
113,25,19,4,3,4,3,12,33,15,35,20,8,9,8,0
137,25,25,5,3,6,4,15,44,20,37,27,11,11,11,0
181,21,25,6,3,6,3,40,72,16,38,28,10,16,10,2
137,23,27,6,3,5,4,15,46,17,35,29,10,11,12,0
106,19,19,5,38,4,3,13,33,15,29,21,8,8,8,0
101,16,19,4,2,4,3,12,32,14,25,21,8,8,8,0
120,20,24,4,2,5,2,13,40,16,30,25,8,14,9,0
161,20,23,5,3,29,3,31,67,16,31,25,9,15,10,1
213,28,33,8,4,7,5,43,84,23,42,37,12,19,12,2
147,25,25,7,3,7,4,15,49,19,38,28,12,11,12,0
111,18,24,4,37,3,2,13,31,15,28,26,8,9,8,0
154,23,33,7,4,6,4,17,49,19,37,36,13,11,12,0
174,33,31,7,4,7,5,20,53,21,47,35,13,13,13,0
106,18,19,5,38,4,3,13,34,15,27,21,8,9,8,0
102,19,16,4,37,4,2,13,31,15,28,18,7,9,8,0
103,18,19,4,2,3,3,12,32,15,28,21,7,9,8,0
102,19,18,4,2,4,2,14,31,14,28,19,7,9,7,0
124,26,19,5,38,6,2,13,41,23,37,21,9,10,10,0
131,23,22,6,38,5,3,16,44,18,35,24,10,12,10,0
95,16,20,3,2,3,3,13,27,13,23,21,7,8,7,0
111,20,19,5,38,3,3,13,34,16,30,21,8,10,8,0
106,19,19,3,2,3,3,13,30,16,28,21,7,9,8,0
221,30,38,7,39,31,4,35,85,27,47,41,13,19,14,1
107,18,19,4,3,4,3,14,35,15,27,20,8,9,9,0
97,16,18,3,38,4,3,12,30,14,25,19,7,9,7,0
179,29,29,12,4,6,5,18,60,23,44,33,12,13,14,0
118,20,19,5,38,6,2,14,39,15,32,20,9,10,10,0
107,19,18,4,2,3,3,12,30,15,29,20,7,9,6,0
110,19,19,5,38,6,2,12,40,16,28,21,8,10,10,0
159,18,29,5,37,29,2,30,65,15,27,31,8,14,10,1
117,21,19,4,38,4,2,13,33,17,34,27,7,8,8,0
128,22,23,5,39,5,3,14,41,17,34,25,9,11,9,0
135,25,21,6,4,6,3,15,45,19,38,23,9,11,11,0
163,28,22,4,2,4,3,39,63,15,38,23,8,16,8,2
132,21,20,5,5,5,3,21,44,16,32,22,10,12,12,0
154,20,23,4,3,3,3,38,61,16,29,24,8,15,8,2
110,24,19,4,2,4,2,13,34,15,34,20,7,9,8,0
153,20,22,5,38,29,3,30,65,17,29,24,8,14,9,1
191,26,30,6,4,31,4,35,77,20,38,33,12,17,12,1
113,20,20,6,38,4,3,14,36,17,30,22,8,10,9,0
105,19,18,4,38,4,3,13,33,15,28,20,8,9,8,0
115,25,19,4,37,3,3,22,38,21,33,20,7,17,7,0
112,24,19,5,2,5,3,12,34,16,34,20,7,8,8,0
114,19,20,5,3,5,3,14,38,15,28,22,9,10,9,0
167,19,23,5,3,6,3,38,71,15,29,25,9,16,11,2
163,20,23,5,38,5,3,38,70,17,29,25,8,15,9,2
111,20,20,4,38,5,3,13,35,16,31,21,8,9,9,0
151,17,24,3,38,4,2,39,62,14,27,25,7,15,8,2
111,19,19,4,3,5,3,14,36,16,29,21,8,10,9,0
114,20,20,5,3,4,3,13,37,16,30,21,8,10,9,0
116,21,19,4,3,4,3,14,34,16,31,21,8,10,8,0
124,21,22,5,4,5,3,14,40,16,32,24,10,11,10,0
175,23,26,5,2,29,3,36,71,18,35,28,10,16,10,1
157,21,22,4,37,4,3,36,64,16,32,23,7,15,8,2
113,18,20,5,3,5,3,11,39,15,28,21,9,10,11,0
106,20,19,4,2,4,3,13,33,15,29,20,8,8,9,0
108,18,19,4,38,4,3,14,34,15,28,21,8,10,8,0
115,19,21,5,38,6,3,12,36,16,31,22,7,8,8,0
108,19,19,4,37,4,3,14,34,15,29,20,8,10,8,0
105,20,15,5,38,5,2,10,38,14,30,16,8,9,9,0
107,19,19,4,2,4,3,12,33,16,29,21,7,9,8,0
184,21,28,6,38,5,3,45,76,17,33,30,10,19,10,2
111,19,19,5,43,4,3,17,38,16,29,21,7,13,8,0
109,19,17,4,2,4,2,13,36,15,31,19,7,10,8,0
202,28,28,5,4,6,3,41,81,21,42,31,10,18,15,2
104,19,17,4,38,4,2,12,36,14,28,18,8,9,9,0
112,19,20,4,3,4,2,12,34,15,32,22,8,9,9,0
163,20,26,5,38,30,3,30,69,16,31,28,9,14,9,1
107,24,19,4,2,3,2,12,30,21,34,20,7,9,8,0
101,18,18,3,38,4,3,13,29,15,28,20,7,9,6,0
98,17,15,4,2,3,2,13,31,13,25,18,7,9,7,0
121,21,21,5,3,5,3,13,39,17,35,23,9,11,9,0
169,27,30,8,39,7,5,17,54,22,41,32,13,13,14,0
114,20,20,5,38,5,3,12,35,17,31,22,8,8,8,0
96,17,18,4,37,3,2,12,27,15,26,19,6,7,6,0
105,19,19,4,37,4,3,12,33,16,29,20,8,9,8,0
118,20,22,5,38,5,3,13,37,18,29,24,8,10,8,0
113,20,19,5,38,5,3,14,37,16,30,21,8,10,9,0
105,19,19,4,2,3,2,13,32,15,29,20,7,10,7,0
112,19,20,4,39,5,3,11,41,14,29,21,8,9,14,0
126,21,21,5,37,5,3,14,39,16,33,23,9,11,10,0
134,20,21,5,2,5,3,16,51,15,32,23,20,11,20,0
111,21,19,5,2,5,3,12,37,15,31,21,8,9,10,0
160,19,27,4,2,4,2,38,63,15,29,28,8,15,8,2
101,19,18,4,2,3,2,12,31,15,28,20,7,8,7,0
107,18,19,4,38,5,3,12,35,15,28,21,7,9,9,0
157,18,23,5,3,4,3,38,65,15,27,25,9,16,8,2
115,20,19,5,3,5,3,13,38,16,31,21,8,10,9,0
107,19,19,4,4,3,3,14,33,16,29,20,8,10,8,0
112,19,23,4,2,4,3,13,34,17,29,25,9,8,9,0
107,20,19,4,2,4,3,12,33,17,29,21,7,9,8,0
189,22,26,6,3,5,3,42,82,18,33,28,11,23,12,2
102,19,17,4,2,3,3,13,31,15,28,18,7,8,8,0
104,17,20,3,2,3,3,18,29,15,25,21,7,9,7,0
104,19,17,4,37,4,2,12,32,15,30,19,7,9,8,0
158,19,22,5,37,4,3,39,66,15,28,24,8,16,9,2
111,19,25,4,37,4,3,18,33,16,28,26,7,9,8,0
152,18,21,4,2,28,3,31,65,15,28,22,8,17,8,1
141,23,26,6,38,6,4,13,44,19,35,28,11,10,11,0
106,20,17,5,38,5,3,11,37,16,29,19,8,10,9,0
170,31,33,7,5,6,6,19,50,24,46,36,11,13,11,0
106,19,20,5,2,4,3,13,33,17,29,21,7,9,8,0
128,21,21,5,3,5,3,16,45,16,32,23,10,12,10,0
182,23,24,5,3,30,3,33,74,18,35,27,17,15,13,1
150,19,21,4,3,28,3,31,64,15,29,23,8,15,8,1
165,20,23,5,38,4,3,39,68,16,31,25,9,16,9,2
105,18,18,5,3,4,3,12,35,14,28,20,7,9,8,0
142,26,24,6,3,6,3,15,47,20,40,27,11,11,12,0
176,19,21,6,3,4,3,37,73,15,38,23,7,23,9,2
181,27,19,5,38,30,3,31,80,19,38,21,10,17,17,1
132,21,20,6,38,5,3,21,43,15,33,22,9,11,11,0
99,17,15,4,2,3,2,12,33,12,26,16,7,9,8,0
168,20,23,5,3,30,3,38,70,16,30,25,9,15,10,1
139,24,23,6,3,6,3,16,49,19,35,25,11,13,12,0
111,20,19,5,3,4,3,14,35,16,30,21,8,9,8,0
152,30,31,6,38,6,6,16,47,24,43,33,12,11,12,0
115,24,20,5,38,5,3,12,36,16,34,21,8,9,9,0
109,18,18,4,2,4,2,13,33,15,27,25,7,9,8,0
168,21,24,6,38,5,3,38,71,17,31,25,9,17,10,2
109,18,26,3,2,3,3,14,30,22,28,27,8,8,8,0
111,20,20,5,3,5,3,13,35,16,30,21,8,9,8,0
103,18,19,4,2,4,2,13,32,16,27,21,8,9,8,0
114,19,19,5,3,4,2,14,39,15,28,21,8,10,10,0
119,20,20,5,3,5,3,13,41,16,31,22,9,10,11,0
115,23,18,3,37,4,2,12,39,20,32,20,7,9,8,0
129,19,28,4,38,4,3,18,36,15,29,30,9,9,9,0
119,21,17,4,3,5,3,12,42,13,36,19,11,10,13,0
101,19,18,4,37,3,2,13,30,14,28,19,7,9,8,0
110,25,19,4,2,4,3,11,34,17,34,21,8,10,9,0
156,19,23,4,2,4,3,39,64,16,28,24,7,16,8,2
169,21,24,5,3,29,3,34,70,16,33,26,10,15,11,1
113,19,24,4,2,3,3,12,34,16,28,26,9,9,9,0
162,20,22,6,3,4,3,38,67,16,30,24,8,16,8,2
107,18,19,4,2,4,3,13,33,15,28,21,8,8,9,0
119,20,24,5,3,5,3,13,38,21,30,26,8,10,8,0
101,17,20,4,3,4,1,12,31,15,25,22,6,8,7,0
134,23,21,6,3,7,3,18,45,18,35,23,10,12,11,0
108,19,20,4,38,4,3,12,34,16,29,22,8,9,9,0
109,20,20,4,3,4,3,13,34,16,30,21,8,10,9,0
154,19,20,4,37,28,2,30,68,16,31,21,8,13,14,1
176,29,30,8,4,6,5,20,53,22,43,33,11,14,12,0
140,24,24,5,3,5,3,14,44,18,39,26,10,12,10,0
197,23,38,6,37,5,4,42,76,27,35,40,10,18,13,2
133,26,20,5,3,5,3,14,46,19,39,22,10,11,11,0
175,22,24,5,38,29,3,33,72,17,33,26,11,16,12,1
161,18,29,4,38,3,3,38,63,14,27,31,8,15,9,2
106,19,19,4,38,3,3,13,32,16,29,21,7,9,8,0
123,18,20,5,38,5,3,13,40,15,29,21,8,10,10,0
115,20,18,5,2,5,3,14,36,16,34,20,8,9,9,0
156,21,21,4,37,3,2,38,62,16,31,23,8,15,8,2
167,20,24,5,3,6,3,37,70,16,30,26,8,16,9,2
117,18,24,4,38,4,3,12,34,15,29,26,13,9,9,0
95,18,15,3,2,4,2,10,31,13,28,16,7,9,8,0
152,22,22,4,37,28,3,30,61,16,32,24,8,13,9,1
135,19,25,5,4,5,3,18,40,16,36,27,9,9,10,0
107,20,18,5,38,4,3,12,32,15,30,21,9,7,9,0
109,21,18,4,2,4,2,13,35,16,30,20,8,9,8,0
169,22,24,5,3,30,4,32,71,17,33,26,9,15,10,1
111,24,19,4,38,4,3,13,34,15,33,21,8,9,8,0
106,19,20,4,38,4,3,12,33,15,28,21,8,9,8,0
108,20,19,5,3,4,3,12,35,17,30,20,7,9,8,0
122,19,28,5,4,5,3,13,37,15,29,30,15,9,9,0
112,19,19,5,3,5,2,13,37,14,28,21,8,10,9,0
106,18,18,5,2,4,2,11,37,15,27,20,8,9,7,0
149,25,23,6,38,6,3,15,47,19,49,25,10,12,11,0
174,31,28,7,4,6,4,20,58,22,46,31,13,15,15,0
156,20,22,5,38,29,3,30,67,16,30,23,9,15,9,1
108,17,19,4,38,4,3,14,34,16,28,21,8,10,8,0
111,19,18,5,38,5,2,14,38,15,28,20,9,10,9,0
106,19,20,4,38,4,3,13,33,15,28,21,8,9,8,0
164,30,31,7,39,6,5,17,54,23,44,34,13,13,14,0
176,26,19,5,3,6,2,38,77,19,38,20,9,17,13,2
108,20,20,5,38,3,3,12,34,17,29,21,8,9,8,0
110,20,18,9,37,4,3,14,36,16,29,20,7,8,8,0
109,19,19,6,37,4,3,13,36,15,28,21,8,9,8,0
126,23,22,6,38,5,3,13,41,18,35,24,9,10,10,0
110,18,20,5,38,5,3,12,39,14,27,21,9,10,10,0
111,18,20,5,38,5,3,13,38,15,27,22,9,10,9,0
225,29,34,8,4,7,4,45,91,22,44,37,14,22,15,2
116,18,19,6,38,5,3,12,38,15,33,21,11,9,10,0
144,25,24,6,4,5,3,17,47,19,40,26,11,13,12,0
112,20,18,3,37,4,2,12,31,15,37,20,8,8,8,0
122,20,20,5,3,5,3,15,41,16,31,22,11,10,12,0
109,20,19,4,3,4,3,12,34,16,29,21,8,9,8,0
109,25,18,3,37,4,2,13,31,16,34,20,7,9,8,0
149,17,21,4,3,4,3,38,63,14,25,23,8,15,8,2
134,22,22,7,3,5,3,16,47,17,34,24,10,12,11,0
117,18,32,4,38,4,3,12,32,25,28,34,9,8,8,0
108,20,20,4,38,4,3,12,33,17,30,21,7,9,8,0
101,16,21,4,3,4,3,13,30,14,25,23,7,8,7,0
109,19,19,5,38,4,3,13,35,16,28,21,8,9,8,0
108,19,19,4,3,3,3,13,36,15,28,20,8,9,12,0
114,20,20,5,3,5,3,13,38,16,31,22,9,10,9,0
114,21,18,5,37,4,2,12,33,17,31,21,8,8,8,0
106,20,20,4,4,4,3,13,30,17,29,22,8,7,8,0
106,19,19,4,3,4,3,13,33,15,29,20,8,9,8,0
157,18,23,5,38,30,3,29,70,16,26,25,10,12,11,1
107,19,20,4,2,4,3,12,34,15,28,21,8,9,9,0
159,20,23,5,3,5,3,37,66,16,29,24,8,15,9,2
108,22,19,4,37,3,3,14,31,15,32,20,8,9,8,0
168,21,24,5,38,29,3,36,67,17,32,25,9,14,10,1
118,20,21,5,38,5,3,14,38,16,30,24,8,10,10,0
111,18,21,4,38,4,3,13,36,16,28,22,8,10,9,0
98,17,18,5,3,4,2,11,33,13,25,19,7,9,8,0
121,20,20,5,39,5,3,14,42,15,30,21,10,10,11,0
147,18,21,5,2,28,2,31,61,15,27,23,6,13,8,1
118,24,20,5,38,5,3,14,37,16,34,21,8,10,9,0
106,20,18,5,38,3,3,12,32,16,30,20,8,8,8,0
103,18,17,4,3,5,3,12,34,14,29,19,8,9,9,0
145,25,27,6,39,6,4,18,47,20,37,29,10,13,11,0
111,19,24,5,38,4,3,12,34,21,28,26,8,9,9,0
161,16,25,4,37,3,2,37,71,14,24,26,8,16,8,2
212,27,32,7,38,6,4,44,82,21,42,35,12,19,13,2
108,20,20,4,2,4,3,12,33,17,29,22,7,8,8,0
102,18,19,4,37,4,2,13,31,15,27,20,7,9,7,0
146,19,21,4,3,28,3,29,59,16,30,23,7,12,8,1
145,25,27,6,3,6,4,16,48,21,38,29,12,12,12,0
106,19,19,4,38,5,3,12,33,15,29,20,7,9,7,0
116,19,25,4,2,4,3,13,34,16,30,27,8,9,8,0
111,19,23,4,38,4,3,13,34,16,29,24,7,9,9,0
111,19,19,5,38,5,3,13,36,16,30,21,8,10,9,0
107,20,18,3,2,3,2,13,35,16,29,19,7,8,8,0
105,19,19,5,2,4,3,13,31,15,28,20,7,9,7,0
116,20,22,5,8,3,3,12,33,16,29,24,7,8,8,0
106,19,19,4,2,3,3,13,33,16,28,20,8,9,8,0
101,17,20,4,37,4,3,13,32,14,25,21,8,9,7,0
112,20,18,4,2,4,3,14,32,15,34,20,7,9,8,0
159,23,22,5,38,29,2,29,66,18,33,24,8,14,9,1
150,17,27,3,37,28,3,30,59,14,26,29,8,12,8,1
105,19,18,4,2,4,2,12,32,17,29,20,7,8,8,0
118,29,19,5,3,5,3,12,37,15,39,20,8,9,9,0
113,20,20,5,38,4,3,14,37,16,30,22,8,10,9,0
110,18,18,10,37,4,3,13,39,15,27,20,8,9,8,0
111,19,19,4,38,4,3,13,37,16,29,21,8,9,9,0
112,19,21,5,3,4,3,13,37,15,28,23,9,10,9,0
103,19,18,4,3,4,3,12,33,15,28,20,7,9,8,0
106,19,18,4,37,4,3,13,33,16,29,20,7,9,8,0
110,19,19,4,37,3,3,12,32,16,34,21,8,9,8,0
124,20,20,5,38,5,3,13,39,16,29,22,9,10,10,0
105,15,21,4,37,3,3,13,33,15,27,22,12,7,12,0
105,18,17,5,38,5,3,15,36,14,26,18,8,10,9,0
167,27,31,8,4,7,5,19,56,21,41,33,13,15,13,0
110,18,19,4,38,4,3,13,32,15,28,21,8,8,8,0
148,26,23,8,39,6,5,16,52,20,39,25,10,13,12,0
111,18,22,4,37,4,2,11,37,14,28,24,8,9,10,0
108,19,20,5,3,5,3,11,37,16,28,21,8,9,9,0
150,19,21,5,2,28,3,30,63,16,29,23,7,13,8,1
107,18,20,4,38,4,3,13,34,15,28,22,7,9,8,0
149,19,22,4,3,28,3,30,63,16,29,23,8,14,9,1
175,27,33,10,5,7,7,17,59,21,42,37,12,12,13,0
113,19,20,4,2,4,3,13,33,16,34,22,8,9,8,0
152,19,21,4,38,4,2,38,63,16,28,23,8,15,8,2
104,19,19,4,2,4,3,13,31,16,28,21,8,9,8,0
151,19,20,4,2,28,3,29,63,14,29,21,7,14,8,1
106,20,19,4,2,3,3,12,31,16,31,20,8,8,9,0
112,23,19,4,3,5,3,12,33,14,32,20,8,9,8,0
111,19,21,4,38,4,3,13,36,16,29,22,8,10,9,0
111,19,19,4,38,4,2,12,33,16,34,21,8,9,8,0
116,19,19,5,3,4,3,13,37,15,28,20,8,10,9,0
109,19,19,4,38,4,3,12,35,15,28,21,8,10,9,0
156,20,22,4,37,4,3,38,62,16,30,24,8,15,8,2
142,23,30,6,3,5,4,16,47,24,36,32,11,12,12,0
137,28,27,5,3,4,3,16,41,22,40,29,11,9,11,0
152,18,23,4,38,29,3,29,65,15,28,24,8,14,9,1
161,19,23,4,37,4,3,38,64,16,28,25,8,15,8,2
107,19,15,4,2,4,2,11,39,14,28,18,7,7,14,0
106,18,19,4,37,4,3,14,33,15,27,20,8,9,8,0
115,18,21,4,4,4,3,12,34,15,33,23,10,9,10,0
106,20,20,4,38,4,3,13,33,16,29,21,8,9,8,0
103,19,18,5,3,4,2,11,33,15,28,20,8,9,7,0
139,22,22,7,38,6,4,17,48,18,35,25,10,12,10,0
102,19,19,3,2,3,3,11,31,15,28,21,7,9,8,0
