Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
111,21,21,4,38,4,3,13,35,18,30,22,8,10,9,0
116,20,20,4,3,5,3,18,41,15,29,21,9,15,9,0
119,19,20,5,38,4,3,14,40,15,31,22,11,10,11,0
110,24,18,4,2,4,3,13,33,15,33,20,7,9,8,0
147,19,19,4,3,4,3,12,34,15,28,62,8,9,9,2
163,19,19,21,2,34,3,13,87,15,30,21,13,9,14,1
135,22,22,4,3,5,3,22,41,16,35,24,10,12,10,0
153,19,19,20,37,34,3,13,80,16,28,21,8,9,9,1
106,19,19,4,2,4,3,13,32,15,28,20,8,9,8,0
168,31,31,8,4,6,5,19,54,24,45,33,12,14,13,0
136,21,17,5,38,6,2,32,41,14,33,19,8,11,10,0
102,18,19,4,38,3,3,12,32,15,27,20,7,9,8,0
105,19,19,4,2,4,3,12,34,15,28,21,8,9,8,0
112,18,17,5,38,4,2,13,35,15,29,19,9,8,10,0
153,20,20,21,2,34,3,13,78,16,30,22,8,8,8,1
99,17,17,4,38,4,3,11,34,14,25,19,7,9,8,0
108,20,19,4,38,4,3,13,34,15,29,21,8,10,8,0
120,22,21,4,3,5,3,12,38,17,33,22,9,9,10,0
116,24,23,4,39,4,3,13,33,19,35,24,8,9,8,0
108,19,19,4,37,5,3,13,35,16,28,21,8,9,9,0
127,19,33,4,3,4,3,14,40,14,28,34,9,14,9,0
106,18,19,4,10,5,3,12,33,15,28,21,8,8,8,0
108,19,19,4,37,4,3,13,34,16,28,21,8,9,9,0
181,24,23,22,39,35,4,15,91,20,36,26,10,11,11,1
198,24,29,22,2,35,5,14,92,19,38,31,11,11,12,1
106,19,19,4,37,3,3,13,32,16,28,21,8,9,8,0
109,19,19,4,38,5,3,13,35,15,30,20,8,9,9,0
105,19,19,4,37,4,3,12,32,15,28,20,8,9,8,0
108,24,19,3,2,3,3,12,29,21,34,21,8,7,8,0
104,19,18,4,37,4,2,12,32,15,30,20,8,8,8,0
109,19,20,4,38,4,3,14,35,17,28,22,8,10,9,0
124,19,20,5,38,19,3,12,51,16,28,22,9,9,9,0
107,18,23,4,2,3,2,17,32,15,27,25,8,8,9,0
186,30,33,8,4,7,6,20,67,22,46,36,13,25,14,0
