Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
149,19,19,4,3,4,3,13,54,15,29,41,7,9,30,2
126,18,28,5,50,5,4,14,38,16,29,31,9,9,10,0
131,22,23,5,50,5,4,15,44,17,34,26,11,11,11,0
101,17,19,4,50,4,3,12,31,15,26,21,8,8,8,0
171,23,24,5,3,5,4,14,65,19,55,26,10,10,26,1
105,19,20,4,2,3,3,12,32,16,28,22,8,9,8,0
109,19,20,4,2,4,3,13,34,15,29,22,9,9,10,0
165,27,28,6,3,6,4,19,54,21,41,30,13,13,14,0
109,17,19,4,49,5,3,12,34,15,26,21,8,9,8,0
109,19,19,4,50,4,3,13,34,16,30,21,9,9,9,0
102,18,19,3,2,3,3,12,26,15,27,20,7,8,6,0
118,21,23,4,3,5,3,12,37,16,32,25,9,10,9,0
102,17,19,3,2,4,3,12,32,16,27,20,7,8,8,0
149,18,19,4,49,4,3,13,55,15,28,42,8,8,31,2
110,19,19,5,3,5,3,12,36,16,29,21,8,9,8,0
104,18,19,4,2,4,3,11,32,15,28,20,8,8,8,0
151,25,27,6,3,6,4,18,48,19,38,29,12,12,12,0
180,21,28,5,50,5,5,16,66,19,32,52,11,11,33,2
111,20,19,4,50,5,3,13,36,16,29,21,8,9,9,0
120,20,22,5,51,4,4,15,37,17,31,24,9,10,9,0
181,22,25,5,3,5,4,15,65,18,34,48,10,10,33,2
102,18,16,4,3,4,3,11,32,14,28,18,7,8,9,0
107,19,20,4,49,4,3,12,32,16,30,21,9,8,8,0
190,27,24,6,3,5,3,16,69,23,41,48,11,12,34,2
114,20,20,4,3,5,3,12,38,16,30,22,9,9,9,0
105,18,20,4,3,4,3,12,33,16,27,21,8,8,8,0
106,19,19,4,49,4,3,13,33,16,29,21,8,9,8,0
112,19,27,4,49,3,3,13,33,16,28,29,8,9,8,0
109,20,19,4,49,5,2,12,34,17,30,21,8,8,9,0
120,20,20,5,50,11,3,12,43,17,31,22,9,9,10,0
132,21,25,4,51,5,4,15,43,18,33,27,11,11,12,0
93,17,14,4,49,4,3,9,34,12,26,15,7,9,8,0
107,19,19,4,49,4,2,12,34,15,28,20,8,9,8,0
117,19,22,5,50,6,3,12,39,16,30,23,9,9,10,0
103,19,17,4,2,4,2,12,33,16,28,19,8,9,9,0
110,26,19,4,3,5,3,12,33,15,35,20,8,8,7,0
164,29,30,8,4,6,6,16,53,23,45,32,12,13,12,0
105,18,19,4,50,4,3,12,35,15,27,20,7,9,8,0
172,16,40,4,49,3,3,34,54,14,24,63,8,9,31,2
110,18,19,4,50,5,3,12,35,15,30,21,8,8,8,0
110,21,19,5,49,4,3,13,35,15,31,20,7,9,8,0
122,21,21,5,3,5,3,13,40,17,33,23,9,10,10,0
109,20,19,4,49,4,3,12,33,16,31,21,8,8,8,0
121,26,19,5,50,4,3,11,39,16,37,20,8,10,9,0
104,17,16,5,49,3,2,13,37,14,25,18,7,13,8,0
143,20,19,4,50,4,3,12,49,16,48,21,8,8,24,1
116,19,20,4,3,5,3,12,35,16,28,22,9,9,9,0
126,21,23,5,2,5,4,14,40,16,35,25,10,10,10,0
111,19,19,4,50,5,3,12,36,15,30,21,9,9,9,0
150,19,19,4,2,4,3,13,56,15,28,42,8,9,31,2
113,19,20,4,50,4,3,13,38,15,29,22,8,9,10,0
105,19,21,3,2,4,4,12,31,15,29,22,8,8,8,0
95,15,21,3,3,4,4,11,28,14,24,22,7,7,7,0
112,20,20,4,50,5,3,13,36,16,30,21,8,9,9,0
139,22,24,6,51,4,4,18,45,17,35,26,13,12,15,0
127,20,22,5,2,6,3,14,44,16,32,24,10,11,12,0
103,17,17,5,50,5,3,12,35,13,27,19,8,8,9,0
129,21,22,5,2,5,4,15,42,16,34,25,9,12,11,0
113,19,20,5,50,5,3,12,37,16,29,22,8,9,9,0
143,18,19,5,50,4,3,12,51,15,46,21,8,9,25,1
95,16,16,4,50,4,2,12,29,13,25,18,6,7,7,0
150,25,25,5,3,6,5,16,52,20,39,28,11,12,17,0
113,24,20,5,49,4,2,13,33,16,34,22,8,8,9,0
129,19,31,4,50,5,12,14,37,16,28,33,9,9,9,0
151,18,20,4,2,4,3,12,56,15,28,42,8,8,31,2
109,18,14,5,49,4,2,12,38,13,28,20,7,9,9,0
144,21,17,3,50,4,3,11,52,18,30,40,7,8,30,2
112,21,20,4,51,5,3,11,35,16,32,22,9,8,10,0
151,19,19,4,49,4,3,12,55,15,29,42,8,9,31,2
109,19,20,4,3,4,3,12,34,15,29,22,8,9,8,0
107,19,20,5,49,4,3,12,33,15,29,21,8,9,8,0
139,24,25,6,3,6,4,16,46,18,36,27,11,12,11,0
112,19,24,4,49,4,3,13,34,15,29,26,8,9,8,0
144,20,18,5,3,4,3,11,50,16,51,20,8,8,25,1
155,24,27,5,3,5,5,15,52,17,37,32,11,16,14,0
148,20,20,5,3,5,3,13,53,16,49,21,8,9,26,1
105,17,19,5,49,4,3,13,33,15,27,21,8,10,8,0
142,18,19,4,3,4,3,12,47,15,46,21,8,8,24,1
115,20,21,5,50,5,3,10,39,16,30,23,9,10,10,0
102,19,19,3,2,4,3,11,31,16,28,20,7,9,8,0
107,19,19,4,2,4,3,14,33,15,29,21,8,9,8,0
149,19,19,4,3,4,3,13,56,15,28,41,8,9,31,2
113,23,19,5,3,5,3,13,35,15,32,21,8,9,8,0
192,24,21,6,3,5,4,19,66,17,37,45,11,11,34,2
115,20,20,4,50,5,3,12,39,15,30,21,9,9,10,0
120,22,20,5,3,6,3,13,40,17,34,22,9,9,10,0
116,27,20,5,50,4,3,12,35,15,36,21,8,7,12,0
118,21,21,5,50,4,3,15,36,17,32,23,9,9,9,0
126,22,21,6,50,5,4,14,42,17,34,23,9,10,11,0
123,21,21,5,49,5,3,15,43,16,32,23,9,10,9,0
139,22,25,5,2,5,5,16,44,18,34,28,11,10,13,0
146,19,19,5,3,5,3,12,52,16,49,21,9,9,25,1
105,18,19,4,3,5,3,12,34,14,27,20,8,8,8,0
147,25,19,4,49,4,3,13,49,16,54,21,8,9,25,1
150,19,20,3,2,4,3,13,55,16,29,43,8,9,31,2
111,20,20,5,3,5,3,12,36,16,29,21,8,9,9,0
193,25,27,6,51,6,4,16,69,19,44,50,12,12,34,2
107,19,19,4,3,4,3,13,33,16,29,21,8,9,8,0
111,19,20,4,49,4,3,13,35,16,29,22,8,10,9,0
153,22,20,4,50,4,3,13,54,16,32,43,8,8,30,2
153,20,21,6,3,6,3,11,58,16,49,23,9,11,27,1
182,24,27,4,3,5,5,16,64,20,37,51,12,12,33,2
152,19,19,4,50,4,3,12,57,15,28,42,8,9,31,2
102,18,18,4,49,4,3,11,32,15,28,20,7,8,8,0
166,21,22,5,51,5,4,13,63,17,32,45,10,10,33,2
130,21,22,6,3,5,4,15,44,16,33,24,9,11,11,0
100,19,17,4,49,3,2,13,31,15,27,18,7,8,8,0
147,26,25,6,3,6,4,15,47,21,39,27,12,11,13,0
105,18,19,5,2,4,3,12,33,15,27,21,8,8,8,0
131,25,22,6,50,5,4,13,43,17,38,24,9,11,11,0
103,18,19,4,3,4,3,11,32,15,28,20,8,7,9,0
167,32,37,5,50,5,5,16,51,21,46,39,15,12,15,0
143,26,24,5,50,6,4,17,47,20,39,26,11,13,11,0
108,20,19,4,49,4,3,12,34,16,30,21,9,9,9,0
103,19,18,4,3,5,3,11,34,15,28,19,7,9,8,0
111,18,20,5,50,5,3,12,36,15,28,22,9,9,9,0
112,19,19,4,2,4,3,12,34,15,28,21,7,9,8,0
142,19,19,4,49,4,3,13,49,15,48,20,8,9,25,1
140,26,26,6,4,6,4,14,45,20,37,29,12,10,12,0
157,24,20,5,50,4,3,12,56,21,34,43,8,9,30,2
113,19,19,4,2,4,3,17,38,15,29,21,7,14,9,0
109,20,19,4,3,4,2,13,33,16,30,21,8,9,9,0
113,18,21,4,3,5,3,12,38,14,29,23,9,9,10,0
149,18,19,4,3,4,3,13,56,15,28,41,7,11,29,2
214,26,31,7,4,7,6,18,80,21,41,54,14,15,37,2
107,19,20,4,50,4,3,12,34,16,28,22,8,9,8,0
121,21,17,5,3,5,3,12,42,14,34,19,8,11,10,0
109,19,20,4,49,4,3,13,34,16,29,21,7,9,8,0
113,19,19,5,2,3,3,12,39,16,29,21,8,9,9,0
111,22,19,5,50,5,3,12,35,15,32,21,8,9,9,0
111,19,19,5,3,4,3,12,35,14,29,21,9,8,9,0
105,18,19,5,49,4,3,12,33,15,28,21,8,8,8,0
134,23,25,5,3,5,4,15,45,19,35,27,11,12,12,0
113,26,17,4,2,4,3,10,36,20,36,19,8,9,9,0
104,18,18,4,49,3,2,12,32,15,27,20,8,8,8,0
128,23,20,9,51,5,3,12,44,19,36,23,8,10,10,0
151,26,26,6,3,7,4,16,50,20,41,28,12,12,12,0
110,19,20,4,50,5,3,13,35,16,29,21,8,9,9,0
158,25,34,7,4,5,5,15,50,27,38,38,13,11,13,0
153,19,18,4,4,5,3,12,57,15,30,41,8,9,31,2
119,20,22,5,50,6,4,12,38,16,31,24,9,9,9,0
107,19,20,4,50,4,3,13,33,15,28,21,8,8,9,0
107,19,18,5,49,4,3,12,35,15,28,20,9,9,9,0
141,24,25,5,51,5,4,16,43,19,37,27,12,10,12,0
154,21,20,4,2,4,3,14,56,17,50,22,8,10,24,1
109,18,22,4,3,4,2,13,32,16,28,24,7,8,8,0
116,20,20,5,3,5,2,13,40,16,30,21,10,11,10,0
100,20,16,4,49,4,2,11,31,15,30,17,8,8,8,0
150,20,23,4,3,5,3,13,53,17,48,25,8,9,25,1
128,19,22,5,50,6,3,14,43,16,35,24,11,11,12,0
143,25,25,4,2,4,3,16,51,17,38,27,10,10,11,0
153,19,20,4,49,4,3,13,58,15,29,42,8,10,31,2
109,20,19,4,2,4,3,12,35,16,29,21,8,9,9,0
