Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
104,17,19,4,38,4,3,13,33,14,27,20,8,9,8,0
95,17,17,4,2,3,2,10,32,13,26,18,8,8,8,0
110,24,19,4,37,3,2,12,32,16,34,20,7,9,9,0
143,19,55,4,38,4,3,13,33,15,29,57,8,9,8,2
103,18,19,4,2,4,3,12,32,15,27,21,8,8,8,0
107,18,19,4,3,5,3,13,35,15,28,21,8,9,9,0
115,19,22,4,2,4,2,18,34,16,28,24,9,9,8,0
154,24,29,8,3,6,4,16,51,20,39,32,13,12,13,0
127,21,22,5,38,5,4,14,42,17,33,24,10,10,11,0
142,55,18,4,37,3,3,12,33,15,65,20,8,9,8,1
104,18,18,4,38,4,3,13,32,15,27,20,8,9,8,0
149,22,59,4,3,4,3,12,34,20,31,61,7,9,8,2
102,19,18,4,2,4,3,13,31,15,28,19,8,8,8,0
167,28,28,7,39,6,5,17,58,21,41,31,12,15,13,0
104,18,19,4,38,4,3,12,34,15,27,20,8,9,9,0
103,18,18,4,37,4,3,17,31,15,26,19,7,9,8,0
106,18,20,4,3,4,3,12,34,15,26,21,7,10,8,0
112,19,21,4,3,4,3,13,37,15,28,22,8,10,9,0
143,25,29,5,38,5,4,15,41,18,40,32,10,11,11,0
105,18,19,4,2,4,3,13,34,14,27,20,8,9,9,0
107,19,18,4,2,4,2,13,35,15,30,19,8,10,9,0
113,19,21,5,38,5,3,12,37,15,28,23,8,9,10,0
103,18,19,4,2,4,3,12,32,15,27,20,8,9,8,0
104,19,20,3,37,3,3,12,28,17,30,21,8,8,7,0
139,18,54,4,37,3,3,14,32,15,27,55,7,8,9,2
111,19,19,5,37,4,3,14,36,16,29,20,8,9,9,0
144,18,54,4,2,4,3,13,33,15,28,55,8,9,8,2
