Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
110,19,23,3,2,3,2,12,33,15,28,25,7,9,8,0
106,18,23,4,38,3,2,13,29,15,28,24,7,8,7,0
164,22,52,5,3,5,19,13,53,15,32,54,9,26,9,2
108,19,19,4,3,4,3,13,35,16,28,21,8,9,9,0
101,18,19,3,2,4,3,12,31,15,27,20,8,8,8,0
123,23,20,4,2,4,4,13,39,18,36,22,9,9,10,0
104,19,19,3,37,4,3,13,31,14,28,20,7,9,8,0
166,18,52,5,2,5,19,14,56,15,32,54,10,27,10,2
118,18,20,5,38,6,3,13,42,15,28,22,10,11,11,0
156,23,51,4,2,4,19,12,49,15,32,52,8,26,8,2
135,38,32,3,3,3,11,13,31,26,47,33,8,9,8,1
101,19,17,4,2,4,2,12,31,15,28,19,8,9,8,0
102,18,18,4,38,4,3,12,32,15,27,19,7,9,8,0
116,16,32,4,3,4,2,13,34,12,24,33,8,9,8,0
143,24,28,5,3,5,4,17,44,21,38,30,11,13,11,0
170,21,53,4,37,4,19,12,59,18,31,55,9,30,10,2
149,25,27,5,4,5,4,16,47,20,40,30,10,17,9,0
138,23,27,5,4,5,4,15,45,19,34,30,11,11,11,0
103,18,18,4,3,4,3,13,34,14,26,20,8,9,9,0
126,20,22,4,3,5,4,15,39,16,36,24,9,10,10,0
101,18,19,4,2,3,2,12,31,15,26,21,8,9,8,0
105,18,20,4,3,4,3,13,33,15,27,21,8,9,8,0
115,19,19,4,2,4,2,12,32,16,38,20,8,8,8,0
148,24,26,4,39,11,4,16,46,19,44,28,10,10,11,0
154,18,54,4,2,3,19,12,48,16,28,56,8,24,9,2
145,25,28,5,38,5,4,14,43,22,39,31,12,11,11,0
110,20,19,4,38,4,3,13,34,16,30,21,9,8,9,0
103,16,18,4,3,4,3,13,34,13,25,19,7,10,8,0
112,18,24,4,38,5,3,13,34,19,27,26,8,9,8,0
139,23,25,4,39,6,4,17,44,18,36,28,9,12,10,0
103,19,18,5,38,4,3,11,35,15,27,19,9,9,9,0
180,42,34,5,38,5,13,13,43,29,77,36,10,12,11,1
107,18,20,4,37,4,3,13,31,16,28,21,8,8,7,0
110,18,19,4,38,5,3,13,37,15,27,21,9,10,9,0
104,17,20,4,38,3,3,12,31,14,28,21,8,9,8,0
112,18,19,4,3,4,3,12,41,15,27,20,8,9,15,0
115,19,24,4,2,4,3,13,33,20,28,25,8,9,8,0
107,22,19,4,37,4,3,12,32,15,32,20,7,8,8,0
151,26,28,6,39,6,5,17,52,22,37,30,11,13,16,0
114,19,18,4,38,4,1,13,39,15,29,20,7,10,10,0
108,19,17,4,37,4,2,12,33,15,28,19,7,9,8,0
110,19,19,5,38,5,3,13,37,14,28,20,8,10,9,0
145,39,32,4,2,3,11,14,34,27,48,34,7,10,8,1
144,23,26,4,3,7,4,17,44,18,35,29,11,11,11,0
127,21,23,5,38,5,4,16,41,16,32,25,9,11,11,0
105,18,18,4,2,4,3,13,33,15,27,20,8,9,9,0
108,18,23,4,37,4,3,12,33,15,27,24,8,9,8,0
141,38,35,4,37,4,10,12,30,26,48,36,8,8,8,1
107,20,19,4,38,4,3,13,32,16,30,21,8,9,8,0
144,39,34,4,3,4,11,13,33,27,50,36,8,8,8,1
99,20,16,4,2,4,2,11,33,14,29,17,8,9,9,0
93,15,21,3,2,3,3,12,26,14,22,22,7,7,6,0
126,22,23,6,38,5,2,14,40,19,33,26,11,10,10,0
119,23,20,5,3,5,3,13,37,20,33,22,9,9,10,0
115,19,19,5,38,4,3,13,34,15,29,21,8,9,8,0
