Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
141,32,28,4,38,4,2,13,43,37,41,29,20,9,15,1
113,18,20,4,3,4,3,13,41,16,27,22,8,9,14,0
111,18,19,4,38,4,3,12,35,15,29,21,7,9,9,0
142,30,36,4,2,3,3,14,37,36,40,37,20,9,14,1
104,21,18,3,38,4,2,12,30,16,31,19,8,8,8,0
113,19,18,4,38,5,3,13,39,14,29,20,9,10,9,0
120,18,19,4,39,6,3,15,40,14,31,21,9,9,10,0
110,19,19,5,38,5,3,12,39,14,28,20,8,11,9,0
124,20,20,4,38,5,3,18,43,16,30,22,9,15,10,0
123,20,23,4,4,5,4,14,39,16,31,25,10,10,10,0
129,24,23,5,3,5,4,15,39,19,36,26,10,10,10,0
111,19,24,5,3,4,3,12,35,15,28,25,8,9,9,0
142,26,25,5,38,5,4,17,44,19,42,27,10,13,10,0
117,21,20,3,37,4,2,11,34,15,36,22,8,8,9,0
106,20,18,4,3,4,2,13,34,16,30,19,7,10,8,0
103,18,19,4,38,4,3,12,32,15,27,20,8,8,9,0
109,17,20,5,37,4,3,12,34,14,28,21,9,8,9,0
100,19,18,3,3,3,3,12,29,15,29,19,7,8,7,0
106,18,20,5,38,5,3,12,35,15,26,22,8,9,9,0
108,19,18,3,38,4,2,13,34,15,30,20,8,10,8,0
111,19,19,5,3,5,2,12,39,15,28,20,9,10,9,0
113,18,23,4,38,4,2,12,34,16,29,25,6,7,7,0
188,19,45,4,3,54,27,14,88,16,28,47,8,10,9,2
116,25,19,5,3,5,3,12,36,21,35,21,8,9,9,0
179,18,43,4,2,53,26,12,82,15,28,45,7,8,8,2
175,18,43,3,37,52,27,12,79,15,29,45,7,8,8,2
130,24,25,5,37,5,3,16,41,20,35,26,10,11,10,0
179,19,44,4,4,53,27,11,81,16,30,46,8,7,8,2
101,18,19,4,2,3,3,12,31,15,27,20,7,8,8,0
203,44,41,7,4,6,5,18,61,48,58,45,25,17,18,1
110,20,19,5,3,5,3,11,36,16,30,20,10,8,10,0
131,23,22,5,39,5,3,15,43,18,35,24,11,11,12,0
106,18,20,3,2,4,2,12,33,15,27,21,7,9,8,0
112,19,25,5,2,4,3,12,33,21,29,27,8,9,8,0
204,21,47,5,3,55,27,15,90,18,33,50,9,9,11,2
106,19,21,4,38,5,4,13,32,17,28,23,7,8,8,0
160,29,32,7,38,6,4,18,50,25,43,35,13,13,12,0
120,19,22,5,38,5,4,15,39,15,30,23,9,11,9,0
182,21,44,3,2,52,27,13,80,17,32,45,8,9,8,2
115,19,26,5,3,5,3,17,35,15,29,28,8,9,9,0
100,17,19,3,37,3,3,12,31,14,26,21,8,9,8,0
104,18,19,4,37,4,3,13,33,15,28,20,7,9,8,0
105,19,19,4,38,4,3,12,31,16,29,21,7,8,8,0
135,23,25,5,3,6,4,15,43,18,36,27,11,11,11,0
111,18,20,4,38,5,3,13,37,14,28,21,8,9,10,0
116,19,20,5,3,4,3,13,36,16,33,21,8,10,9,0
141,30,30,4,2,5,3,13,40,35,39,32,20,10,14,1
97,18,15,4,2,4,2,11,31,14,27,16,8,9,8,0
107,18,20,4,2,3,3,14,34,16,27,21,8,10,9,0
107,19,19,4,38,4,3,12,33,15,29,21,7,9,8,0
103,19,18,4,37,3,3,13,31,16,29,19,7,9,8,0
142,24,25,5,38,6,4,15,44,21,37,28,10,11,11,0
105,19,19,5,3,4,3,12,33,15,29,20,8,8,8,0
111,19,18,4,37,4,3,13,33,15,29,25,8,9,9,0
105,18,19,4,3,4,3,14,33,14,27,20,7,9,8,0
184,19,44,5,38,53,27,13,84,16,29,45,9,9,9,2
157,23,38,5,4,5,3,16,46,24,38,40,10,12,13,0
104,21,18,3,37,3,3,13,30,14,30,19,8,8,8,0
119,18,28,5,2,5,2,13,37,26,28,30,7,9,9,0
109,17,21,5,38,5,3,12,36,14,26,22,9,9,8,0
113,20,19,4,38,4,3,12,33,16,30,20,8,9,8,0
106,19,21,5,37,3,4,12,32,15,28,22,8,9,7,0
105,20,20,4,38,3,3,13,31,17,29,22,8,9,8,0
105,18,19,4,38,4,3,13,33,15,28,20,8,9,9,0
118,25,18,5,3,5,2,13,36,16,34,20,8,9,9,0
137,31,32,4,2,3,3,12,37,37,39,34,20,8,14,1
145,32,31,4,3,4,3,13,41,37,43,34,21,9,15,1
104,19,18,4,38,3,3,12,32,15,28,20,8,9,8,0
151,33,32,5,38,5,3,14,44,38,43,34,21,10,16,1
141,25,25,5,4,6,4,15,44,21,38,27,11,11,11,0
102,18,18,4,38,4,3,12,31,15,27,20,7,8,8,0
98,18,14,4,2,5,2,11,34,14,28,16,6,9,8,0
102,18,18,4,2,4,2,13,31,15,28,19,8,9,8,0
113,19,19,4,38,5,3,13,35,15,31,21,8,9,8,0
133,32,30,4,3,3,3,10,33,37,42,31,19,7,13,1
182,36,46,5,39,5,3,16,50,39,49,48,33,12,17,1
107,20,19,3,37,4,2,13,33,16,30,20,8,9,9,0
145,31,35,5,3,5,3,12,42,37,40,36,21,9,15,1
115,20,21,4,3,5,3,13,37,14,30,22,7,9,7,0
103,19,19,3,37,3,2,13,30,17,29,21,7,8,8,0
106,19,19,4,3,4,3,12,34,15,28,21,8,9,9,0
112,20,19,3,37,4,2,12,34,16,29,25,8,9,9,0
146,27,27,5,3,5,3,14,44,21,41,29,12,10,12,0
125,21,21,5,4,5,3,14,43,17,32,23,11,12,12,0
141,34,31,4,38,5,3,9,39,38,45,33,21,8,14,1
139,30,31,4,38,3,3,12,38,36,39,33,20,9,14,1
191,19,48,5,3,53,28,13,85,16,30,51,8,8,9,2
115,20,19,9,37,4,3,13,39,17,30,21,8,9,9,0
110,20,18,3,38,4,3,12,32,16,35,20,7,9,8,0
164,28,26,6,2,6,3,18,52,22,44,29,12,14,12,0
115,22,20,4,38,5,3,13,37,18,32,22,8,10,9,0
130,21,22,4,38,5,3,15,39,17,35,24,10,11,10,0
115,21,19,3,3,5,3,18,33,17,31,21,7,10,8,0
200,22,45,5,4,54,28,14,91,17,33,48,11,12,11,2
109,24,19,4,2,4,3,12,33,20,33,20,8,9,8,0
112,19,19,4,37,4,3,13,35,16,30,21,7,10,9,0
104,18,19,4,37,4,3,12,32,16,27,21,8,8,8,0
111,19,19,4,38,5,3,14,36,16,29,21,8,10,8,0
118,21,19,4,3,4,3,12,38,17,30,21,8,10,10,0
109,19,18,4,2,4,3,12,33,15,30,20,8,9,9,0
207,20,47,5,3,54,28,23,95,16,32,48,11,13,11,2
120,20,22,5,3,6,3,12,41,17,31,24,10,11,11,0
112,23,20,3,2,3,3,13,31,15,33,21,8,9,8,0
109,20,19,5,44,5,3,12,36,16,29,21,8,10,9,0
196,36,36,5,2,5,3,25,62,39,48,38,25,18,18,1
152,40,29,3,37,3,3,13,38,35,56,31,20,9,14,1
144,22,24,5,4,5,4,14,44,17,39,27,11,15,9,0
105,19,19,4,37,4,3,13,31,16,29,20,7,9,8,0
104,18,19,4,2,4,3,12,32,15,27,21,8,9,8,0
108,24,18,3,3,3,2,12,32,16,33,20,8,10,9,0
121,19,20,5,3,5,3,13,45,16,29,21,9,17,9,0
101,17,21,4,2,3,3,13,29,14,26,22,7,8,7,0
107,20,18,4,38,4,2,12,32,17,31,20,7,9,8,0
110,20,18,3,37,8,3,12,36,16,31,20,8,8,8,0
113,24,18,5,3,4,2,13,35,20,34,20,8,10,8,0
112,18,20,4,38,5,3,12,35,16,29,22,8,8,9,0
118,19,22,4,37,5,3,13,38,17,31,24,9,10,10,0
101,18,18,4,38,4,3,12,31,15,27,19,6,8,8,0
134,30,29,4,37,3,2,12,38,36,40,31,20,8,14,1
106,20,19,3,38,4,2,13,32,16,30,20,7,9,8,0
105,17,16,4,38,5,3,11,37,13,27,18,9,8,10,0
103,18,18,4,37,4,3,12,33,15,27,19,8,9,8,0
105,17,18,4,3,5,3,13,35,14,27,19,8,9,8,0
101,18,16,4,38,4,3,12,32,13,28,18,7,8,8,0
106,19,20,4,3,5,3,13,34,16,28,22,7,9,8,0
114,22,19,4,3,5,3,12,36,17,33,21,9,9,9,0
111,19,20,5,39,4,3,14,36,16,29,21,8,10,8,0
108,20,17,4,2,3,3,12,38,16,29,18,7,14,8,0
124,20,22,4,4,5,4,14,39,16,33,24,11,10,10,0
140,23,27,4,38,5,4,16,39,19,36,29,10,10,9,0
189,39,41,6,39,6,4,19,55,42,55,43,24,13,17,1
147,33,32,4,3,5,3,13,42,38,42,34,22,9,16,1
114,19,20,5,39,5,3,12,37,16,29,21,9,9,9,0
