Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
141,20,25,4,3,4,3,10,62,20,31,27,34,9,36,0
140,21,20,5,27,5,4,15,55,15,35,22,11,11,12,0
104,20,19,4,26,3,3,13,29,16,31,21,7,8,7,0
113,24,20,4,3,4,2,12,35,21,33,22,7,10,7,0
134,22,24,5,4,6,4,15,47,18,34,26,11,11,12,0
107,19,20,4,3,4,3,13,32,16,29,22,7,9,8,0
110,19,19,5,27,5,3,13,36,16,29,21,8,9,8,0
106,19,20,4,2,3,3,13,30,15,29,22,8,9,7,0
134,25,26,5,28,5,3,16,40,18,37,27,10,10,9,0
104,18,18,4,26,4,3,12,33,15,28,20,7,8,8,0
138,23,25,4,27,4,3,17,45,20,35,27,11,12,11,0
120,18,21,11,26,5,3,12,42,15,32,22,8,8,9,0
108,18,22,4,2,3,3,13,32,18,27,25,7,9,8,0
149,19,30,5,26,5,3,13,49,16,42,32,9,10,20,1
143,22,29,5,26,5,3,16,45,17,36,33,11,13,12,0
110,19,19,4,2,4,3,12,33,15,28,20,8,8,9,0
107,18,20,5,27,4,3,12,35,15,27,21,8,9,9,0
105,17,12,5,26,4,2,14,35,12,27,14,7,10,9,0
111,22,19,4,3,4,3,13,31,17,33,20,7,8,8,0
135,19,24,4,26,4,2,15,42,13,41,25,7,9,18,1
108,20,19,4,2,4,3,14,32,17,30,21,7,9,8,0
103,19,17,4,27,5,2,10,36,15,28,19,8,8,10,0
110,20,20,4,27,4,3,13,35,17,29,22,7,9,8,0
102,19,17,4,2,4,2,12,32,15,28,18,8,8,8,0
152,25,26,6,3,6,4,18,47,19,38,29,15,12,12,0
166,23,22,5,27,4,3,31,53,18,52,24,8,29,8,2
178,21,24,5,26,4,4,32,62,17,52,27,8,34,10,2
152,19,29,5,27,5,3,14,50,15,43,31,9,10,20,1
130,21,23,5,3,5,4,15,43,16,34,25,11,12,11,0
160,18,22,4,2,3,3,30,51,15,46,24,13,28,8,2
107,18,20,5,3,4,3,13,34,15,27,22,8,10,8,0
157,19,31,5,28,6,3,17,49,15,41,33,14,11,20,1
98,18,15,4,2,4,2,11,32,14,28,17,7,9,9,0
111,19,18,4,26,9,3,13,39,16,29,20,8,9,9,0
128,22,22,6,26,5,3,15,42,18,33,24,9,10,11,0
214,28,39,6,4,6,4,34,68,22,62,41,12,30,13,2
105,19,20,4,1,4,3,13,31,16,28,22,8,8,8,0
120,27,19,4,3,4,3,15,35,16,38,20,7,10,8,0
105,19,18,4,2,3,3,13,32,16,28,20,7,9,8,0
115,19,19,4,2,4,3,17,36,16,29,21,8,10,9,0
122,21,22,5,27,6,3,13,40,16,32,24,9,10,10,0
110,17,18,4,26,3,3,12,29,14,37,20,6,8,8,0
105,20,19,4,26,3,3,13,32,15,29,20,7,9,8,0
116,19,22,4,3,4,4,14,37,15,30,24,9,10,10,0
136,23,25,5,3,5,4,17,44,19,35,28,11,12,11,0
110,18,28,5,26,3,3,13,31,14,27,29,16,9,7,0
121,19,20,5,3,5,3,17,42,14,29,21,10,10,12,0
143,20,30,4,26,4,3,14,44,16,43,31,8,9,19,1
109,20,20,4,2,4,2,13,33,17,29,21,8,9,8,0
94,16,17,3,2,3,2,12,28,14,25,19,7,7,8,0
174,31,28,7,28,5,4,28,50,23,47,33,11,13,12,0
148,25,28,6,3,6,4,17,48,20,39,31,11,12,11,0
133,36,17,6,27,4,3,12,41,23,50,19,9,12,10,0
122,21,26,5,3,4,3,14,38,22,30,28,9,11,10,0
106,18,18,4,27,4,3,12,36,15,28,20,8,8,8,0
121,25,21,5,27,4,4,15,38,16,34,23,9,11,9,0
108,21,19,4,27,4,3,13,34,17,30,20,7,10,8,0
212,30,34,7,27,5,5,34,66,22,62,37,12,30,14,2
123,21,22,5,3,5,3,14,42,16,31,24,9,11,11,0
115,20,19,4,27,5,3,15,37,15,32,20,8,10,8,0
139,24,25,6,27,5,4,16,45,19,37,27,10,12,12,0
115,17,24,5,3,5,3,16,39,15,27,26,7,9,8,0
148,18,30,4,2,3,3,12,41,15,51,32,7,8,17,1
107,16,19,4,3,5,3,13,36,14,26,21,8,10,9,0
