Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
102,18,20,3,2,4,3,11,29,15,28,21,7,7,7,0
111,20,19,5,3,4,2,12,35,15,29,21,9,8,11,0
100,19,18,3,37,3,3,13,29,16,28,20,6,9,7,0
110,20,18,3,38,4,3,11,29,17,30,20,7,7,7,0
109,19,20,5,3,4,3,13,35,16,29,21,8,10,8,0
164,26,26,6,3,5,4,18,50,20,50,28,10,12,16,0
106,19,19,4,37,4,2,13,34,16,28,21,8,10,8,0
101,19,19,3,2,3,3,12,30,16,28,20,7,9,8,0
109,19,19,4,38,4,3,15,35,16,28,20,7,10,8,0
118,19,24,4,2,4,3,13,39,16,30,26,7,14,8,0
106,18,20,4,38,4,3,12,32,16,28,22,8,8,7,0
109,19,19,4,38,4,3,12,35,15,28,20,8,9,9,0
110,18,19,5,38,5,3,12,42,15,26,20,9,14,9,0
110,20,20,4,38,4,2,13,35,18,30,21,8,10,9,0
120,21,20,5,3,6,3,14,42,16,31,22,9,10,11,0
109,20,19,4,2,4,3,13,35,16,31,20,7,9,8,0
166,29,29,7,4,6,5,18,54,22,44,32,13,14,15,0
128,20,22,5,38,5,3,17,41,17,33,24,10,10,10,0
104,20,17,4,37,4,3,13,32,14,30,18,7,8,8,0
138,18,18,3,37,2,2,13,36,15,58,19,7,9,7,1
113,19,21,4,3,5,2,13,36,15,29,23,7,9,9,0
105,19,19,4,37,3,3,12,31,16,28,21,8,8,8,0
142,25,25,6,4,6,4,16,46,19,38,27,11,12,12,0
138,22,18,4,37,4,2,12,32,16,62,20,7,8,9,1
128,18,22,5,2,6,3,17,44,15,29,24,10,13,10,0
158,18,36,5,3,5,17,30,57,15,28,38,9,15,24,2
97,17,16,4,38,5,3,10,35,13,26,17,7,9,8,0
116,22,20,5,3,4,3,12,38,17,32,22,9,10,10,0
140,19,19,5,38,5,2,12,36,15,59,21,9,9,9,1
116,22,21,4,2,4,2,14,35,20,32,23,8,10,8,0
108,20,19,4,2,4,2,13,33,16,30,21,8,9,8,0
147,19,20,6,38,5,3,14,39,16,59,22,10,10,10,1
148,24,26,6,39,6,3,19,53,18,36,28,11,13,12,0
102,20,19,4,2,4,2,14,31,15,28,20,7,9,8,0
154,19,36,5,38,4,17,30,54,16,28,38,8,14,23,2
104,18,18,4,3,4,2,13,32,15,28,20,7,9,8,0
149,18,34,4,37,4,17,30,52,14,27,36,8,13,23,2
144,24,25,6,3,5,3,19,46,19,38,27,10,13,12,0
158,30,30,5,3,6,5,18,48,21,45,33,12,13,13,0
95,16,14,4,37,7,2,13,33,12,24,15,6,7,6,0
124,20,20,5,38,5,2,14,39,16,30,22,9,10,10,0
109,18,14,4,2,4,3,26,31,13,27,15,7,9,8,0
178,32,26,5,38,5,3,16,44,27,76,28,11,12,11,1
149,20,20,5,37,5,2,12,39,16,61,21,9,9,11,1
114,21,19,4,38,5,3,14,37,15,31,21,8,10,9,0
172,21,36,5,3,5,17,30,60,16,34,40,9,15,24,2
112,19,24,5,8,4,3,13,34,16,29,25,8,10,8,0
176,21,38,6,39,6,18,32,62,16,35,41,10,16,25,2
111,20,20,4,3,4,3,13,35,16,30,21,7,10,8,0
103,18,19,4,37,4,3,13,32,15,27,20,7,9,9,0
118,19,20,5,38,5,3,13,42,16,29,21,8,15,9,0
108,19,19,4,3,4,3,13,34,16,29,20,8,9,8,0
118,20,21,4,38,4,3,14,38,16,31,23,9,10,10,0
106,18,19,4,3,4,3,12,34,16,28,21,7,9,8,0
106,19,18,4,37,4,3,13,34,16,29,20,8,9,8,0
131,22,25,4,3,5,4,15,41,19,35,27,9,10,10,0
114,20,19,4,3,4,3,14,36,16,31,21,8,10,8,0
155,23,35,4,2,4,17,30,50,15,33,37,6,13,22,2
102,17,17,4,2,4,3,13,33,14,25,19,6,9,8,0
105,19,18,4,38,4,3,13,33,15,29,19,7,9,8,0
112,19,21,4,2,4,3,14,35,17,29,22,8,9,8,0
114,20,21,5,38,5,2,13,37,16,30,22,9,10,9,0
108,19,19,4,3,4,3,12,34,16,29,21,7,9,8,0
112,20,19,4,2,4,2,13,34,16,30,21,8,10,8,0
153,19,35,4,38,5,17,29,54,15,28,36,8,14,23,2
138,19,19,5,38,4,3,13,34,16,59,20,8,9,9,1
111,29,18,3,2,4,2,13,30,20,38,20,7,9,8,0
112,20,19,4,3,4,3,14,35,16,30,21,8,10,8,0
145,18,21,4,37,5,3,13,35,15,59,22,7,10,7,1
152,18,36,4,3,5,17,30,53,15,28,38,8,14,22,2
114,20,19,5,3,5,3,13,39,16,30,20,8,10,10,0
107,19,19,4,2,4,3,13,34,16,28,20,8,9,9,0
110,19,20,5,3,4,3,13,33,15,28,22,7,8,8,0
