Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
112,20,18,5,37,4,3,13,40,16,31,19,12,10,14,0
93,17,16,4,2,4,2,10,32,13,25,17,7,8,8,0
152,33,24,5,3,5,3,17,50,29,45,26,12,13,13,0
167,26,31,7,3,7,5,19,55,17,40,33,11,15,13,0
111,19,19,4,38,4,3,18,32,16,28,21,8,9,8,0
154,26,23,4,38,5,3,30,39,18,36,40,7,14,8,1
119,20,19,5,37,3,3,13,43,16,31,20,12,15,13,0
116,21,21,5,3,5,3,12,38,18,31,23,7,10,10,0
106,19,20,4,2,3,3,13,31,15,29,22,7,9,8,0
119,20,18,4,38,4,3,12,46,16,30,20,7,15,8,0
128,24,20,5,2,4,3,13,39,16,38,23,9,10,10,0
122,20,20,5,3,5,2,13,42,15,32,22,9,12,10,0
121,21,20,5,3,4,3,13,37,16,32,22,8,9,9,0
115,29,19,5,37,3,3,13,31,16,39,20,8,8,7,0
125,26,21,5,3,5,3,13,40,22,36,23,9,10,10,0
99,14,23,4,37,4,2,10,30,19,25,24,6,8,7,0
146,19,22,4,38,4,3,30,43,15,28,38,9,14,10,1
110,19,20,4,2,4,3,13,37,15,28,21,7,9,7,0
118,19,20,5,3,5,3,13,39,15,30,22,10,9,10,0
153,20,45,5,38,4,24,36,40,16,29,47,8,14,8,2
128,21,23,5,4,5,4,16,43,17,32,25,11,12,10,0
106,17,20,4,3,3,2,12,30,14,26,21,8,8,8,0
160,20,46,4,37,4,24,40,40,16,30,47,8,15,9,2
114,21,21,5,3,5,4,12,39,15,30,22,9,9,10,0
120,22,19,4,2,6,2,17,39,17,31,20,8,9,10,0
107,20,19,4,37,4,3,13,34,16,29,21,8,9,9,0
111,20,19,4,38,5,2,13,37,16,29,20,9,9,10,0
114,22,19,5,38,4,2,12,38,17,32,20,9,10,10,0
111,20,20,4,38,5,3,13,35,16,29,21,7,10,8,0
112,19,19,5,2,4,3,13,39,15,28,21,9,13,9,0
113,20,20,4,2,5,3,14,37,16,30,21,8,9,9,0
125,21,21,7,2,5,3,13,46,16,32,23,8,15,10,0
167,23,26,5,3,5,3,34,46,19,37,43,10,15,11,1
105,24,17,3,38,4,2,12,30,15,33,19,7,8,8,0
106,19,20,4,3,4,3,13,32,16,29,21,7,9,8,0
147,22,23,5,38,6,4,30,42,19,31,39,9,13,9,1
182,24,47,6,3,5,25,39,53,18,36,49,11,18,12,2
173,21,48,5,38,5,27,41,48,15,32,50,10,17,11,2
109,19,20,4,38,4,3,13,34,16,30,22,8,9,8,0
157,22,23,5,38,5,4,30,46,16,36,40,9,15,10,1
151,26,29,5,38,6,5,18,46,21,42,31,10,13,10,0
110,25,18,4,2,4,3,13,32,15,34,20,8,9,8,0
107,18,19,4,2,4,3,13,34,15,27,21,8,9,8,0
113,19,19,4,2,5,3,15,41,15,28,20,9,12,10,0
110,19,19,4,38,5,3,13,35,16,29,21,8,9,9,0
121,20,31,4,2,4,2,13,34,22,31,33,8,9,8,0
114,19,19,5,38,4,3,13,34,16,29,21,7,10,8,0
105,19,19,4,2,4,3,13,32,15,29,21,7,10,8,0
105,19,18,4,2,4,3,12,32,16,29,20,7,9,8,0
111,23,19,4,37,4,3,13,35,15,32,20,8,10,9,0
113,20,20,4,38,5,3,13,36,17,30,21,7,10,8,0
121,20,21,5,3,5,3,14,41,17,32,23,10,11,11,0
102,18,21,4,2,3,3,12,31,15,27,22,7,8,8,0
104,20,18,4,38,4,3,12,32,16,30,20,7,9,7,0
167,20,42,5,38,4,24,41,46,16,31,44,8,18,10,2
146,19,22,4,3,4,3,30,38,16,29,38,8,13,8,1
159,20,44,4,3,4,24,37,40,16,30,45,8,15,8,2
118,24,21,5,3,4,3,13,36,17,34,23,9,9,9,0
109,19,21,4,38,5,4,14,34,17,28,22,8,8,8,0
131,21,22,5,38,11,3,15,46,17,33,24,10,11,10,0
103,19,18,4,37,4,3,12,32,15,28,20,7,8,8,0
154,25,26,7,4,7,5,18,54,19,39,28,11,14,14,0
102,18,19,4,3,3,3,12,31,14,28,20,7,8,8,0
173,25,45,5,38,5,25,38,47,16,37,47,9,18,10,2
149,31,28,6,3,6,5,14,46,20,44,31,11,12,12,0
108,19,20,4,3,4,3,13,34,16,29,21,8,9,9,0
118,30,22,4,37,4,3,13,32,27,38,23,9,8,8,0
117,20,26,4,3,4,3,12,35,16,30,28,10,9,11,0
146,21,23,5,2,4,3,30,39,16,31,40,8,13,8,1
110,18,16,4,38,4,2,13,37,12,28,17,7,10,10,0
112,24,19,4,37,3,3,13,33,16,34,21,8,9,9,0
112,21,19,4,38,5,3,13,36,17,30,21,8,9,9,0
111,20,20,4,2,4,3,14,35,17,30,21,7,9,8,0
101,18,18,4,37,3,3,12,31,15,28,20,8,9,8,0
109,19,20,3,37,4,3,14,33,16,30,22,8,10,8,0
121,19,21,5,38,10,3,13,45,17,29,22,9,10,11,0
205,28,51,5,3,7,27,45,58,20,41,53,12,20,13,2
117,20,22,5,38,5,3,13,38,16,30,24,9,10,9,0
112,19,21,5,3,4,3,12,35,16,30,22,8,9,8,0
109,19,19,3,2,4,2,13,31,16,34,20,7,9,7,0
