Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
103,19,20,3,37,3,4,12,30,15,29,21,7,8,8,0
102,19,19,4,37,3,3,12,31,16,28,20,7,9,7,0
106,19,19,4,37,4,3,12,34,15,28,20,7,9,8,0
144,23,28,5,38,6,5,15,47,18,37,31,12,11,13,0
108,18,16,4,2,4,2,21,32,14,28,17,6,8,8,0
121,20,21,5,38,5,3,16,42,16,31,23,9,12,10,0
116,18,21,5,38,4,3,13,38,15,30,23,9,9,9,0
161,21,21,4,38,5,3,13,80,17,32,23,10,10,10,0
147,25,35,6,38,6,4,14,42,18,38,37,9,10,10,0
166,22,21,46,3,5,4,14,82,16,35,23,9,11,11,1
135,18,18,35,38,5,3,12,65,15,27,20,7,9,8,1
116,20,22,4,2,5,3,12,37,16,32,23,8,9,9,0
140,28,26,5,45,6,4,16,43,19,40,28,10,10,10,0
111,19,19,4,38,9,3,13,38,15,28,21,8,9,8,0
111,20,21,4,3,5,3,12,35,16,29,22,9,9,9,0
104,17,19,4,38,4,3,12,33,15,26,21,7,9,8,0
105,24,18,3,2,4,2,11,30,15,33,19,7,9,8,0
134,19,19,34,38,4,3,13,62,15,28,20,8,9,8,1
111,20,18,5,3,5,2,11,41,16,29,20,14,9,14,0
185,26,28,37,4,7,5,15,81,20,39,30,12,13,12,1
135,23,25,4,3,6,4,16,44,19,35,27,13,11,13,0
175,18,20,5,3,47,3,12,103,15,27,22,9,9,33,2
110,19,28,4,2,4,3,12,30,15,27,30,7,8,8,0
142,20,20,34,38,4,3,13,66,16,29,22,8,9,9,1
102,18,19,4,38,4,3,12,32,15,27,20,7,9,8,0
137,19,18,35,2,4,3,13,65,15,28,20,7,10,8,1
143,24,19,35,37,4,3,13,65,15,34,21,8,9,8,1
101,18,18,4,2,3,3,12,31,15,27,20,7,8,8,0
106,19,18,4,38,4,3,13,33,16,29,20,7,9,8,0
101,18,18,4,3,4,3,11,32,15,27,20,7,7,8,0
238,30,30,6,39,49,5,19,117,21,47,33,11,13,34,2
108,19,22,4,2,4,4,13,32,15,29,23,7,9,8,0
109,24,19,4,3,4,2,12,32,16,34,20,7,9,8,0
134,22,29,5,3,5,5,15,43,17,34,31,10,12,10,0
116,18,20,5,3,5,3,12,38,15,27,22,9,9,10,0
113,24,19,4,2,3,3,14,33,21,34,21,8,9,8,0
107,20,18,5,3,5,3,12,36,15,29,20,7,9,8,0
106,18,19,4,3,4,2,14,35,15,28,20,8,10,9,0
132,22,23,4,3,5,4,15,43,17,35,25,12,12,12,0
103,19,18,4,2,3,3,12,32,15,28,19,8,9,9,0
104,18,19,4,37,3,3,12,28,15,27,26,7,7,7,0
120,18,20,4,38,3,3,21,37,16,28,22,7,8,9,0
110,19,23,4,37,4,3,12,33,15,29,25,7,9,8,0
125,20,24,4,3,5,3,15,39,15,32,25,8,11,9,0
