Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
168,20,64,3,38,4,3,12,44,16,29,69,15,11,16,2
114,19,19,4,37,4,3,13,39,15,30,21,7,14,8,0
162,27,31,7,38,6,5,19,51,21,42,34,13,13,14,0
131,21,20,5,3,4,3,12,50,16,36,22,9,10,9,0
117,20,21,4,37,4,3,14,42,16,29,22,9,10,10,0
123,16,23,3,37,3,2,10,44,18,26,25,9,8,19,0
103,23,18,4,2,3,2,11,32,12,31,20,7,9,8,0
144,42,33,4,2,4,3,13,34,20,52,34,7,9,8,1
123,21,25,5,38,5,3,13,39,17,31,27,10,10,10,0
125,18,25,5,37,4,3,17,39,16,29,27,12,11,11,0
119,22,20,5,3,5,3,12,37,16,34,22,9,10,9,0
188,45,43,7,3,6,4,17,52,19,58,46,12,13,13,1
156,24,64,4,3,4,3,12,34,21,34,66,9,8,9,2
107,19,19,4,38,4,3,12,33,16,29,20,8,9,8,0
117,19,21,4,3,4,3,13,42,16,28,22,8,16,9,0
113,19,21,5,38,5,3,13,37,15,28,23,9,10,10,0
157,18,64,5,3,4,3,13,34,16,29,65,7,9,9,2
111,19,19,4,2,4,3,13,32,15,28,21,8,9,8,0
111,19,21,4,1,4,2,12,32,19,33,23,6,9,8,0
157,23,38,6,37,5,3,15,45,20,42,40,10,13,11,0
170,24,64,4,3,5,3,14,44,17,34,66,8,10,10,2
119,20,26,5,38,5,3,13,38,17,30,28,9,10,10,0
103,19,18,3,41,4,3,13,31,15,29,20,8,9,8,0
151,18,63,4,2,4,3,12,34,15,28,65,8,9,9,2
203,28,74,5,38,6,5,17,46,23,44,77,13,11,12,2
170,27,33,7,4,6,5,19,54,22,43,36,12,13,14,0
98,18,18,4,37,4,3,12,30,15,27,20,7,8,8,0
176,22,71,5,3,5,10,14,40,16,35,73,9,10,10,2
94,15,18,4,2,3,2,12,28,13,23,20,7,7,7,0
118,18,19,4,37,4,3,18,38,16,27,21,16,15,8,0
130,25,22,5,4,6,3,14,42,18,37,23,10,10,10,0
113,25,19,5,39,4,3,13,34,21,34,20,8,9,8,0
112,24,19,5,2,4,3,13,34,16,33,21,7,9,8,0
105,19,20,4,2,4,3,13,32,16,28,22,8,9,8,0
163,21,64,4,37,9,4,17,37,18,32,65,7,8,8,2
112,18,22,4,38,5,5,12,36,15,28,24,9,9,10,0
152,24,29,7,3,6,5,18,50,19,38,32,13,13,13,0
127,19,20,5,48,4,3,13,37,15,41,22,9,11,9,0
109,20,19,4,38,4,3,13,34,16,30,21,7,10,8,0
105,18,20,4,3,4,3,12,34,15,27,21,8,8,9,0
111,19,19,4,38,4,3,18,31,15,28,21,7,9,7,0
145,37,35,4,14,4,4,14,34,14,46,37,8,9,9,1
102,19,19,4,38,4,3,12,31,15,28,20,7,9,7,0
105,19,19,3,37,4,3,13,30,16,29,20,8,9,8,0
121,20,22,5,38,4,3,14,40,16,32,24,9,11,10,0
109,19,19,4,38,4,3,13,34,16,30,21,8,10,9,0
137,24,24,6,38,4,4,17,44,19,37,27,11,12,12,0
105,18,19,4,37,4,3,13,34,15,27,21,8,9,8,0
146,37,34,4,38,4,3,13,40,15,47,36,8,15,8,1
