Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
137,37,22,3,35,4,2,13,41,15,45,24,27,9,18,2
112,18,20,4,35,4,3,12,39,15,28,21,8,8,14,0
99,16,17,4,2,3,2,13,31,13,25,18,9,9,8,0
106,20,17,3,35,3,2,13,29,16,34,19,7,9,8,0
106,19,19,4,3,4,3,13,33,15,29,20,8,9,8,0
100,18,18,4,35,4,2,12,31,15,27,20,7,8,8,0
134,19,18,3,2,3,2,13,63,15,28,19,7,9,8,1
102,17,17,4,35,4,2,11,31,14,26,18,7,8,8,0
138,18,22,3,36,4,2,13,63,15,27,23,8,9,8,1
115,19,24,5,36,4,3,13,34,16,30,26,7,9,7,0
105,18,17,3,35,3,2,12,31,15,32,19,8,9,8,0
146,26,26,6,43,5,4,18,46,20,40,28,11,13,12,0
120,22,25,4,36,4,3,14,36,22,32,27,8,10,9,0
100,18,17,4,2,3,2,12,31,15,27,19,8,9,8,0
103,18,18,3,36,3,2,17,33,15,28,19,7,14,7,0
106,18,18,3,2,4,2,12,31,15,27,19,9,9,8,0
105,17,18,3,35,4,3,13,36,15,26,20,8,12,8,0
103,18,18,4,2,4,2,11,32,15,28,19,8,9,8,0
101,18,17,3,2,4,2,12,32,15,28,19,7,9,8,0
170,28,30,7,4,6,5,20,56,21,42,33,13,14,14,0
99,18,17,3,36,3,3,12,30,14,27,19,7,9,8,0
110,18,18,3,2,4,2,13,31,15,27,19,17,9,9,0
104,19,18,4,3,4,3,12,32,15,28,20,7,9,7,0
104,18,17,3,2,3,2,13,30,15,27,19,7,9,7,0
110,18,25,3,35,3,2,15,33,22,27,27,8,12,8,0
107,20,19,3,2,3,2,13,33,16,30,20,8,10,9,0
104,20,17,4,35,4,2,13,32,16,30,18,8,9,8,0
144,42,22,4,2,4,2,12,41,16,53,24,28,9,18,2
102,17,18,4,36,4,2,12,32,15,27,20,7,9,8,0
100,18,18,4,2,4,2,12,31,14,27,19,8,8,9,0
102,19,17,3,2,4,3,12,31,16,29,19,7,9,8,0
141,37,22,4,36,4,2,12,42,15,46,24,29,9,18,2
101,18,18,3,36,3,2,12,30,16,28,20,8,9,8,0
109,20,20,4,2,4,3,13,33,16,30,22,8,9,9,0
100,18,17,3,2,3,2,11,29,14,28,19,7,8,8,0
102,20,17,4,2,3,2,12,30,14,30,19,7,8,8,0
107,19,18,4,36,4,2,12,34,15,28,20,8,10,9,0
150,37,24,4,3,4,2,18,42,15,47,25,29,9,19,2
98,18,17,3,3,4,2,13,30,14,26,18,7,8,8,0
100,20,17,3,2,3,2,12,29,16,29,19,7,8,8,0
105,18,17,4,2,4,2,12,37,14,27,19,13,9,13,0
104,19,18,4,35,4,2,13,32,16,29,20,8,9,9,0
99,18,18,4,35,4,3,12,31,15,27,19,7,8,8,0
139,18,17,4,36,4,2,12,64,15,27,25,8,9,8,1
97,18,17,3,35,4,2,12,30,15,26,19,7,8,8,0
102,18,18,3,35,4,2,13,30,15,28,20,7,8,7,0
115,18,18,3,2,3,2,12,44,15,28,20,25,7,24,0
142,23,22,4,35,5,3,15,46,18,42,24,10,12,12,0
99,18,17,4,2,3,2,12,31,15,28,19,7,8,8,0
109,20,18,3,36,4,2,18,32,16,30,20,8,9,8,0
103,18,18,3,2,4,2,12,30,15,27,23,7,9,8,0
102,18,17,3,35,3,2,13,31,15,29,19,7,10,8,0
105,18,19,4,35,4,3,12,32,15,29,21,7,9,7,0
111,24,19,4,3,4,3,13,33,20,33,20,8,10,8,0
105,23,18,3,2,4,2,12,31,20,33,19,7,9,8,0
101,18,18,3,3,3,3,14,30,15,27,20,7,9,7,0
113,19,17,3,2,9,2,13,42,15,28,18,7,14,9,0
99,17,18,4,2,4,2,11,32,14,27,19,8,9,8,0
139,37,23,3,2,4,2,13,41,15,46,24,28,9,18,2
100,18,18,3,35,3,2,13,30,15,27,20,7,9,8,0
104,18,20,4,36,4,3,13,32,16,27,22,7,9,8,0
125,16,18,3,35,3,2,12,59,15,24,20,7,7,7,1
89,16,14,3,2,3,2,12,28,12,24,15,6,8,8,0
104,20,18,4,2,4,2,13,33,16,30,19,8,9,8,0
104,19,18,3,3,4,2,14,33,15,28,19,7,10,8,0
98,18,18,3,2,4,2,12,30,15,27,19,8,8,8,0
99,18,17,3,35,3,2,13,29,15,27,19,7,9,8,0
112,19,19,4,36,4,3,13,37,17,29,21,9,10,9,0
102,19,18,4,36,4,2,13,31,16,29,19,7,9,8,0
92,13,18,3,1,2,2,12,22,13,22,19,5,6,6,0
98,18,18,3,2,4,2,13,29,15,27,19,6,8,7,0
101,18,19,3,2,3,2,13,30,15,27,21,7,8,7,0
109,19,19,4,2,3,3,12,34,16,29,21,8,8,9,0
139,37,23,3,36,4,2,11,41,15,46,24,29,7,19,2
110,19,21,5,3,4,3,12,35,16,30,22,8,9,9,0
101,18,17,4,3,3,2,12,32,15,28,19,8,9,9,0
105,19,18,3,36,3,2,13,30,16,29,20,8,9,8,0
