Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
114,24,19,5,3,4,3,13,35,20,34,20,8,9,8,0
140,25,20,5,3,6,3,15,44,20,45,23,9,11,12,0
148,19,20,4,2,4,2,14,31,15,71,21,7,8,8,2
107,19,19,4,2,4,3,13,34,16,29,20,8,9,8,0
133,17,18,4,3,3,2,12,62,15,27,20,8,9,39,1
107,19,19,4,3,5,3,13,35,16,29,20,8,9,8,0
117,20,21,4,3,5,3,13,35,16,34,22,8,9,8,0
112,19,24,4,3,4,3,17,33,16,30,25,8,9,8,0
98,18,19,3,2,3,2,12,28,16,27,20,8,8,7,0
104,18,21,3,2,4,2,12,31,16,28,23,10,9,8,0
166,25,29,8,4,6,5,18,56,20,40,32,13,14,14,0
112,19,19,3,2,3,2,13,40,16,29,21,16,9,17,0
124,21,20,5,3,5,3,13,42,16,34,22,9,10,10,0
103,19,17,4,2,4,2,13,31,15,28,19,7,8,8,0
109,19,20,4,2,4,3,14,34,16,29,22,8,10,8,0
158,17,21,5,3,5,4,13,40,14,70,23,9,10,11,2
151,19,20,4,3,4,3,12,34,16,71,21,8,8,8,2
156,31,27,5,4,6,5,14,45,21,43,32,11,12,12,0
116,18,18,5,4,6,2,12,40,16,30,20,9,10,10,0
134,17,15,5,3,3,2,17,62,13,26,16,7,8,38,1
104,19,19,4,3,3,2,12,30,16,30,20,8,9,7,0
104,17,16,4,2,4,1,12,34,13,27,18,6,12,7,0
116,20,22,5,10,4,3,12,33,17,30,24,9,8,8,0
113,20,18,5,3,5,2,11,37,16,34,19,8,8,9,0
135,27,23,4,3,5,3,16,42,18,40,25,9,10,11,0
