Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
95,18,19,3,3,2,3,11,25,15,27,20,7,7,7,0
134,24,21,4,3,6,3,12,43,19,43,24,12,11,12,0
180,23,26,21,4,5,4,16,77,19,37,35,11,28,11,1
109,20,19,4,15,4,3,14,34,16,30,21,8,9,8,0
152,62,20,4,15,5,3,12,35,16,71,22,8,9,8,2
106,19,19,4,15,4,3,12,33,15,28,20,8,9,8,0
107,24,18,3,15,4,3,11,29,19,34,20,7,7,7,0
138,19,18,20,7,5,2,13,66,15,29,20,7,25,8,1
101,16,16,8,1,3,2,12,33,13,28,18,7,9,7,0
148,28,25,6,3,6,4,16,49,22,42,27,11,12,13,0
106,21,19,4,2,3,3,11,31,17,31,20,8,8,8,0
106,19,19,4,15,4,3,12,34,15,28,20,8,9,8,0
110,20,20,4,15,5,4,12,34,16,29,21,9,9,8,0
121,18,20,5,14,12,3,12,46,15,29,21,9,9,9,0
146,29,19,5,3,6,3,15,52,18,42,21,10,17,12,0
115,18,20,6,3,4,3,13,40,15,28,22,8,10,9,0
109,19,19,4,3,5,3,12,36,15,28,21,8,9,9,0
114,20,19,4,2,4,3,12,34,17,30,21,8,9,8,0
110,20,19,4,3,3,3,12,34,16,30,20,8,10,8,0
101,18,18,4,3,4,3,11,34,14,26,19,8,8,8,0
119,21,24,3,15,3,3,14,33,16,31,26,7,10,8,0
141,23,28,6,14,5,4,16,43,20,35,32,9,11,10,0
158,26,27,5,4,7,5,19,55,19,40,30,18,13,18,0
152,63,19,4,15,4,3,12,34,16,73,20,8,8,9,2
114,19,19,4,15,5,3,17,37,15,29,21,9,10,10,0
142,19,20,20,15,4,2,12,64,16,30,22,8,24,8,1
141,25,26,5,3,5,4,15,44,21,40,28,12,11,12,0
153,64,20,4,3,4,3,12,33,16,74,21,8,9,9,2
128,20,24,5,15,5,4,14,42,18,31,26,12,10,12,0
102,17,19,4,14,4,3,12,33,15,26,20,8,9,9,0
104,18,19,4,15,4,3,13,33,15,27,20,7,9,8,0
127,25,20,5,15,5,3,12,45,16,36,21,9,10,9,0
106,19,20,4,2,4,3,12,33,16,28,21,7,9,8,0
144,20,19,20,3,5,3,13,68,16,30,21,8,26,8,1
102,19,17,4,14,3,2,11,30,15,29,19,7,8,8,0
222,29,33,22,3,7,5,18,92,23,56,36,14,29,18,1
128,20,26,5,2,5,5,14,40,17,32,28,11,10,10,0
116,20,21,5,4,5,3,11,39,16,29,23,9,10,10,0
108,20,19,5,15,4,2,13,34,15,29,21,8,8,9,0
134,22,24,5,15,5,4,14,44,18,34,27,11,11,11,0
106,19,20,4,3,4,3,11,34,15,28,21,8,9,8,0
143,27,26,4,3,7,4,14,44,22,40,28,11,10,12,0
111,18,20,5,15,4,3,13,37,15,27,22,10,9,10,0
146,20,20,21,15,5,3,13,70,16,29,22,9,25,10,1
112,20,20,4,3,5,4,14,35,16,30,22,8,10,8,0
153,27,27,6,3,6,3,16,50,21,42,29,10,11,12,0
114,17,26,4,15,5,10,12,34,14,27,28,9,8,9,0
148,20,23,21,15,6,3,13,70,17,30,24,7,26,9,1
112,20,19,4,2,3,3,12,30,16,31,21,7,8,7,0
116,20,20,4,15,4,3,13,35,15,29,22,8,9,8,0
104,18,19,4,2,4,3,12,33,15,27,21,8,9,8,0
145,24,28,8,16,4,4,16,49,19,35,30,12,13,12,0
