Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
116,21,22,4,37,4,2,12,34,17,35,24,8,8,8,0
162,24,23,4,38,5,3,39,61,16,34,25,8,34,9,2
104,18,21,4,38,3,3,13,32,16,27,23,7,9,7,0
110,21,19,4,3,5,3,12,35,16,31,21,8,9,8,0
107,19,19,5,38,4,3,12,34,15,28,21,8,9,8,0
108,19,19,4,3,4,2,13,35,16,29,21,8,9,9,0
209,29,33,11,2,5,6,44,81,23,43,36,13,38,13,2
107,19,18,4,2,3,2,12,31,15,28,19,7,8,8,0
113,20,20,4,3,5,3,14,37,15,29,22,8,10,9,0
109,19,18,4,37,4,3,13,34,15,28,19,8,9,9,0
113,22,20,4,3,4,3,13,36,16,32,21,9,10,9,0
109,20,20,4,38,4,3,13,34,16,30,22,8,9,8,0
169,21,21,23,38,41,4,13,90,17,31,23,8,9,8,1
111,23,19,4,37,4,3,13,33,19,32,21,8,9,8,0
109,19,19,4,37,4,2,12,33,16,29,20,7,9,8,0
198,28,31,5,39,6,4,42,74,22,44,34,11,38,12,2
181,22,21,23,3,41,3,14,97,16,34,22,9,12,11,1
173,40,32,6,3,8,3,17,51,25,54,35,15,12,13,0
98,17,17,4,2,4,3,10,33,14,26,18,8,9,8,0
115,19,21,4,3,4,3,14,39,16,28,23,9,12,9,0
114,21,20,4,3,5,2,12,38,16,31,21,9,9,10,0
171,20,18,23,3,41,2,11,96,15,31,20,8,11,10,1
113,20,20,5,38,5,3,13,37,16,30,21,9,9,9,0
168,20,20,23,38,41,3,13,91,17,31,22,9,9,9,1
158,18,19,22,3,41,3,12,86,15,27,20,8,7,7,1
172,30,32,7,39,7,4,19,54,25,45,35,12,15,13,0
165,21,20,22,38,40,3,12,88,16,31,21,9,9,9,1
107,21,17,4,2,4,2,13,35,17,31,19,8,10,8,0
121,19,18,4,3,4,2,12,34,16,31,20,8,9,8,0
150,25,25,6,3,6,3,17,48,19,40,28,10,13,11,0
106,19,19,4,2,3,3,12,33,16,29,21,9,9,9,0
100,19,15,4,38,6,2,10,35,15,28,17,7,8,9,0
120,21,21,5,39,4,2,13,39,17,33,23,8,11,9,0
135,22,24,5,39,5,4,17,44,18,34,26,10,13,11,0
167,19,20,22,3,41,3,13,91,16,29,22,9,8,10,1
107,23,18,4,38,3,2,12,30,15,33,20,7,9,7,0
134,22,25,5,4,5,4,17,44,18,34,28,11,11,12,0
106,20,19,4,37,4,2,12,32,16,30,21,8,8,8,0
112,20,20,4,38,5,3,13,35,16,30,21,8,9,8,0
192,43,32,7,4,6,5,26,55,24,58,35,14,14,13,0
101,19,16,4,2,4,1,14,33,14,27,18,6,10,8,0
112,24,22,4,2,4,6,12,31,16,33,24,7,9,8,0
111,20,19,4,3,5,3,13,37,16,29,21,9,10,9,0
121,19,17,5,38,4,3,19,45,14,30,19,8,14,9,0
107,19,19,4,3,4,3,13,34,16,29,20,8,9,9,0
166,19,24,22,38,40,2,13,88,15,29,26,8,9,8,1
161,20,24,4,38,5,4,38,64,16,30,26,9,35,11,2
113,20,20,4,3,4,3,13,35,16,30,22,8,10,9,0
108,21,18,5,37,4,3,13,34,16,31,19,8,9,9,0
113,19,20,5,38,5,3,13,38,15,30,21,8,10,9,0
122,21,22,10,2,3,3,17,45,16,31,23,7,16,8,0
162,19,18,22,2,40,2,12,90,15,28,19,8,10,9,1
115,20,21,4,38,5,3,13,38,16,30,22,9,10,10,0
131,20,21,4,39,4,3,14,40,17,29,23,23,11,10,0
114,21,21,4,3,4,3,13,36,16,30,23,8,10,9,0
110,20,19,4,2,4,2,13,33,16,31,21,8,9,9,0
115,19,20,4,38,4,3,18,35,16,29,22,8,10,8,0
110,21,19,5,2,4,2,13,33,17,32,21,8,9,8,0
108,19,19,4,2,4,3,13,35,16,29,21,8,9,9,0
156,26,27,6,38,6,4,18,52,20,40,30,13,13,13,0
105,21,19,4,37,3,3,13,30,17,30,21,7,9,7,0
103,18,13,5,3,5,2,11,38,13,28,15,7,9,10,0
127,24,22,5,39,5,3,13,42,18,35,24,9,10,10,0
111,20,20,5,38,4,3,13,36,16,30,21,9,10,9,0
165,20,25,4,38,5,3,40,63,17,33,27,9,34,10,2
105,18,19,4,2,4,3,12,33,16,27,21,7,9,8,0
105,19,19,4,38,4,3,12,32,15,28,21,8,8,8,0
190,22,22,24,3,41,3,17,99,17,36,25,11,12,11,1
196,26,34,5,39,5,4,42,70,19,40,37,11,36,13,2
106,20,18,4,2,3,2,12,35,17,31,19,7,9,8,0
107,17,20,4,37,4,3,14,32,15,27,22,8,9,8,0
103,19,18,4,2,3,3,12,31,15,28,20,8,9,8,0
