Latency,ts-basic-service_queryForStationId,ts-basic-service_queryForTravel,ts-config-service_retrieve,ts-order-service_calculateSoldTicket,ts-order-service_getTicketListByDateAndTripId,ts-price-service_query,ts-route-service_queryById,ts-seat-service_getLeftTicketOfInterval,ts-station-service_queryForStationId,ts-ticketinfo-service_queryForStationId,ts-ticketinfo-service_queryForTravel,ts-train-service_retrieve,ts-travel-service_getRouteByTripId,ts-travel-service_getTrainTypeByTripId,anomaly
113,20,19,4,15,3,3,14,37,17,31,20,7,9,9,0
125,19,23,4,15,5,2,14,40,15,30,26,8,11,9,0
131,23,21,5,3,5,3,16,45,18,34,23,9,11,12,0
112,22,25,3,15,4,3,13,29,23,32,27,8,8,7,0
175,22,23,27,15,6,3,16,86,17,34,25,10,12,11,2
124,25,21,5,3,5,3,12,40,22,37,23,9,10,11,0
124,20,25,5,15,5,3,14,41,20,31,27,9,11,11,0
129,22,21,5,4,5,3,15,43,17,33,24,10,11,12,0
114,21,21,5,15,4,3,14,36,17,31,22,8,10,9,0
132,23,25,5,15,4,3,16,41,20,36,27,10,11,12,0
123,22,19,5,14,5,3,13,39,15,34,21,9,11,11,0
154,20,20,27,22,4,3,12,77,16,30,21,9,8,9,2
98,18,18,3,2,3,2,12,28,15,28,19,7,8,7,0
119,20,21,5,3,5,3,14,39,17,31,23,8,10,10,0
109,20,21,4,15,4,3,12,33,17,29,23,8,9,8,0
103,19,14,4,2,4,2,12,32,14,28,16,7,8,8,0
114,21,20,4,15,4,3,18,32,16,31,22,7,9,8,0
126,21,27,4,3,4,3,13,40,24,32,29,9,15,8,0
119,21,25,4,14,4,2,13,36,24,32,27,9,10,9,0
153,24,27,5,4,5,5,21,50,20,37,31,12,16,13,0
103,19,18,4,15,4,3,12,33,16,28,19,7,8,8,0
139,24,24,5,4,6,4,14,46,19,37,27,11,11,13,0
124,25,21,5,15,4,3,13,39,17,36,23,9,10,11,0
166,20,19,27,3,4,2,12,83,16,39,20,9,8,12,2
159,21,20,29,15,3,3,13,82,17,31,22,8,10,8,2
109,21,18,4,15,4,3,13,34,15,31,20,8,9,8,0
117,20,24,5,15,5,2,17,38,16,30,26,8,10,9,0
141,25,22,5,3,14,3,13,53,19,38,25,10,12,11,0
110,19,19,5,14,3,3,13,33,15,33,20,8,9,8,0
103,20,18,3,2,3,2,12,31,15,30,20,8,9,8,0
182,26,23,27,3,5,4,16,88,20,38,25,12,12,12,2
160,27,31,5,15,6,5,17,48,20,42,33,13,13,13,0
150,23,34,5,16,5,5,17,46,19,36,36,19,12,11,0
116,19,21,4,15,4,2,12,39,15,29,22,9,9,14,0
152,28,26,6,3,6,4,15,52,22,41,28,12,14,12,0
115,18,20,4,15,4,3,12,36,15,28,21,9,9,10,0
164,22,22,15,16,26,3,13,83,17,33,24,9,9,15,1
106,19,19,4,14,4,2,13,34,16,28,20,8,10,9,0
113,18,19,5,15,5,3,13,40,14,28,21,8,10,11,0
115,21,20,4,15,4,3,15,35,18,32,22,8,10,9,0
110,16,21,5,2,5,3,14,37,14,25,23,8,9,8,0
106,19,20,4,2,4,3,13,32,16,29,21,7,9,7,0
177,28,31,7,4,6,6,17,58,21,51,34,12,13,14,0
121,20,19,5,3,4,3,12,41,16,31,21,10,11,12,0
106,19,18,5,15,4,2,11,34,15,30,20,7,9,8,0
115,25,20,5,15,4,3,13,35,23,35,21,7,9,9,0
214,30,33,33,4,6,6,16,100,22,46,36,12,13,13,2
112,20,20,4,3,4,3,13,34,16,30,22,8,9,8,0
163,28,30,7,16,5,5,16,51,19,44,33,12,12,12,0
157,20,19,27,3,5,3,13,82,17,30,21,9,10,9,2
160,27,19,26,15,4,3,12,79,22,37,21,8,9,9,2
116,20,20,5,3,4,2,11,36,17,32,22,10,9,10,0
108,19,18,4,2,4,3,11,34,16,28,20,7,9,8,0
138,22,24,5,16,5,4,16,46,17,33,27,11,11,13,0
109,21,24,4,2,3,2,12,30,17,31,25,7,9,8,0
155,20,19,15,15,25,3,14,77,16,30,21,7,9,9,1
113,20,21,4,14,5,3,12,36,17,30,23,9,9,9,0
104,20,19,4,2,3,3,12,31,16,29,21,8,9,8,0
106,20,18,3,15,3,2,12,33,15,29,20,8,9,7,0
155,25,28,6,16,6,4,15,52,21,42,30,13,13,14,0
112,21,19,5,15,4,3,12,36,17,32,21,8,9,9,0
97,17,16,3,15,3,2,10,30,13,27,17,7,8,8,0
156,20,20,26,2,4,3,13,78,16,30,21,8,9,8,2
130,20,20,4,3,4,3,12,52,16,30,22,9,9,10,0
209,24,30,29,3,15,5,16,104,18,40,33,10,12,11,2
163,21,21,16,15,25,3,13,82,17,32,23,11,11,10,1
111,20,19,4,14,3,3,13,34,17,30,21,8,9,9,0
107,19,19,3,2,3,2,12,32,15,31,22,8,8,9,0
167,24,22,16,15,25,3,13,81,18,35,24,10,10,10,1
139,17,20,13,15,23,3,12,68,15,27,21,7,7,6,1
125,20,25,4,15,4,3,13,37,22,30,27,9,10,10,0
119,24,21,4,15,4,3,11,34,18,35,23,9,9,9,0
97,18,18,3,14,3,2,12,28,15,26,19,7,8,8,0
141,22,22,5,3,5,4,15,50,17,36,25,11,18,12,0
117,22,23,4,15,5,3,14,36,22,32,24,7,10,9,0
178,23,26,16,15,25,3,16,85,19,36,28,13,11,12,1
113,18,18,4,8,3,3,15,31,14,36,20,8,8,8,0
151,18,19,26,2,3,3,14,78,15,27,21,8,10,8,2
117,21,22,4,15,4,3,13,37,17,31,24,10,10,10,0
154,19,19,26,2,4,2,12,77,16,33,20,8,8,8,2
173,22,21,18,3,26,2,16,87,16,34,24,10,11,11,1
113,20,21,5,15,5,3,12,37,16,29,22,8,9,9,0
107,19,19,4,14,4,3,12,35,15,28,21,8,9,9,0
110,21,18,4,15,4,2,12,34,17,31,20,8,9,9,0
113,20,19,4,15,5,3,12,37,17,31,21,9,10,9,0
113,21,21,4,15,4,3,13,35,17,30,22,8,9,9,0
165,20,21,15,15,25,4,19,85,16,30,23,9,16,9,1
122,20,21,5,15,5,3,13,40,15,32,23,9,10,10,0
110,24,19,4,14,3,3,11,34,15,33,21,8,9,8,0
158,20,23,26,2,3,3,12,78,16,30,24,13,9,9,2
108,19,20,4,15,4,3,13,32,16,30,22,8,9,8,0
106,19,19,4,2,3,3,12,32,16,27,23,7,8,7,0
134,23,26,5,15,5,4,16,42,19,35,28,11,11,10,0
116,21,20,4,15,4,3,13,40,17,31,21,8,15,9,0
166,19,21,14,15,25,4,16,82,15,32,23,10,11,12,1
113,20,20,5,3,5,3,13,37,16,30,21,9,10,9,0
115,20,24,4,15,4,3,13,36,16,30,26,8,9,9,0
108,19,19,4,15,4,3,12,34,16,30,20,8,8,9,0
103,19,15,4,3,4,2,9,35,13,30,16,7,9,9,0
147,17,21,15,15,25,3,12,75,15,26,23,7,8,9,1
106,20,19,4,15,4,3,13,34,16,30,20,8,10,8,0
128,21,22,4,15,4,3,19,40,17,32,24,9,11,10,0
107,18,20,4,3,4,2,13,33,15,28,21,7,10,8,0
121,20,20,5,2,5,2,13,43,16,31,22,8,10,9,0
121,22,22,4,22,4,3,13,37,18,34,24,8,10,9,0
215,31,31,18,4,28,5,18,97,25,46,36,13,13,14,1
106,20,19,4,15,4,3,12,33,16,29,21,7,9,9,0
160,22,20,15,15,25,3,14,80,18,32,22,9,10,11,1
176,20,24,27,15,5,4,16,86,17,32,27,11,11,10,2
119,21,20,4,15,5,3,14,40,17,32,22,8,10,9,0
108,20,19,4,2,4,3,14,34,16,29,21,8,9,9,0
108,20,19,4,2,4,3,13,34,16,29,21,7,9,8,0
139,30,22,4,3,5,3,13,37,16,42,25,9,9,9,0
107,19,19,4,2,4,3,13,33,16,29,20,7,9,8,0
152,21,19,26,15,4,3,13,77,16,31,21,6,9,7,2
100,18,18,4,2,3,3,12,31,15,27,20,8,9,8,0
110,19,20,4,2,4,3,13,36,16,28,22,8,10,9,0
125,17,21,13,2,4,3,12,52,15,27,23,8,9,8,0
160,20,22,27,15,4,4,13,83,17,29,24,9,10,10,2
175,22,26,26,15,4,3,21,88,18,37,28,8,18,8,2
111,20,20,4,3,3,3,13,35,17,31,22,8,10,9,0
107,18,18,3,3,4,2,13,33,15,26,20,9,10,9,0
97,17,18,4,14,3,3,11,31,14,26,20,7,9,8,0
139,24,22,5,3,5,3,15,45,18,36,29,10,12,12,0
107,19,19,4,15,4,3,12,36,16,28,20,7,9,10,0
110,19,23,4,15,4,3,13,32,15,29,25,8,9,8,0
161,21,24,20,15,24,2,13,81,17,30,25,9,9,9,1
116,21,18,5,17,7,3,12,41,15,32,20,10,9,11,0
129,21,27,5,15,5,4,14,41,21,33,29,9,11,11,0
106,19,19,4,2,4,3,13,33,15,29,21,8,9,9,0
111,19,19,4,15,4,3,17,32,15,29,21,8,9,8,0
107,18,19,4,15,4,2,12,33,15,28,20,8,9,8,0
112,21,19,4,15,5,3,12,36,15,31,20,9,9,10,0
108,20,19,4,15,4,3,13,34,16,30,20,9,9,9,0
103,19,18,4,15,4,2,12,32,15,29,19,7,9,8,0
113,20,20,5,15,5,3,13,37,16,30,22,8,10,9,0
124,25,19,3,16,5,4,15,39,15,37,21,9,11,10,0
102,20,22,3,14,3,2,12,27,16,29,23,7,7,7,0
104,19,14,4,3,4,2,12,35,14,28,16,8,10,9,0
105,20,19,4,15,3,3,12,33,16,29,20,7,9,8,0
129,23,23,5,15,4,4,14,41,17,36,26,9,10,10,0
