exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.9416941694169417,0.9754985754985755,0.910154173312068,52.966034033102915
0,1,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,52.90540601010434
0,2,2,gra,0.9416941694169417,0.9754985754985755,0.910154173312068,52.07426644209772
0,3,2,gra,0.7654723127035831,0.9882253994953742,0.6246677299308878,51.2668412940111
0,4,2,gra,0.9355463347164591,0.97520184544406,0.898989898989899,48.60953420307487
0,5,2,gra,0.7758397932816539,0.988477366255144,0.6384901648059543,51.80509165395051
0,6,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,54.606325725093484
0,7,2,gra,0.9416941694169417,0.9754985754985755,0.910154173312068,50.229852310149
0,8,2,gra,0.8702290076335879,0.9718032786885246,0.7878787878787878,51.04979946301319
0,9,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,53.301436012843624
0,10,2,gra,0.9416941694169417,0.9754985754985755,0.910154173312068,49.847697142045945
0,11,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,50.35633081384003
0,12,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,49.46441762219183
0,13,2,gra,0.9191011235955056,0.9743895175699822,0.8697501329080276,50.90016528312117
0,14,2,gra,0.8485936564931179,0.9705681040383299,0.7538543328017012,51.262576753040776
0,15,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,52.384564166888595
0,16,2,gra,0.9768678542940709,0.9771276595744681,0.9766081871345029,52.00655292184092
0,17,2,gra,0.9466192170818505,0.9757336343115124,0.9191919191919192,50.80291622900404
0,18,2,gra,0.9269380925822643,0.9747800586510263,0.8835725677830941,50.47888784809038
0,19,2,gra,0.9466192170818505,0.9757336343115124,0.9191919191919192,51.72833653795533
1,0,2,gra,0.9989373007438895,1.0,0.9978768577494692,62.17175698908977
1,1,2,gra,0.8688081657160013,1.0,0.7680467091295117,62.827497736085206
1,2,2,gra,0.6694915254237288,1.0,0.5031847133757962,59.49137029587291
1,3,2,gra,1.0,1.0,1.0,74.80502538802102
1,4,2,gra,1.0,1.0,1.0,59.49864772101864
1,5,2,gra,1.0,1.0,1.0,65.76666911016218
1,6,2,gra,1.0,1.0,1.0,76.04032274102792
1,7,2,gra,1.0,1.0,1.0,64.57876406796277
1,8,2,gra,0.6600915815427968,0.981151832460733,0.4973460721868365,70.4938092441298
1,9,2,gra,1.0,1.0,1.0,67.81486729811877
1,10,2,gra,1.0,1.0,1.0,64.60625660885125
1,11,2,gra,1.0,1.0,1.0,69.93080202606507
1,12,2,gra,1.0,1.0,1.0,66.10054127895273
1,13,2,gra,1.0,1.0,1.0,83.04725218215026
1,14,2,gra,1.0,1.0,1.0,60.32287216512486
1,15,2,gra,0.9952,1.0,0.9904458598726115,63.9999944830779
1,16,2,gra,1.0,1.0,1.0,83.79522741399705
1,17,2,gra,1.0,1.0,1.0,69.39985271100886
1,18,2,gra,1.0,1.0,1.0,61.102934648049995
1,19,2,gra,1.0,1.0,1.0,60.98644722811878
2,0,2,gra,0.8143712574850299,1.0,0.6868686868686869,49.30925095709972
2,1,2,gra,0.9815917704385491,1.0,0.9638490164805954,49.792422014987096
2,2,2,gra,0.8406779661016949,1.0,0.7251461988304093,47.783476104959846
2,3,2,gra,0.8589626933575978,1.0,0.7527910685805422,50.243053873069584
2,4,2,gra,0.8658426288815195,1.0,0.7634237107921319,49.046488587977365
2,5,2,gra,0.7067720866277071,1.0,0.5465178096757044,46.91438984218985
2,6,2,gra,0.9613473219215902,1.0,0.9255715045188729,49.63035291386768
2,7,2,gra,0.9321600908316776,1.0,0.8729399255715046,47.919230367057025
2,8,2,gra,0.8658426288815195,1.0,0.7634237107921319,48.63297123508528
2,9,2,gra,0.8736526946107784,1.0,0.7756512493354598,49.02676854818128
