exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.8528864059590315,0.8163992869875223,0.8927875243664717,17.19362019188702
0,1,2,gra,0.8139281828073993,0.9211822660098522,0.7290448343079922,26.397963332012296
0,2,2,gra,0.8639053254437871,0.874251497005988,0.8538011695906432,21.85659738816321
0,3,2,gra,0.8859060402684563,0.8716981132075472,0.9005847953216374,19.256954193115234
0,4,2,gra,0.8376753507014028,0.8618556701030928,0.8148148148148148,17.168794009834528
0,5,2,gra,0.8579940417080436,0.8744939271255061,0.8421052631578947,20.707256019115448
0,6,2,gra,0.8759278897136797,0.9604651162790697,0.8050682261208577,17.548749443143606
0,7,2,gra,0.8757637474541752,0.9168443496801706,0.8382066276803118,19.064261745661497
0,8,2,gra,0.8842544316996871,0.9506726457399103,0.8265107212475633,20.111835297197104
0,9,2,gra,0.8807829181494662,0.8101472995090017,0.9649122807017544,21.083762887865305
0,10,2,gra,0.7918436703483431,0.7018072289156626,0.9083820662768031,18.454946221783757
0,11,2,gra,0.9273229070837167,0.8780487804878049,0.9824561403508771,19.64249388501048
0,12,2,gra,0.8406988694758478,0.8891304347826087,0.797270955165692,23.35851452499628
0,13,2,gra,0.8064516129032259,0.9859154929577465,0.682261208576998,18.243254290893674
0,14,2,gra,0.7164179104477612,0.6869409660107334,0.7485380116959064,16.556001339107752
0,15,2,gra,0.9633113828786453,0.9309090909090909,0.9980506822612085,18.420818423852324
0,16,2,gra,0.9227642276422763,0.9639065817409767,0.884990253411306,19.33382615633309
0,17,2,gra,0.8686274509803923,0.873767258382643,0.8635477582846004,17.77125810459256
0,18,2,gra,0.9166666666666667,0.873015873015873,0.9649122807017544,21.316056923940778
0,19,2,gra,0.9079646017699116,0.8314424635332253,1.0,20.484238900244236
0,0,2,ga,0.5804132973944296,0.5383333333333333,0.6296296296296297,13.134542617946863
0,1,2,ga,0.6222611744084138,0.5652866242038217,0.6920077972709552,13.279692854732275
0,2,2,ga,0.570884871550904,0.5576208178438662,0.5847953216374269,12.906461792066693
0,3,2,ga,0.6744432661717922,0.7395348837209302,0.6198830409356725,12.715963853523135
0,4,2,ga,0.6210526315789473,0.5645933014354066,0.6900584795321637,13.249463446438313
0,5,2,ga,0.5867393278837421,0.5493197278911565,0.6296296296296297,13.089813817292452
0,6,2,ga,0.6039510818438383,0.5836363636363636,0.6257309941520468,13.110003897920251
0,7,2,ga,0.6127497621313035,0.5985130111524164,0.6276803118908382,12.791640305891633
0,8,2,ga,0.5825067628494138,0.5419463087248322,0.6296296296296297,12.915698619559407
0,9,2,ga,0.5423423423423424,0.5041876046901173,0.5867446393762183,13.084696056321263
0,10,2,ga,0.5888787602552417,0.553082191780822,0.6296296296296297,13.103932831436396
