exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.9689239332096476,0.9914570479354532,0.9473922902494332,137.41840154095553
0,1,2,gra,0.7640926640926642,0.6652100840336135,0.8975056689342403,183.8394410160836
0,2,2,gra,0.9705105633802816,0.9427105600684051,1.0,92.41545487008987
0,3,2,gra,0.9324817518248176,0.9380449747590638,0.926984126984127,204.50349994399585
0,4,2,gra,0.9705105633802816,0.9427105600684051,1.0,186.23104219790545
0,5,2,gra,0.9705105633802816,0.9427105600684051,1.0,122.18033598200418
0,6,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,194.40395703003742
0,7,2,gra,0.9615640968673628,0.9425087108013938,0.98140589569161,920.1845555771142
0,8,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,199.11276040202938
0,9,2,gra,0.9427731282515268,0.94043321299639,0.945124716553288,109.40227451198734
0,10,2,gra,0.9504950495049506,0.9896907216494846,0.9142857142857144,171.72554729809053
0,11,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,99.90606976486742
0,12,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,219.11904380586932
0,13,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,137.8712804671377
0,14,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,249.32635758095418
0,15,2,gra,0.973869575096569,0.9758652094717668,0.9718820861678004,350.99237516801804
0,16,2,gra,0.9571619812583668,0.9420289855072465,0.9727891156462584,171.11575719388202
0,17,2,gra,0.9599471830985916,0.9324497648567764,0.9891156462585036,129.98605796601623
0,18,2,gra,0.9262750785593424,0.9917184265010353,0.8689342403628117,141.03444242593832
0,19,2,gra,0.9650442477876108,0.9421166306695464,0.9891156462585036,495.57242699409835
1,0,2,gra,0.8799417899587678,0.94577685088634,0.8226757369614512,66.13621041597797
1,1,2,gra,0.8417207792207793,0.7616599338964377,0.9405895691609978,76.18048754218034
1,2,2,gra,0.8387589013224823,0.9548349739432542,0.7478458049886622,58.07558193895966
1,3,2,gra,0.7968162723855847,0.7773943054357204,0.8172335600907029,59.88155914307571
1,4,2,gra,0.8303640588690937,0.9640287769784172,0.7292517006802721,63.26544040604495
1,5,2,gra,0.8770777754976401,0.8009745127436282,0.9691609977324264,55.06863292399794
1,6,2,gra,0.9105835367206568,0.891398783666377,0.9306122448979592,57.91188278212211
1,7,2,gra,0.9657759024847632,0.9995147986414362,0.9342403628117912,64.26415323698893
1,8,2,gra,0.8894901144640999,0.821923076923077,0.9691609977324264,63.61034503602423
1,9,2,gra,0.9099569063279654,0.91016333938294,0.909750566893424,56.796968848910176
1,10,2,gra,0.9362370902559498,0.9270787016451756,0.9455782312925172,58.9619444902055
1,11,2,gra,0.8351603735282176,0.7559720690922455,0.9328798185941044,58.52417992195114
1,12,2,gra,0.9959349593495934,0.9919028340080972,1.0,63.429280629847206
1,13,2,gra,0.903314917127072,0.9172510518934082,0.889795918367347,63.00306112784892
1,14,2,gra,0.9392712550607288,0.8858520900321544,0.9995464852607711,59.40476176096126
