exp,trial,num_pat,algo,fmeasure,precision,recall,time
0,0,2,gra,0.9654115586690017,0.9331358442657639,1.0,184.61701402440667
0,1,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,162.64233340136707
0,2,2,gra,0.9383992805755395,0.9304502897904592,0.9464852607709751,79.5260549057275
0,3,2,gra,0.9705105633802816,0.9427105600684053,1.0,63.70920339599252
0,4,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,78.34605352766812
0,5,2,gra,0.9258902791145333,0.9861609431060995,0.872562358276644,121.8298752605915
0,6,2,gra,0.9094688221709006,0.9265882352941176,0.8929705215419501,154.2324335630983
0,7,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,131.96584175154567
0,8,2,gra,0.8549210206561361,0.9209424083769634,0.7977324263038549,309.32046354934573
0,9,2,gra,0.8449415353329944,0.9612492770387507,0.7537414965986394,197.52064993046224
0,10,2,gra,0.9650442477876107,0.9421166306695464,0.9891156462585035,401.31101214699447
0,11,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,214.94451129809022
0,12,2,gra,0.8969582645602452,0.9341846758349706,0.8625850340136054,174.45760047249496
0,13,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,99.63400619663298
0,14,2,gra,0.9599471830985917,0.9324497648567764,0.9891156462585035,123.40909969806671
0,15,2,gra,0.9628942486085342,0.9852871381110584,0.9414965986394558,96.04629908874631
0,16,2,gra,0.9615640968673628,0.9425087108013938,0.98140589569161,105.30829430557787
0,17,2,gra,0.7537281636131231,0.7107271996785858,0.8022675736961451,234.85683222673833
0,18,2,gra,0.9650442477876107,0.9421166306695464,0.9891156462585035,214.63164957240224
0,19,2,gra,0.9650442477876107,0.9421166306695464,0.9891156462585035,67.6248072013259
0,0,2,ga,0.9599471830985917,0.9324497648567764,0.9891156462585035,29.770218456164002
0,1,2,ga,0.5941839140686404,0.7034739454094293,0.5142857142857142,30.721775494515896
0,2,2,ga,0.9599471830985917,0.9324497648567764,0.9891156462585035,29.549472000449896
0,3,2,ga,0.5882051282051283,0.6766961651917404,0.5201814058956916,31.207763167098165
0,4,2,ga,0.9662921348314607,0.9576837416481069,0.9750566893424036,29.471126664429903
0,5,2,ga,0.9599471830985917,0.9324497648567764,0.9891156462585035,29.549714559689164
0,6,2,ga,0.9662921348314607,0.9576837416481069,0.9750566893424036,29.662713944911957
0,7,2,ga,0.5941269008914526,0.704164077066501,0.5138321995464853,30.49211386591196
0,8,2,ga,0.5796082370668005,0.6494091164884637,0.5233560090702948,31.38373483158648
0,9,2,ga,0.9662921348314607,0.9576837416481069,0.9750566893424036,30.10986313596368
0,10,2,ga,0.5864968152866242,0.6691860465116279,0.5219954648526077,29.995302533730865
0,11,2,ga,0.5924764890282131,0.6987060998151571,0.5142857142857142,30.735162215307355
0,12,2,ga,0.5986893840104849,0.7093167701863354,0.5179138321995465,30.168769732117653
0,13,2,ga,0.5816454113528382,0.6482720178372352,0.527437641723356,31.094921747222543
0,14,2,ga,0.5816454113528382,0.6482720178372352,0.527437641723356,30.201648000627756
0,15,2,ga,0.9599471830985917,0.9324497648567764,0.9891156462585035,30.010048868134618
0,16,2,ga,0.9599471830985917,0.9324497648567764,0.9891156462585035,30.084073504433036
0,17,2,ga,0.5880245649948823,0.6746917204932472,0.5210884353741496,30.476596204563975
0,18,2,ga,0.9662921348314607,0.9576837416481069,0.9750566893424036,29.504465835168958
0,19,2,ga,0.5784962037717366,0.6288604898828541,0.5356009070294785,29.7286319732666
0,0,2,bnb,0.9599471830985917,0.9324497648567764,0.9891156462585035,164.97849313169718
0,0,2,decaf,0.43923576915501283,0.38823119777158777,0.5056689342403629,0.8513149693608284
0,1,2,decaf,0.6503579952267303,0.9503051438535309,0.4943310657596372,0.843444099649787
0,2,2,decaf,0.46169772256728786,0.4247619047619048,0.5056689342403629,0.8589844461530447
0,3,2,decaf,0.5510503175378603,0.5971413446267867,0.5115646258503401,0.8799564708024263
0,4,2,decaf,0.03766973280770916,0.5512820512820513,0.019501133786848073,0.850265946239233
