Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
363,4,4,4,61,3,3,122,0
468,4,4,4,101,36,36,233,1
374,3,3,5,64,3,3,138,0
368,4,3,5,49,4,4,120,0
403,3,3,4,53,4,4,119,0
379,3,3,5,65,3,3,133,0
385,4,3,5,54,2,4,120,0
370,3,4,5,60,4,3,128,0
381,5,4,4,57,3,3,129,0
376,3,3,4,61,4,4,134,0
373,3,3,3,60,3,3,125,0
454,6,4,5,71,4,5,165,0
500,5,3,3,102,36,37,241,1
369,3,2,3,60,2,2,117,0
380,5,4,4,61,3,3,131,0
422,5,3,5,63,4,4,145,0
396,5,4,4,61,3,4,137,0
548,3,50,4,126,49,3,282,2
361,3,4,6,58,4,3,125,0
391,10,3,4,54,4,5,139,0
425,5,4,4,58,3,5,141,0
399,5,3,4,61,6,3,134,0
565,5,49,3,119,50,3,294,2
425,5,4,4,59,3,4,131,0
462,4,3,4,59,3,4,142,0
405,5,3,4,62,3,5,142,0
387,4,3,4,62,4,4,127,0
404,4,2,4,64,3,2,130,0
370,3,3,5,63,4,4,132,0
402,4,5,5,70,3,3,143,0
364,3,4,4,52,3,4,119,0
393,4,3,4,55,3,2,122,0
369,5,2,3,55,3,3,121,0
375,4,3,5,60,3,4,126,0
373,5,3,4,57,3,4,133,0
347,3,3,4,57,3,3,118,0
378,3,4,6,70,3,3,139,0
492,5,3,5,95,37,38,235,1
377,4,3,5,61,3,3,128,0
414,5,4,4,70,4,5,158,0
367,3,4,5,64,3,4,133,0
367,5,3,4,55,2,3,116,0
384,4,4,4,64,3,3,132,0
375,4,5,5,66,3,4,139,0
427,3,3,4,67,3,3,136,0
385,3,3,4,54,2,3,123,0
435,4,4,5,72,4,4,141,0
357,4,4,5,56,3,3,124,0
432,5,4,5,73,4,4,167,0
484,4,3,5,96,37,36,231,1
597,4,51,6,151,49,4,333,2
425,5,3,4,67,4,5,160,0
