Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
424,5,4,99,70,4,8,257,0
467,3,30,98,61,31,31,301,1
357,4,4,98,63,2,3,220,0
357,4,4,6,54,2,2,120,0
447,2,31,5,64,30,32,214,1
522,3,4,98,64,152,4,372,2
531,3,4,4,66,151,2,280,2
481,3,32,99,63,30,30,314,1
390,3,3,99,69,3,3,230,0
373,2,3,4,63,2,3,128,0
364,4,4,4,69,3,2,137,0
376,2,3,99,57,2,2,219,0
526,3,3,4,63,152,3,276,2
452,3,31,4,56,31,31,198,1
362,4,3,98,64,3,2,224,0
520,3,4,99,62,152,2,373,2
456,3,32,98,69,31,31,316,1
377,3,3,4,58,2,2,124,0
389,4,3,99,59,2,3,219,0
358,3,3,97,65,3,4,226,0
391,5,3,100,63,5,4,239,0
547,4,3,4,67,152,3,288,2
375,3,4,98,65,2,2,220,0
372,3,4,4,69,3,2,137,0
369,4,4,99,66,3,3,233,0
415,4,4,99,69,3,3,232,0
369,4,3,97,61,3,3,215,0
368,3,3,5,66,2,2,128,0
371,3,3,5,69,2,3,135,0
364,3,4,4,67,2,3,132,0
359,3,3,100,64,3,3,222,0
371,3,3,4,68,2,2,130,0
506,6,3,99,63,152,2,370,2
375,3,4,6,63,3,2,132,0
387,4,3,98,68,5,3,231,0
364,2,4,6,61,2,2,122,0
360,3,3,98,64,3,3,222,0
400,4,3,98,74,2,2,231,0
379,2,4,98,65,3,3,229,0
384,5,4,3,60,2,3,127,0
390,7,3,98,62,3,5,230,0
369,4,4,5,68,2,2,136,0
369,3,3,5,61,2,2,125,0
384,4,3,99,64,4,3,225,0
399,3,4,99,74,3,3,236,0
380,3,3,5,67,3,3,134,0
383,2,4,99,78,2,4,239,0
377,3,3,98,64,3,3,225,0
392,4,2,4,64,3,3,127,0
377,3,3,5,70,2,2,133,0
365,3,4,99,70,3,3,226,0
372,3,4,4,66,2,3,128,0
359,4,4,100,61,3,3,225,0
389,2,3,4,69,3,3,136,0
376,3,4,98,60,2,2,222,0
524,4,3,99,68,152,3,375,2
364,2,4,99,62,2,2,223,0
366,2,4,4,59,3,3,123,0
379,2,4,99,64,2,3,222,0
384,5,1,3,58,2,2,122,0
355,3,3,3,58,2,2,117,0
380,2,4,98,72,3,1,230,0
530,6,32,5,82,32,33,256,1
543,3,3,99,69,152,3,376,2
532,4,3,98,68,152,3,383,2
359,3,3,98,65,2,3,225,0
423,5,2,5,63,2,3,148,0
380,3,4,4,62,2,3,127,0
434,4,6,100,64,3,3,249,0
386,4,3,6,63,3,4,130,0
375,3,3,99,58,2,3,216,0
370,3,4,98,65,1,3,221,0
377,4,4,7,69,3,3,145,0
390,4,4,5,61,2,3,134,0
380,3,3,4,61,3,3,130,0
353,3,3,99,61,2,3,222,0
