Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
482,41,3,122,51,40,40,353,1
576,41,3,4,56,41,42,244,1
377,4,2,3,53,4,3,122,0
357,4,3,4,45,3,4,117,0
370,4,2,3,48,3,3,116,0
386,5,3,4,57,4,4,131,0
365,4,3,122,58,3,3,243,0
352,3,3,121,51,4,3,238,0
389,2,2,3,46,1,4,113,0
360,4,2,3,44,3,3,110,0
360,3,2,3,50,3,3,117,0
474,41,3,122,48,40,40,352,1
364,4,3,122,49,3,3,236,0
468,40,3,4,49,40,40,229,1
371,4,3,4,53,3,4,122,0
393,4,3,4,52,4,4,128,0
352,3,2,122,47,3,3,229,0
478,40,2,4,50,40,40,229,1
495,47,46,122,55,3,46,365,2
365,4,3,3,53,2,4,119,0
359,4,4,5,49,2,3,114,0
371,4,3,122,47,2,4,234,0
370,4,3,3,53,4,3,117,0
351,5,2,3,43,4,3,111,0
385,4,3,4,46,3,3,115,0
364,5,3,122,49,3,7,245,0
361,4,3,4,43,3,4,118,0
371,3,3,4,50,4,3,119,0
493,47,45,122,46,3,46,368,2
349,4,2,5,48,3,3,120,0
380,4,3,122,47,3,3,235,0
385,4,3,122,50,3,4,243,0
361,4,3,4,47,2,3,119,0
401,5,3,4,50,3,2,121,0
367,4,2,3,39,3,4,109,0
368,5,2,3,50,3,3,127,0
385,4,3,122,55,3,4,242,0
352,4,2,121,46,2,2,229,0
396,3,3,123,54,3,4,249,0
518,47,46,121,48,3,46,365,2
370,4,3,122,48,3,4,235,0
366,3,2,122,47,3,3,237,0
484,41,2,122,47,41,40,344,1
365,3,2,3,57,3,3,123,0
396,5,2,123,55,4,5,250,0
395,4,3,3,54,3,2,124,0
414,4,3,122,62,3,3,264,0
377,4,3,3,58,2,3,127,0
508,47,46,4,48,3,46,248,2
376,3,3,122,52,3,3,240,0
352,3,3,4,47,3,3,108,0
370,3,3,4,51,3,4,116,0
367,4,4,121,46,3,3,245,0
359,3,2,121,50,2,3,231,0
487,47,45,122,52,3,47,366,2
381,5,4,5,52,4,4,126,0
474,40,2,3,46,40,41,227,1
368,2,3,5,49,4,4,119,0
406,6,3,122,57,4,5,259,0
508,48,47,121,55,2,47,375,2
417,4,2,3,59,3,3,128,0
360,4,3,122,48,2,2,234,0
475,42,3,123,49,40,41,351,1
440,4,3,4,63,4,4,145,0
479,42,3,121,44,40,43,344,1
407,4,3,3,53,5,4,142,0
403,4,3,4,52,3,4,123,0
352,3,3,121,45,2,4,227,0
353,3,2,3,50,3,3,115,0
369,4,3,122,52,2,3,241,0
352,3,2,5,54,3,2,117,0
361,5,2,122,48,3,3,237,0
346,3,4,5,50,3,3,117,0
393,6,3,4,55,4,5,142,0
357,4,3,122,43,3,2,231,0
388,4,2,122,52,3,3,240,0
385,4,3,122,50,3,2,243,0
381,5,3,123,51,3,2,238,0
384,4,3,122,50,3,4,238,0
558,49,45,122,59,3,48,398,2
361,3,2,3,47,3,3,113,0
463,48,2,122,55,3,4,284,0
413,6,3,3,56,3,4,139,0
364,4,2,3,46,3,3,116,0
476,41,2,3,45,40,40,223,1
395,4,3,4,54,3,3,125,0
379,5,3,121,47,4,5,238,0
380,3,2,5,52,2,3,118,0
375,3,2,5,52,4,3,140,0
419,4,3,4,54,3,3,122,0
349,4,3,4,45,3,3,111,0
369,3,3,4,52,3,3,115,0
353,3,3,3,51,2,4,120,0
360,3,2,4,52,3,3,119,0
381,5,2,4,56,5,4,128,0
392,4,3,4,54,3,3,120,0
356,3,2,122,47,4,3,234,0
556,49,46,122,57,4,47,392,2
382,4,4,4,52,3,3,121,0
374,4,2,122,54,3,3,247,0
398,4,3,122,54,3,3,243,0
488,41,3,121,52,41,40,351,1
529,48,46,122,41,3,47,356,2
489,47,46,122,45,2,46,356,2
446,6,4,4,50,4,3,170,0
499,47,46,4,51,3,46,251,2
342,5,3,123,45,3,3,231,0
360,4,2,4,47,3,4,116,0
345,4,2,121,39,3,2,220,0
372,5,2,4,50,3,5,120,0
371,4,3,122,47,3,3,232,0
380,4,2,121,46,3,3,239,0
373,4,3,121,51,3,3,236,0
496,48,46,4,51,3,47,250,2
380,4,2,3,47,2,3,115,0
376,2,2,121,55,3,3,235,0
441,4,4,4,57,4,3,147,0
469,47,46,5,43,3,47,237,2
389,5,2,122,48,3,5,245,0
487,42,2,3,47,40,40,230,1
541,43,4,6,63,43,41,270,1
358,4,3,122,50,3,3,232,0
393,5,3,4,49,3,4,124,0
375,4,3,122,42,3,8,240,0
513,47,46,3,52,3,48,251,2
365,6,2,4,40,2,3,107,0
349,4,3,4,49,3,2,116,0
376,3,2,122,51,3,3,234,0
417,4,3,122,57,3,4,260,0
391,5,2,4,51,3,3,128,0
483,5,2,122,54,4,4,245,0
386,5,3,4,52,6,4,132,0
380,4,3,123,49,3,2,237,0
365,4,2,3,44,5,3,110,0
385,4,2,122,55,4,3,247,0
341,4,3,121,47,3,4,231,0
466,42,3,4,45,40,40,229,1
370,4,3,123,58,3,3,248,0
372,4,2,4,51,3,3,123,0
355,3,3,4,52,3,3,118,0
383,4,3,3,47,2,3,112,0
494,48,46,4,50,3,46,251,2
437,3,1,4,55,3,4,118,0
518,47,46,122,57,3,46,375,2
376,5,2,123,52,3,3,258,0
373,2,2,122,43,1,2,224,0
368,4,3,5,50,3,4,116,0
385,5,2,123,52,4,4,254,0
383,3,3,121,40,3,5,223,0
357,4,3,4,45,3,3,117,0
387,3,2,5,56,4,4,134,0
370,4,3,4,49,7,3,118,0
355,3,3,121,46,3,3,234,0
353,4,3,4,48,3,3,117,0
364,3,3,122,45,3,3,232,0
361,4,3,122,47,3,5,233,0
346,4,3,122,42,3,3,232,0
497,48,46,4,46,4,46,251,2
368,3,3,5,50,3,3,114,0
353,3,2,4,54,3,2,121,0
345,3,3,3,49,7,2,116,0
375,5,2,121,42,3,4,224,0
412,4,3,121,51,3,4,253,0
385,3,3,4,54,3,4,124,0
377,4,2,123,58,3,4,248,0
365,5,3,122,47,4,3,233,0
436,6,3,122,53,5,4,269,0
362,4,4,121,49,3,3,240,0
381,4,3,123,45,3,3,235,0
585,49,46,123,54,3,47,381,2
360,3,3,4,47,3,4,121,0
446,4,3,122,46,3,3,233,0
384,4,4,5,50,3,4,123,0
390,4,3,5,57,3,3,143,0
396,5,2,4,53,4,6,136,0
397,5,2,4,53,4,4,137,0
492,42,3,4,56,40,41,245,1
366,4,3,4,50,2,4,125,0
374,4,3,122,47,3,2,229,0
412,5,3,4,56,3,4,138,0
412,6,3,122,56,6,4,259,0
386,4,3,4,58,3,4,132,0
385,4,2,121,47,3,3,236,0
357,3,2,3,49,2,3,118,0
387,3,3,4,52,2,3,117,0
506,48,45,3,46,3,47,238,2
