Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
398,5,3,4,52,4,4,129,0
365,4,3,5,54,3,4,126,0
439,7,4,5,52,4,5,147,0
374,3,3,122,44,4,4,237,0
328,4,2,121,38,3,3,203,0
366,4,1,3,48,3,4,111,0
360,4,2,121,43,2,3,228,0
465,4,57,122,47,60,3,347,1
493,5,57,121,47,59,4,349,1
370,3,2,122,45,3,3,234,0
363,4,3,4,49,3,3,117,0
390,10,3,4,54,3,4,134,0
517,6,58,122,48,60,4,362,1
355,4,2,122,47,3,3,228,0
356,6,2,121,40,4,3,226,0
372,4,2,4,46,4,4,116,0
379,4,3,121,47,2,3,234,0
470,3,3,123,44,4,4,230,0
486,4,57,5,50,59,3,228,1
414,6,2,3,48,3,6,134,0
499,49,45,122,103,3,4,381,2
360,5,2,122,54,4,3,242,0
361,4,2,4,50,4,3,116,0
377,4,2,4,44,3,3,115,0
362,4,2,122,48,3,3,227,0
535,47,46,3,111,4,3,274,2
378,4,2,122,56,4,5,249,0
417,6,3,4,48,4,4,138,0
466,3,57,121,46,59,4,339,1
381,4,2,4,48,3,3,113,0
365,3,3,122,48,3,3,231,0
376,3,2,4,43,3,3,109,0
535,5,58,123,48,59,4,355,1
377,3,2,4,48,4,4,119,0
556,48,47,4,122,4,4,286,2
362,4,2,3,46,4,4,114,0
378,4,2,3,43,3,2,116,0
438,5,4,123,48,6,4,246,0
477,4,58,4,48,59,3,228,1
385,4,3,122,53,2,4,243,0
400,5,3,4,52,3,5,139,0
371,4,3,122,47,4,5,236,0
370,4,2,4,48,3,3,113,0
359,3,2,3,45,4,4,113,0
366,4,2,122,42,4,3,227,0
374,4,4,122,53,3,4,238,0
422,6,3,121,60,4,4,266,0
522,48,46,122,116,4,4,391,2
478,4,58,4,39,59,4,222,1
370,4,4,122,54,4,4,246,0
369,3,3,122,44,3,4,230,0
367,5,3,4,49,3,4,125,0
386,5,7,6,49,4,4,129,0
398,7,2,4,58,3,4,129,0
477,4,58,3,43,58,3,222,1
371,4,3,122,53,3,4,239,0
364,4,3,3,44,4,5,117,0
378,4,2,4,50,3,2,118,0
496,47,45,4,107,3,3,260,2
364,4,2,122,47,3,3,230,0
435,5,3,4,52,5,6,139,0
408,5,2,122,54,5,4,258,0
426,4,4,122,56,5,6,268,0
359,3,3,121,44,3,3,226,0
350,3,2,120,48,4,4,228,0
585,49,47,123,117,6,4,420,2
380,5,2,121,41,3,5,227,0
377,4,2,4,50,4,4,120,0
369,3,2,121,43,3,3,226,0
540,48,47,4,108,4,3,266,2
520,46,45,4,107,4,4,263,2
433,6,3,121,51,4,4,262,0
364,4,2,121,46,4,4,233,0
374,4,3,122,44,3,4,234,0
349,4,2,121,44,4,4,228,0
422,4,2,121,35,3,3,214,0
362,4,3,3,49,3,4,117,0
447,3,3,121,42,3,4,228,0
480,3,58,4,43,58,3,223,1
381,6,3,123,46,4,2,242,0
405,6,2,5,54,5,4,143,0
346,4,2,4,45,4,3,110,0
354,4,3,4,46,3,4,116,0
386,4,2,121,38,2,4,218,0
507,46,46,5,113,3,4,269,2
366,4,3,5,49,2,3,118,0
355,4,2,121,44,3,3,231,0
388,3,4,122,52,3,3,244,0
483,4,58,4,50,59,4,233,1
367,4,2,4,49,3,3,115,0
344,4,2,121,46,3,4,229,0
390,3,3,122,43,3,3,230,0
367,2,2,4,43,4,4,114,0
358,3,3,4,47,4,3,134,0
474,2,58,122,48,59,3,347,1
377,4,2,3,46,4,4,118,0
352,3,2,4,38,3,3,109,0
366,4,3,4,46,3,4,118,0
534,47,46,122,106,3,3,371,2
380,6,3,3,52,3,4,126,0
362,4,2,121,44,3,4,226,0
455,3,57,122,44,58,4,338,1
378,3,3,122,50,3,4,240,0
403,5,2,122,53,3,3,239,0
383,5,3,5,51,3,4,121,0
379,3,3,4,49,4,4,120,0
370,5,2,3,48,3,3,118,0
338,3,3,122,49,3,2,231,0
356,3,2,4,51,3,3,115,0
382,3,2,122,46,4,3,237,0
390,6,3,4,44,4,3,120,0
510,47,46,3,106,3,3,261,2
363,4,3,4,46,4,3,121,0
386,4,2,3,52,3,4,121,0
474,4,58,4,39,59,4,219,1
372,13,2,2,43,3,4,112,0
411,6,4,5,59,4,5,152,0
392,4,3,122,52,3,4,238,0
354,4,3,3,48,3,3,123,0
375,3,2,122,44,3,4,223,0
436,9,3,122,58,5,5,264,0
373,4,3,122,55,3,4,239,0
504,47,45,122,104,3,3,377,2
367,4,3,122,46,4,4,240,0
381,4,3,121,50,4,4,232,0
345,7,3,121,43,3,3,226,0
357,3,2,4,51,3,4,117,0
346,5,3,4,50,3,4,123,0
367,4,3,3,49,3,3,119,0
360,5,3,4,43,3,4,119,0
370,4,3,122,46,5,3,232,0
560,49,46,122,106,4,4,397,2
375,4,2,3,54,4,3,119,0
468,3,57,4,47,59,3,225,1
383,6,2,122,52,4,3,242,0
548,49,46,122,115,4,4,391,2
369,4,3,3,51,3,3,118,0
393,6,3,4,53,4,4,140,0
525,47,46,3,111,4,3,264,2
365,3,3,122,49,2,3,230,0
358,4,4,123,50,3,3,238,0
372,4,3,4,49,3,4,117,0
360,4,3,4,45,3,4,110,0
379,4,2,121,47,3,4,239,0
452,3,58,121,43,59,3,339,1
371,4,2,4,50,4,4,112,0
354,4,2,122,45,3,4,235,0
381,3,2,3,45,3,4,110,0
368,4,2,4,48,4,4,124,0
393,4,3,4,54,6,4,130,0
545,49,45,3,110,4,4,274,2
349,3,3,4,53,4,3,122,0
384,4,2,122,42,4,3,227,0
530,47,45,4,105,3,5,261,2
369,2,3,4,48,8,4,122,0
365,4,3,5,48,3,3,118,0
387,5,2,4,45,3,4,116,0
404,3,2,122,43,4,3,226,0
387,5,3,4,42,3,3,112,0
395,4,3,4,53,4,4,129,0
537,48,46,122,111,3,4,391,2
370,4,4,123,47,3,5,236,0
383,5,3,4,50,4,3,123,0
490,5,58,122,53,59,4,353,1
397,5,2,2,50,3,3,122,0
367,4,2,122,46,2,4,226,0
483,4,57,122,48,59,4,349,1
371,4,3,4,47,4,3,112,0
368,4,1,3,39,3,3,102,0
376,4,4,4,49,3,3,116,0
401,5,3,121,49,3,4,246,0
368,4,2,122,46,4,3,233,0
365,4,3,121,46,3,4,229,0
388,4,3,4,54,3,4,125,0
353,3,3,4,44,2,3,109,0
553,48,46,122,110,3,4,385,2
353,4,2,3,43,3,4,109,0
356,4,3,5,45,3,3,117,0
384,4,3,3,49,3,4,117,0
352,4,3,4,47,3,3,112,0
350,4,2,4,42,3,4,112,0
387,4,2,121,42,3,4,233,0
469,4,58,122,42,58,4,338,1
347,4,2,4,46,3,4,107,0
471,4,58,3,39,57,4,214,1
355,3,2,4,43,3,3,107,0
503,3,58,4,51,59,4,232,1
350,4,3,4,44,4,4,112,0
532,47,45,4,120,3,3,271,2
432,7,3,4,60,4,4,154,0
484,4,58,4,49,59,3,228,1
499,47,45,4,106,3,4,265,2
342,4,3,121,43,3,3,227,0
370,4,3,122,48,4,4,238,0
364,4,2,3,42,3,4,103,0
540,48,46,122,108,3,4,380,2
352,3,2,4,48,3,2,111,0
556,49,46,121,115,3,4,396,2
496,47,45,122,104,4,4,379,2
527,47,46,3,108,3,6,262,2
372,3,3,122,46,4,4,232,0
335,2,3,122,46,3,2,222,0
396,6,3,4,54,3,4,131,0
376,5,3,122,50,3,4,234,0
355,4,3,122,47,3,4,231,0
397,4,3,122,47,3,4,237,0
479,4,58,122,48,59,4,346,1
521,47,46,3,105,3,4,254,2
359,4,2,122,45,4,3,227,0
561,5,58,4,62,59,4,272,1
369,4,2,4,44,3,4,112,0
353,3,3,4,47,3,3,113,0
361,3,3,122,47,2,3,236,0
355,3,3,4,45,4,3,109,0
381,4,3,4,44,4,3,123,0
514,48,46,4,105,4,4,258,2
334,3,2,3,42,3,4,103,0
351,4,3,3,45,3,4,111,0
362,5,3,4,48,4,4,120,0
369,4,4,4,47,3,3,110,0
352,4,2,3,50,3,3,119,0
535,7,58,4,48,61,5,257,1
448,4,2,3,60,4,4,147,0
553,48,46,121,106,3,3,378,2
478,4,57,3,46,58,4,229,1
351,3,3,4,51,3,4,111,0
375,4,2,3,45,4,3,120,0
384,4,2,122,44,4,3,234,0
369,4,3,123,41,3,4,230,0
474,4,57,121,41,59,3,340,1
354,3,4,123,42,3,3,233,0
398,5,2,121,54,4,4,247,0
373,4,3,122,51,3,4,245,0
381,3,2,122,53,5,3,238,0
373,4,2,122,50,3,4,233,0
413,5,2,122,52,3,3,252,0
421,6,5,6,57,5,4,163,0
527,49,45,122,108,3,4,389,2
365,3,2,2,47,2,3,105,0
358,4,2,4,45,4,3,113,0
374,3,3,4,51,4,4,120,0
355,4,3,121,46,2,4,232,0
477,4,57,121,46,58,3,342,1
441,5,4,4,58,3,5,147,0
357,3,2,122,43,3,3,233,0
482,5,57,121,48,58,4,345,1
490,4,58,122,43,59,4,343,1
363,3,3,122,45,3,4,232,0
394,4,2,121,46,6,3,239,0
482,4,58,3,48,59,4,229,1
518,46,46,122,107,3,4,376,2
338,3,2,3,43,2,3,105,0
382,3,2,122,51,3,3,232,0
401,4,2,4,54,3,4,136,0
373,4,3,4,53,3,4,120,0
372,4,2,122,46,2,3,230,0
425,6,2,122,50,4,3,253,0
374,5,3,4,50,3,4,124,0
441,6,3,4,49,4,7,141,0
489,5,58,122,53,59,4,356,1
385,4,4,122,58,3,8,248,0
