Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
366,4,3,44,53,4,4,156,0
374,3,3,44,52,3,3,161,0
374,3,3,44,52,3,4,161,0
373,4,3,5,54,4,4,130,0
384,4,3,5,50,2,4,116,0
380,4,2,3,51,3,4,120,0
497,49,49,4,60,49,3,270,2
397,4,3,44,63,4,4,175,0
467,4,36,44,92,4,37,276,1
380,3,3,44,48,3,3,156,0
378,4,3,4,59,3,3,129,0
521,53,50,5,53,50,4,267,2
374,3,2,5,54,3,3,124,0
420,5,3,43,52,3,4,176,0
429,6,3,44,66,3,5,198,0
395,3,3,5,53,2,3,121,0
501,50,48,44,51,49,3,296,2
370,4,2,44,55,3,3,162,0
390,3,3,44,51,4,4,164,0
383,3,3,4,54,3,3,118,0
367,3,3,4,50,3,3,120,0
362,4,3,44,47,3,3,152,0
421,5,3,43,58,3,5,186,0
391,3,3,4,53,3,3,121,0
425,6,3,5,62,4,4,157,0
386,3,3,44,57,2,3,160,0
508,50,49,45,55,50,5,309,2
480,3,36,45,90,4,37,273,1
391,4,3,44,51,3,4,172,0
508,50,49,4,55,50,4,267,2
354,3,3,43,53,4,3,159,0
353,4,3,44,60,3,3,171,0
389,3,4,4,57,3,4,123,0
451,6,3,4,70,5,4,171,0
372,2,2,44,52,3,3,157,0
377,3,3,43,49,2,4,154,0
366,4,3,44,53,3,3,162,0
346,4,3,44,49,2,3,161,0
385,3,3,4,54,2,3,123,0
544,52,50,46,62,50,4,329,2
394,5,3,4,55,4,4,142,0
435,6,4,45,63,4,4,191,0
409,4,2,43,49,3,4,153,0
377,3,3,44,56,4,2,165,0
363,4,4,5,53,3,3,120,0
503,3,36,4,95,2,37,230,1
381,3,3,44,46,2,4,150,0
504,49,49,4,51,49,3,253,2
491,4,37,44,100,3,38,278,1
379,3,4,4,67,3,3,133,0
