Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
383,3,3,141,64,1,3,264,0
371,3,3,3,55,2,3,115,0
348,4,3,5,54,3,3,120,0
481,4,3,5,51,99,2,217,2
379,3,4,4,54,2,3,116,0
364,3,3,4,55,2,2,121,0
361,2,2,2,50,3,2,113,0
341,3,2,141,56,3,3,248,0
352,3,1,3,50,2,2,107,0
352,3,2,3,54,3,2,114,0
380,3,3,4,54,3,3,121,0
348,3,4,4,47,2,2,110,0
367,3,2,4,54,3,3,120,0
373,3,2,3,52,2,3,115,0
348,3,2,142,49,3,3,250,0
357,4,2,141,59,2,3,255,0
451,3,3,140,52,98,2,349,2
346,2,3,5,53,3,3,115,0
536,4,4,6,47,100,11,226,2
360,3,3,4,54,2,3,120,0
396,4,3,141,59,3,3,273,0
364,3,3,4,57,2,3,114,0
351,3,3,141,51,1,3,248,0
381,4,3,4,54,3,2,116,0
367,3,3,4,52,2,2,116,0
458,3,3,4,55,98,2,214,2
364,3,3,142,49,2,3,252,0
495,4,3,142,56,3,106,361,1
466,3,3,142,49,2,105,350,1
382,5,4,4,53,3,3,123,0
368,3,3,142,56,2,3,259,0
361,4,3,4,59,2,3,125,0
358,2,3,4,52,3,2,110,0
368,4,3,142,57,3,3,263,0
365,2,3,141,51,2,3,246,0
448,3,3,4,47,3,105,212,1
360,4,3,142,56,3,3,258,0
347,2,3,142,48,2,2,243,0
379,3,3,4,53,3,3,123,0
367,3,4,4,54,2,3,121,0
362,3,3,140,47,2,2,245,0
367,3,3,4,52,2,2,116,0
361,3,3,141,48,3,2,247,0
374,2,2,4,54,2,3,108,0
358,4,3,4,54,3,2,113,0
474,3,2,141,56,2,106,360,1
463,3,3,141,46,3,105,351,1
349,3,3,141,52,2,3,254,0
352,3,3,3,53,1,3,111,0
455,3,3,141,55,99,3,353,2
466,5,3,141,51,99,3,352,2
361,3,3,141,53,2,3,254,0
350,3,3,4,51,2,3,113,0
345,3,3,4,51,1,3,112,0
363,4,3,141,58,3,2,258,0
362,2,3,141,52,2,2,252,0
360,4,2,140,49,2,3,243,0
377,4,4,142,55,3,3,262,0
362,3,4,5,52,1,3,113,0
372,4,2,141,48,3,3,243,0
365,3,3,141,61,3,3,264,0
356,4,3,141,55,3,3,255,0
365,4,2,140,53,2,3,250,0
364,4,4,141,51,2,2,248,0
347,3,3,5,52,2,3,118,0
454,3,3,3,57,3,106,225,1
410,5,3,141,61,4,4,278,0
356,3,3,141,52,3,3,250,0
369,4,2,4,56,3,3,119,0
368,4,3,4,56,3,3,120,0
347,4,2,141,52,3,3,252,0
384,3,3,141,52,2,4,255,0
439,3,3,5,51,2,105,215,1
369,3,3,4,53,2,3,114,0
445,4,3,4,52,99,2,215,2
359,3,2,141,50,3,3,248,0
354,3,3,141,45,2,2,243,0
471,3,3,4,56,2,105,221,1
364,3,2,140,53,2,2,247,0
459,3,3,141,53,3,105,350,1
349,2,3,4,53,3,3,113,0
355,3,3,4,48,2,3,109,0
449,2,2,4,46,2,105,206,1
350,5,2,3,49,3,2,110,0
367,5,3,142,57,3,3,258,0
452,2,2,4,52,98,2,209,2
361,3,3,141,50,2,3,250,0
364,3,2,141,51,3,2,248,0
348,1,2,141,46,2,3,238,0
390,3,4,4,57,3,3,120,0
434,4,3,141,44,3,105,335,1
345,3,3,141,52,2,3,256,0
364,3,3,142,53,2,2,252,0
342,4,3,3,54,2,2,117,0
440,3,3,141,51,99,4,348,2
