Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
371,3,4,3,51,3,3,119,0
356,3,3,149,53,5,4,266,0
354,3,2,148,52,4,3,266,0
426,5,3,148,54,3,5,287,0
453,34,3,3,92,33,5,218,2
373,3,3,149,54,4,4,275,0
385,3,2,5,53,4,4,125,0
362,3,3,149,50,4,3,261,0
371,3,3,3,49,3,2,109,0
532,4,2,149,49,5,160,420,1
375,3,2,4,52,3,3,117,0
523,3,3,3,53,3,159,276,1
440,3,2,149,49,2,3,251,0
361,4,4,4,56,4,3,127,0
401,4,3,4,61,4,5,136,0
544,3,2,4,49,3,158,269,1
372,3,3,148,52,2,3,262,0
359,3,3,3,55,3,3,122,0
372,4,3,149,49,4,4,264,0
519,3,3,149,53,3,156,421,1
346,4,4,150,56,3,4,266,0
488,3,3,4,52,3,158,270,1
510,3,4,149,49,3,157,413,1
463,33,3,149,95,33,4,370,2
365,3,3,4,59,3,3,126,0
386,3,3,4,57,3,3,124,0
362,3,4,5,58,3,3,128,0
349,3,2,4,50,3,4,118,0
415,6,2,5,58,4,9,140,0
505,3,3,4,48,3,158,262,1
410,3,3,5,53,3,3,123,0
362,3,3,4,52,3,4,122,0
412,3,3,149,55,4,4,272,0
354,3,4,4,47,3,3,113,0
362,2,3,3,42,5,4,109,0
355,3,3,5,47,2,3,107,0
368,3,2,2,51,3,3,115,0
479,34,3,4,94,34,3,217,2
458,34,3,150,93,33,3,369,2
382,2,3,149,46,3,3,249,0
371,4,3,150,53,5,3,268,0
370,3,4,4,55,3,3,121,0
383,3,2,148,52,4,3,267,0
352,3,3,4,59,3,3,121,0
364,3,3,4,49,3,4,114,0
357,3,3,3,53,2,4,115,0
358,3,3,149,54,3,3,269,0
371,4,3,4,53,5,4,126,0
355,3,3,4,52,3,4,111,0
374,4,3,149,52,3,2,262,0
353,3,3,5,57,3,3,122,0
358,2,3,149,52,1,4,263,0
353,3,3,149,55,4,3,262,0
374,4,2,149,53,4,4,263,0
370,3,2,149,54,2,3,264,0
380,3,3,149,61,3,3,270,0
375,4,3,5,58,3,4,128,0
341,3,3,4,55,3,3,119,0
376,3,2,4,54,4,3,122,0
502,3,3,4,50,3,158,264,1
358,3,4,149,55,3,3,264,0
359,3,2,149,49,3,2,256,0
469,34,2,149,93,33,3,365,2
376,3,3,4,54,3,3,120,0
343,3,3,149,56,3,4,266,0
500,36,3,149,104,35,5,389,2
368,4,2,4,51,3,2,109,0
344,3,3,5,54,3,3,125,0
364,4,3,5,57,2,3,125,0
352,3,3,5,44,3,4,110,0
483,36,3,148,92,33,5,370,2
366,3,2,4,46,3,3,110,0
465,33,2,149,94,35,4,370,2
349,3,3,5,50,3,3,119,0
368,3,3,4,49,3,3,113,0
448,33,2,3,93,34,3,218,2
384,3,3,4,52,3,3,117,0
389,4,3,150,61,4,4,277,0
493,34,2,5,93,34,5,224,2
367,4,4,150,55,4,4,269,0
370,3,3,149,58,3,4,273,0
451,33,3,150,90,33,3,363,2
495,3,3,150,50,3,157,412,1
375,3,3,149,47,3,3,260,0
367,3,3,4,54,3,4,124,0
514,3,3,4,53,4,157,275,1
368,3,3,4,50,3,3,119,0
365,4,3,5,51,3,4,120,0
356,3,3,149,50,3,3,255,0
362,2,3,149,54,3,4,263,0
371,5,4,149,52,3,3,270,0
357,4,3,5,44,4,4,114,0
360,3,3,149,49,2,3,259,0
371,3,4,150,55,4,4,266,0
521,5,3,4,55,6,158,279,1
480,34,3,149,102,34,4,385,2
361,4,3,149,57,4,2,268,0
592,34,4,150,98,35,4,382,2
384,4,2,4,59,4,6,130,0
498,2,3,5,56,2,157,273,1
457,34,4,4,99,32,4,231,2
473,33,3,4,94,34,3,218,2
368,3,3,4,60,2,3,126,0
466,33,3,149,92,33,3,361,2
369,4,3,148,51,3,5,262,0
365,3,2,149,54,3,3,265,0
409,5,3,5,53,4,6,138,0
473,33,2,3,90,33,3,207,2
375,4,3,3,55,3,3,119,0
469,34,3,4,89,33,4,213,2
368,3,3,4,49,3,4,116,0
368,3,3,149,60,3,2,269,0
356,3,2,149,50,2,3,254,0
370,4,3,4,53,4,4,122,0
519,4,3,149,59,2,157,422,1
354,2,3,150,52,3,3,261,0
366,3,3,4,51,3,3,118,0
466,34,1,149,96,33,3,364,2
362,3,3,4,52,3,2,113,0
534,4,3,4,47,4,157,269,1
354,3,2,149,51,2,3,259,0
358,4,2,4,51,4,5,118,0
486,34,4,150,104,34,4,375,2
355,3,2,149,55,3,4,267,0
388,4,2,4,51,3,4,120,0
358,3,3,4,55,3,3,120,0
362,4,4,150,61,3,4,280,0
382,3,3,149,51,3,3,259,0
367,3,3,151,59,3,3,271,0
378,3,3,149,56,3,3,267,0
356,3,3,4,48,3,2,112,0
375,3,3,4,59,4,3,123,0
361,3,3,4,50,3,3,114,0
381,4,3,4,60,3,4,131,0
431,3,3,4,57,4,4,127,0
377,3,3,4,55,3,3,126,0
343,3,3,4,54,3,3,120,0
538,3,3,3,53,3,157,271,1
349,3,3,6,45,2,3,109,0
471,33,3,4,93,33,3,221,2
363,3,3,148,55,4,4,265,0
369,3,4,148,55,3,4,262,0
379,3,4,150,58,2,2,274,0
356,3,3,3,50,3,3,114,0
376,3,3,148,51,4,5,262,0
383,4,3,4,61,3,3,129,0
359,3,3,151,55,3,5,268,0
380,3,3,4,59,4,2,126,0
383,4,3,4,45,3,4,115,0
370,4,2,148,54,3,3,261,0
396,3,3,149,53,3,2,263,0
355,2,3,149,49,3,3,261,0
350,3,3,4,48,3,3,114,0
573,3,3,3,57,5,158,296,1
358,4,3,149,53,3,3,269,0
369,3,3,3,49,3,4,118,0
364,4,3,4,56,3,3,125,0
382,4,2,4,49,4,3,120,0
523,34,3,149,98,33,4,378,2
354,3,3,149,56,3,3,264,0
377,3,3,149,60,3,4,276,0
429,3,3,149,57,3,3,268,0
359,3,3,149,49,3,3,259,0
515,4,3,149,54,3,158,419,1
469,34,3,5,90,32,4,223,2
364,3,3,150,52,4,2,264,0
372,4,3,149,48,3,4,267,0
357,5,3,4,48,3,5,124,0
539,3,3,150,57,4,158,427,1
363,3,2,3,53,3,3,122,0
389,4,4,149,54,3,4,262,0
349,3,3,4,55,3,3,121,0
383,4,3,150,54,8,4,275,0
458,33,3,149,93,33,3,369,2
368,2,2,149,50,3,2,259,0
377,3,3,149,54,4,3,269,0
474,33,3,4,94,33,4,218,2
358,4,5,149,59,6,4,279,0
365,3,4,5,51,3,3,125,0
339,3,4,5,55,4,3,122,0
353,4,3,5,54,3,4,119,0
372,3,3,4,54,4,3,121,0
387,5,4,150,54,3,4,277,0
394,5,3,5,52,4,4,129,0
367,3,4,149,59,1,3,271,0
363,4,2,149,53,4,3,266,0
529,3,3,149,56,4,158,428,1
369,3,3,149,59,3,4,273,0
359,3,2,149,55,4,4,268,0
353,3,3,149,48,4,4,262,0
362,3,3,149,54,3,3,261,0
531,4,3,4,61,3,157,280,1
375,4,3,149,46,4,4,259,0
366,4,3,5,54,3,3,124,0
520,4,2,150,55,5,157,423,1
374,3,3,4,54,3,4,128,0
356,2,4,5,53,4,3,120,0
364,3,3,5,49,4,3,116,0
441,33,3,148,93,33,4,360,2
363,4,3,149,53,3,3,266,0
529,3,3,149,55,3,158,417,1
370,3,3,149,48,3,3,254,0
362,3,4,4,54,3,4,119,0
363,3,2,149,50,3,3,259,0
354,4,3,4,55,3,3,122,0
328,3,3,4,52,3,3,112,0
340,5,3,149,53,3,3,269,0
354,3,3,149,55,2,4,268,0
472,32,3,4,94,33,4,219,2
364,3,3,4,50,3,2,118,0
426,6,3,4,60,4,6,151,0
374,4,3,149,57,4,3,271,0
387,4,4,149,59,4,4,277,0
363,3,3,3,52,2,3,115,0
354,3,3,5,51,3,4,119,0
455,33,3,149,95,33,3,363,2
376,4,3,149,50,3,3,268,0
592,4,2,4,60,4,158,289,1
363,3,2,149,54,4,3,263,0
408,5,4,149,61,5,4,296,0
366,4,3,3,55,3,4,122,0
402,3,3,149,52,3,3,260,0
645,3,3,5,56,3,157,278,1
364,4,2,4,47,4,4,111,0
534,3,4,149,57,4,157,423,1
364,2,3,150,51,4,4,263,0
515,3,3,149,56,4,158,424,1
359,3,3,148,50,3,2,255,0
355,3,2,149,56,4,3,261,0
549,34,3,151,113,34,4,388,2
347,3,3,149,51,4,4,259,0
414,3,3,149,58,3,4,272,0
357,3,2,5,54,3,3,120,0
354,4,3,4,55,3,5,126,0
510,2,2,149,44,3,157,405,1
521,35,4,149,95,34,5,381,2
355,4,2,4,56,3,4,122,0
356,3,3,3,52,3,3,116,0
366,3,2,150,55,3,4,260,0
347,3,3,4,52,2,3,112,0
347,3,2,150,49,2,3,255,0
357,3,2,149,50,3,2,253,0
414,3,2,3,56,4,4,133,0
367,3,3,4,52,3,3,117,0
358,3,2,150,56,3,3,268,0
361,4,3,149,50,3,5,267,0
390,3,3,149,59,4,4,270,0
428,7,4,5,60,4,3,153,0
377,3,3,149,51,3,3,265,0
359,3,3,148,55,4,3,270,0
344,4,3,4,53,3,3,119,0
347,2,2,147,51,4,3,259,0
374,3,3,148,57,3,4,267,0
370,3,3,4,57,3,2,123,0
341,3,3,5,56,3,4,121,0
354,3,3,148,52,4,3,263,0
335,2,3,4,51,1,3,109,0
357,4,3,4,57,4,3,125,0
349,3,3,5,48,3,4,114,0
352,4,2,149,49,3,3,263,0
488,35,3,149,96,35,5,373,2
348,3,3,149,57,4,4,266,0
366,3,3,149,51,3,4,265,0
359,3,3,149,45,3,3,253,0
638,3,4,4,53,3,158,274,1
482,34,3,4,90,33,4,220,2
375,3,2,149,50,3,3,263,0
458,33,3,149,92,34,4,362,2
436,4,2,2,52,3,5,129,0
370,3,3,149,54,3,2,265,0
372,3,3,4,55,3,3,121,0
360,3,3,149,56,3,4,266,0
369,3,2,149,56,4,3,274,0
556,3,4,149,56,3,158,422,1
340,3,3,149,51,4,4,267,0
361,3,3,149,54,3,3,265,0
361,3,3,4,54,4,5,122,0
369,3,3,4,50,2,4,118,0
358,4,3,4,57,3,4,128,0
383,4,2,4,55,3,5,126,0
390,5,3,149,55,4,4,277,0
350,3,3,149,47,2,4,257,0
382,5,4,4,51,4,3,124,0
371,3,4,148,52,3,2,262,0
352,3,3,4,53,3,3,115,0
466,33,4,150,96,34,3,370,2
365,4,3,150,48,3,5,258,0
405,5,2,3,54,5,5,140,0
533,5,3,4,49,4,159,276,1
383,3,2,4,57,3,3,125,0
343,4,2,4,48,3,4,115,0
367,3,4,149,55,2,3,272,0
352,2,3,3,50,3,3,113,0
353,4,2,149,51,3,4,260,0
360,3,2,4,56,3,3,120,0
362,3,4,5,53,3,4,116,0
385,3,3,149,53,3,3,260,0
374,3,3,149,53,3,4,262,0
391,4,3,150,55,4,4,275,0
365,3,2,3,53,2,3,114,0
366,3,3,149,52,3,3,264,0
350,3,3,149,52,2,2,258,0
370,3,3,4,51,3,4,115,0
360,3,3,149,49,2,3,253,0
473,35,3,149,91,35,5,376,2
370,5,3,149,55,3,3,268,0
520,2,2,149,50,3,158,415,1
353,3,3,4,52,3,4,117,0
366,4,3,4,53,4,4,123,0
371,3,3,149,49,3,3,257,0
349,3,3,149,54,3,3,263,0
365,3,3,4,52,2,3,117,0
355,4,4,149,56,3,4,271,0
363,4,3,4,45,3,4,107,0
364,4,3,4,56,4,4,130,0
350,5,3,149,49,3,6,264,0
378,3,3,4,53,5,4,122,0
373,3,3,4,60,3,3,128,0
359,2,1,149,52,3,4,261,0
350,3,3,149,52,2,3,262,0
365,4,3,149,59,3,4,274,0
371,3,3,4,55,3,3,124,0
362,4,2,3,53,3,4,124,0
376,4,4,4,54,4,4,129,0
349,4,3,149,52,3,4,268,0
394,6,3,5,49,4,4,128,0
362,2,3,149,53,3,4,261,0
513,4,2,3,54,4,159,277,1
350,3,4,4,49,3,3,113,0
344,3,3,150,52,4,2,261,0
346,3,3,4,54,4,3,116,0
507,3,3,5,52,4,158,277,1
372,3,3,5,53,3,3,121,0
358,2,2,4,53,3,3,116,0
355,3,4,149,48,3,4,260,0
348,3,3,4,53,3,3,119,0
514,3,3,149,52,3,158,415,1
338,2,3,3,50,2,4,118,0
484,34,3,4,93,33,4,221,2
505,4,3,149,46,3,159,408,1
351,3,3,4,52,3,4,119,0
360,4,3,4,51,3,4,115,0
350,3,3,4,57,3,3,118,0
517,3,3,150,54,3,158,425,1
356,3,3,149,52,3,2,262,0
343,3,3,4,53,3,3,116,0
368,3,3,4,51,3,4,114,0
349,3,3,149,50,3,5,266,0
370,3,3,148,54,3,3,265,0
375,3,3,5,60,3,3,128,0
378,4,2,4,56,4,4,126,0
535,3,3,150,54,3,157,425,1
362,4,3,149,54,3,3,265,0
349,3,3,149,56,4,4,267,0
364,3,2,5,47,3,3,113,0
402,3,2,5,53,5,5,118,0
393,3,2,3,56,4,3,124,0
384,5,2,3,52,5,5,127,0
354,3,3,149,56,3,2,265,0
353,3,2,5,51,3,3,118,0
480,33,3,149,98,33,4,371,2
384,3,3,149,56,2,3,260,0
365,2,3,148,54,3,3,262,0
382,3,3,4,55,3,3,116,0
357,3,3,149,51,3,3,260,0
532,3,3,4,50,3,158,269,1
356,3,3,150,53,3,4,263,0
383,3,4,148,56,3,3,265,0
385,4,3,148,59,3,2,271,0
456,33,3,149,93,33,4,362,2
367,5,2,150,45,4,2,260,0
355,3,3,149,49,3,3,256,0
358,3,3,4,53,3,4,119,0
380,6,4,148,61,4,4,279,0
387,4,2,4,55,2,4,116,0
501,3,3,149,54,3,3,259,0
519,4,3,4,52,3,157,273,1
347,3,3,4,56,4,3,120,0
373,5,5,5,50,7,5,131,0
347,3,4,149,54,2,3,267,0
368,2,2,149,56,3,5,264,0
433,5,2,149,50,4,4,266,0
346,3,3,4,50,4,3,121,0
439,3,4,150,50,3,5,266,0
351,3,4,150,52,3,4,272,0
339,3,3,4,50,4,4,117,0
359,3,2,4,50,2,3,114,0
356,4,3,149,53,3,3,261,0
371,4,2,150,53,4,4,270,0
366,4,2,149,53,3,3,257,0
464,33,3,148,90,33,4,358,2
470,33,3,4,94,33,2,220,2
368,3,3,149,56,3,4,263,0
384,5,2,149,48,3,5,265,0
360,2,3,4,51,3,3,117,0
415,3,3,4,54,2,3,115,0
346,4,3,4,53,3,3,123,0
385,4,3,4,53,4,6,127,0
381,3,2,150,55,4,3,265,0
370,3,3,5,51,3,3,119,0
352,3,5,6,56,3,4,126,0
352,4,4,150,51,2,3,264,0
393,3,3,5,59,2,3,128,0
385,5,2,149,57,4,3,274,0
351,3,3,4,53,3,3,113,0
346,3,3,4,53,3,3,118,0
518,3,2,4,53,4,159,276,1
388,4,3,5,50,4,4,118,0
362,3,3,5,56,3,3,123,0
348,3,3,4,49,2,2,113,0
359,5,3,149,56,3,3,268,0
451,34,3,149,95,33,3,365,2
340,3,4,4,50,3,4,114,0
506,3,3,4,55,4,158,275,1
487,38,3,3,96,35,5,240,2
351,3,3,149,49,2,3,257,0
415,5,3,149,59,5,9,298,0
406,2,2,150,51,3,3,265,0
370,3,3,149,52,2,4,256,0
413,3,2,148,51,3,3,257,0
362,3,3,4,54,2,3,118,0
370,4,3,4,59,5,4,129,0
356,3,3,4,55,4,4,124,0
352,3,3,4,52,3,3,119,0
545,3,3,149,51,4,157,417,1
351,3,3,4,50,3,3,116,0
361,3,3,148,46,3,3,250,0
355,3,3,4,54,3,3,119,0
371,4,3,150,50,5,3,267,0
364,3,3,4,53,3,3,120,0
469,33,2,149,103,32,4,372,2
505,3,3,150,52,3,158,421,1
448,3,2,149,42,2,2,245,0
511,3,3,4,47,3,158,265,1
371,4,3,4,62,4,3,132,0
368,2,3,5,51,3,4,117,0
366,4,2,148,49,3,4,263,0
360,3,2,149,53,3,4,268,0
407,4,3,149,57,4,3,282,0
376,6,4,149,60,3,3,275,0
360,4,4,149,50,3,5,265,0
353,3,2,3,52,4,3,118,0
383,6,3,150,58,3,2,273,0
356,3,3,4,51,3,3,113,0
358,4,3,149,49,3,4,259,0
372,2,3,149,51,2,2,256,0
362,4,3,4,54,3,3,112,0
373,3,3,4,50,2,3,120,0
530,39,4,149,102,35,4,408,2
365,3,3,149,49,3,3,260,0
359,2,3,149,51,3,3,259,0
391,3,4,148,51,3,4,259,0
394,4,3,4,51,3,7,119,0
375,3,3,4,53,4,3,121,0
349,3,3,149,52,2,3,259,0
368,4,3,149,56,3,3,266,0
471,34,3,149,94,34,3,366,2
510,3,2,149,57,3,158,418,1
376,7,3,148,55,3,3,266,0
357,2,3,5,53,3,4,118,0
351,3,3,5,52,3,4,115,0
388,4,3,5,53,4,3,123,0
354,3,3,4,50,3,3,117,0
358,3,3,149,52,3,3,262,0
505,2,4,5,51,1,158,276,1
388,3,4,149,52,3,4,258,0
357,3,3,4,44,3,4,114,0
361,3,2,4,49,3,3,117,0
556,5,3,4,52,5,158,282,1
350,3,3,4,48,3,3,121,0
349,3,3,150,52,3,3,264,0
359,3,2,149,56,3,4,268,0
354,2,3,149,50,3,2,260,0
448,33,4,4,87,32,3,209,2
520,3,4,4,54,3,158,277,1
361,3,3,4,56,3,2,118,0
358,2,3,5,56,3,3,124,0
362,4,3,4,53,3,3,120,0
378,3,3,149,52,3,3,265,0
351,4,3,149,55,3,3,263,0
363,3,3,149,55,4,3,263,0
354,2,3,4,53,4,4,114,0
352,3,3,149,53,3,3,263,0
479,35,3,4,97,35,3,228,2
367,4,3,149,53,5,5,266,0
379,4,4,148,53,3,4,268,0
366,4,3,149,55,4,3,269,0
363,3,3,148,53,3,3,263,0
461,33,3,149,89,34,2,362,2
412,6,2,149,56,5,5,277,0
642,3,2,4,50,3,157,265,1
371,4,2,4,53,2,4,122,0
358,2,4,149,48,3,2,256,0
369,3,1,148,49,3,4,254,0
369,3,3,3,47,3,3,114,0
364,4,3,148,50,3,5,267,0
380,3,2,148,56,3,3,268,0
356,3,2,149,47,3,3,258,0
393,4,3,148,51,3,4,263,0
387,4,3,149,55,2,3,270,0
350,3,3,3,51,3,2,114,0
386,3,3,149,56,4,3,266,0
355,3,3,4,55,3,3,115,0
434,3,2,149,50,4,3,260,0
