Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
403,5,3,5,71,3,3,145,0
414,3,3,5,56,3,3,119,0
396,4,3,3,54,3,4,126,0
557,7,3,4,68,11,5,166,0
383,4,4,123,65,2,4,255,0
443,5,3,123,59,4,4,265,0
396,4,2,123,55,3,4,243,0
394,3,5,5,65,2,3,139,0
524,4,3,4,61,141,3,272,2
378,3,3,6,59,3,4,125,0
396,3,3,123,56,3,4,247,0
486,54,53,123,54,4,3,348,1
413,4,4,5,64,3,4,145,0
373,3,3,5,62,3,3,132,0
372,2,3,4,48,3,4,105,0
390,4,3,3,55,4,4,126,0
404,4,3,4,57,4,3,130,0
391,4,3,4,57,3,3,124,0
382,4,2,121,56,3,4,240,0
388,3,3,5,63,3,3,135,0
527,4,3,122,58,142,4,389,2
378,3,2,4,55,2,3,125,0
436,3,3,122,60,3,4,255,0
475,53,52,4,57,3,4,227,1
390,4,4,5,70,2,4,143,0
373,4,3,3,57,4,3,128,0
394,4,4,4,59,7,3,132,0
381,4,2,5,49,3,4,119,0
373,4,3,4,57,3,3,126,0
548,55,54,123,73,4,5,389,1
411,5,3,5,54,4,3,133,0
520,3,3,123,55,142,4,382,2
459,4,3,121,53,3,5,253,0
398,4,3,4,63,3,3,129,0
399,8,3,122,62,3,4,256,0
364,4,3,122,54,3,3,242,0
369,3,4,122,53,3,3,239,0
378,3,3,4,58,3,3,124,0
508,3,3,123,51,141,3,377,2
387,4,3,6,63,3,4,136,0
388,3,3,5,66,3,3,141,0
469,53,53,122,53,3,4,340,1
362,4,3,4,58,3,3,130,0
383,3,3,122,55,3,3,240,0
419,5,2,5,68,2,3,144,0
488,54,53,122,60,4,5,353,1
387,3,3,4,66,3,4,133,0
368,3,3,122,54,4,3,244,0
580,3,3,122,59,141,3,389,2
371,4,3,122,55,3,3,250,0
401,4,4,6,62,3,4,138,0
520,4,3,4,56,142,4,263,2
519,3,3,123,56,141,4,383,2
419,5,3,4,58,5,5,146,0
408,5,3,4,64,4,3,135,0
382,3,3,122,55,3,4,247,0
502,3,3,4,54,141,3,264,2
385,4,4,4,61,3,3,135,0
403,4,3,123,51,2,4,239,0
499,54,53,4,57,3,4,231,1
459,6,19,136,60,4,6,301,0
395,4,3,122,63,3,3,247,0
402,3,3,123,57,3,3,245,0
351,3,3,5,51,4,2,120,0
387,3,3,4,57,3,3,132,0
413,5,3,122,60,3,4,255,0
543,54,54,124,63,3,4,375,1
391,4,3,123,55,3,4,246,0
439,4,5,122,72,5,4,277,0
369,3,2,121,50,3,3,236,0
390,4,3,122,59,3,2,241,0
401,3,4,123,60,3,2,249,0
431,5,2,121,62,5,4,259,0
389,3,3,123,53,2,3,240,0
405,5,3,4,59,4,5,137,0
542,5,3,4,60,142,4,278,2
394,3,4,122,52,2,3,236,0
384,4,3,121,49,3,2,240,0
404,5,3,2,64,3,3,137,0
474,54,54,123,56,3,3,348,1
385,4,3,122,52,4,4,240,0
426,3,3,122,58,3,3,242,0
403,3,3,122,59,3,3,249,0
394,3,2,5,63,3,3,133,0
378,4,2,122,54,3,3,239,0
365,3,3,3,56,3,3,128,0
412,4,3,122,54,3,4,256,0
385,4,3,4,55,3,3,118,0
372,3,3,123,56,3,3,238,0
379,4,2,4,56,3,3,128,0
413,3,3,122,69,2,4,268,0
406,3,4,5,51,3,6,126,0
392,2,4,123,57,1,2,241,0
483,53,54,122,55,5,3,342,1
478,53,53,3,49,3,3,219,1
367,4,3,122,59,3,4,246,0
