Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
461,4,3,141,61,85,4,355,2
397,4,2,142,59,3,4,264,0
373,3,3,4,64,3,3,133,0
352,3,3,142,56,3,2,253,0
358,2,3,142,59,2,2,254,0
526,4,3,5,203,3,3,270,1
446,3,3,4,54,85,3,197,2
388,3,3,140,58,3,2,258,0
359,2,3,141,60,3,3,264,0
363,3,3,3,56,2,3,118,0
350,2,2,141,59,2,3,250,0
403,5,4,141,63,4,4,275,0
363,3,2,142,59,2,3,255,0
339,4,3,141,55,3,4,259,0
386,4,4,142,75,4,7,287,0
372,3,2,141,56,2,4,254,0
431,3,3,4,56,84,3,194,2
459,3,4,4,61,86,3,206,2
470,4,3,141,59,85,4,344,2
424,3,2,141,57,84,2,336,2
360,2,3,3,56,3,3,114,0
375,4,3,146,64,3,3,272,0
443,4,3,4,62,2,3,140,0
436,3,3,4,48,85,4,190,2
342,3,3,142,66,3,3,265,0
355,3,3,4,63,3,3,125,0
346,3,4,5,56,2,2,117,0
395,4,3,142,60,1,3,262,0
431,2,3,5,52,85,3,199,2
352,4,3,5,62,3,4,128,0
334,2,3,4,51,3,3,114,0
375,3,3,3,61,3,2,116,0
372,4,3,141,64,4,4,268,0
371,3,3,141,57,3,3,256,0
385,2,3,5,68,3,2,131,0
449,4,3,142,57,85,4,339,2
378,3,4,143,66,3,3,264,0
364,3,3,142,63,3,3,261,0
358,3,4,4,62,3,3,124,0
485,3,2,4,200,3,4,260,1
453,4,3,4,57,84,3,204,2
464,4,3,5,59,86,4,212,2
436,4,3,3,59,85,3,195,2
449,3,3,141,51,85,3,336,2
474,4,3,5,66,85,3,220,2
363,4,3,141,53,3,4,253,0
373,4,3,4,62,2,3,127,0
362,3,4,5,61,3,2,125,0
360,3,3,141,60,3,2,260,0
440,4,3,141,58,86,3,338,2
547,3,4,4,200,3,3,271,1
443,3,3,141,60,3,5,261,0
520,4,3,142,195,3,4,403,1
347,3,3,141,62,2,3,261,0
453,3,3,142,59,84,3,342,2
362,2,3,142,57,3,3,256,0
598,9,3,4,189,4,4,267,1
374,3,3,142,54,2,3,258,0
363,4,3,141,57,3,4,261,0
474,2,3,141,54,85,2,341,2
347,2,4,4,60,3,3,126,0
372,4,3,4,58,2,3,122,0
371,3,3,5,61,2,3,130,0
423,4,3,4,59,85,3,201,2
364,3,4,5,59,3,5,121,0
