Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
419,7,4,163,68,4,6,306,0
363,5,3,161,59,4,4,287,0
533,4,3,4,129,73,5,279,2
372,3,4,162,55,4,6,286,0
390,4,4,162,57,5,4,292,0
520,4,3,4,136,72,4,274,2
396,3,3,4,50,4,3,120,0
376,3,3,163,56,4,3,287,0
379,3,3,162,58,5,5,285,0
378,3,3,4,65,3,3,130,0
380,3,3,5,55,4,4,123,0
360,4,4,162,56,4,4,288,0
374,3,3,4,50,5,5,125,0
429,4,3,161,63,5,5,312,0
470,4,3,5,57,4,103,225,1
388,4,3,3,55,4,5,125,0
533,4,2,162,129,73,5,425,2
407,9,4,162,64,5,6,308,0
364,2,3,163,58,6,3,284,0
390,3,3,4,56,3,4,126,0
366,4,3,3,55,4,4,125,0
370,4,2,162,57,4,4,284,0
395,4,4,5,68,3,4,137,0
584,5,4,163,140,74,6,459,2
404,4,5,6,61,5,4,141,0
402,5,2,4,60,5,5,147,0
524,4,2,162,135,73,4,432,2
385,3,2,4,58,4,4,131,0
422,5,4,161,58,6,5,306,0
376,4,3,4,56,4,7,131,0
415,3,3,161,58,4,5,283,0
558,3,3,162,134,73,4,439,2
384,3,3,3,56,2,3,124,0
565,11,2,4,144,74,4,303,2
365,4,3,162,60,4,3,287,0
536,3,2,4,138,72,4,272,2
360,3,4,3,61,4,3,124,0
370,4,3,4,63,6,4,136,0
377,3,3,161,56,4,4,282,0
374,4,3,3,52,4,4,121,0
372,3,3,163,59,4,4,283,0
370,3,3,4,56,3,4,129,0
380,4,2,4,54,4,3,126,0
372,4,3,162,57,3,5,280,0
379,3,3,4,55,3,3,126,0
541,7,4,162,142,74,4,448,2
400,4,3,5,62,5,5,139,0
373,3,4,162,60,3,3,278,0
538,3,3,162,133,72,4,426,2
424,5,3,162,62,4,4,300,0
390,3,3,162,56,4,9,293,0
400,2,3,162,55,5,5,285,0
493,4,4,7,64,3,104,237,1
386,4,3,5,61,4,4,135,0
560,4,4,5,64,4,104,233,1
384,3,3,4,61,5,4,132,0
471,5,4,163,62,5,103,393,1
570,3,4,3,150,73,4,295,2
370,3,4,162,57,3,5,285,0
408,5,3,162,63,5,5,302,0
378,5,3,162,56,4,5,286,0
375,3,3,162,53,4,4,283,0
402,4,4,162,66,4,4,297,0
532,4,3,5,137,73,4,280,2
374,4,3,5,56,4,5,128,0
409,4,4,4,60,4,4,141,0
542,5,3,163,134,73,5,438,2
380,5,4,5,57,5,4,128,0
383,6,4,162,55,3,5,284,0
382,4,3,162,66,4,5,299,0
389,4,3,4,55,5,4,131,0
395,3,2,4,61,4,5,131,0
448,5,4,162,61,4,6,307,0
390,4,3,4,57,2,4,126,0
371,4,4,4,62,4,5,137,0
382,4,4,5,59,4,4,136,0
509,4,3,4,134,73,5,275,2
489,5,2,162,52,4,104,384,1
373,5,3,4,51,3,5,124,0
435,4,3,162,59,6,4,287,0
479,4,4,163,55,4,4,287,0
404,3,4,162,57,4,3,285,0
420,5,3,4,65,5,5,152,0
409,4,3,163,54,2,4,273,0
477,3,3,161,53,4,103,373,1
551,5,3,162,132,73,5,438,2
472,3,3,163,53,4,103,381,1
388,4,3,163,55,4,4,288,0
569,5,3,4,144,73,5,287,2
543,4,4,163,144,72,5,452,2
387,3,3,162,52,4,4,282,0
363,3,4,162,53,5,6,279,0
369,3,3,4,59,4,3,126,0
409,2,3,163,50,4,4,278,0
369,3,4,162,65,3,4,290,0
396,4,3,4,54,4,4,126,0
408,4,3,4,63,4,4,132,0
372,5,3,5,54,4,3,124,0
369,4,3,4,54,4,4,129,0
376,2,3,4,57,5,3,127,0
411,6,3,4,59,4,5,146,0
423,4,3,162,59,5,4,297,0
342,3,3,5,55,3,3,121,0
382,6,3,162,60,5,4,297,0
454,4,4,5,60,3,103,227,1
482,5,3,4,57,4,104,230,1
388,3,4,162,62,4,8,292,0
368,3,4,162,57,4,4,286,0
427,5,4,162,63,5,4,306,0
369,3,3,162,59,3,5,279,0
390,3,2,163,52,4,4,276,0
483,3,3,4,52,4,104,223,1
551,4,3,162,131,73,5,431,2
389,4,4,5,70,5,4,146,0
374,4,3,3,57,4,5,128,0
389,3,3,162,52,4,4,269,0
417,5,3,5,59,4,5,145,0
371,7,3,162,51,4,5,282,0
382,4,3,163,59,4,3,287,0
362,8,2,4,56,4,3,130,0
378,4,4,4,63,4,2,129,0
375,5,3,162,51,4,5,292,0
362,3,3,4,58,4,4,123,0
411,4,4,163,50,4,4,280,0
407,4,3,4,61,4,4,132,0
506,5,3,4,48,4,105,237,1
369,4,3,163,65,4,4,295,0
459,3,2,4,53,4,103,218,1
553,4,4,4,148,73,3,291,2
369,3,3,4,55,3,4,126,0
378,5,3,4,54,4,4,128,0
375,4,2,163,52,2,4,278,0
361,3,3,162,56,5,4,290,0
385,3,4,5,56,4,3,127,0
385,4,3,163,58,5,4,291,0
364,4,4,163,62,4,5,294,0
492,5,2,5,51,6,104,227,1
368,4,3,4,52,4,3,124,0
368,3,2,162,52,3,3,272,0
387,4,3,4,64,4,4,138,0
519,4,3,4,139,74,4,273,2
371,4,3,3,53,4,3,117,0
393,3,3,4,60,5,4,133,0
421,5,3,162,53,5,4,301,0
364,4,2,163,56,4,4,288,0
378,3,2,4,57,7,2,123,0
364,4,3,163,61,4,4,290,0
398,5,3,4,58,4,5,129,0
363,3,3,162,52,2,4,273,0
391,3,3,161,51,5,4,275,0
357,4,3,4,53,4,4,118,0
365,2,3,4,56,3,3,119,0
368,3,2,161,58,4,4,284,0
476,5,4,5,66,5,105,241,1
399,4,3,4,56,4,6,136,0
375,4,3,4,54,4,3,117,0
449,4,3,162,56,4,5,297,0
511,4,3,4,50,5,104,229,1
536,4,4,4,134,74,4,278,2
538,3,3,162,139,73,5,433,2
479,5,3,163,56,3,103,381,1
384,2,3,162,49,3,4,274,0
442,7,4,163,66,5,3,319,0
534,3,3,163,56,4,103,384,1
390,4,2,162,66,3,4,294,0
400,4,3,4,57,3,4,123,0
396,3,3,162,57,4,4,277,0
469,3,3,163,63,5,103,393,1
360,3,3,163,60,5,4,291,0
393,4,3,4,57,5,3,131,0
451,6,5,5,73,5,4,173,0
401,3,3,163,51,4,3,275,0
380,4,3,4,56,7,5,129,0
418,5,4,162,58,3,4,294,0
366,3,3,162,56,4,6,285,0
364,4,2,4,64,3,5,132,0
473,5,3,4,57,5,104,229,1
360,3,4,4,51,4,4,123,0
367,4,3,3,55,4,4,119,0
362,4,2,5,51,4,5,119,0
519,3,2,162,134,73,4,431,2
470,4,2,161,56,6,103,384,1
572,4,3,162,138,74,5,438,2
372,4,3,162,58,4,4,286,0
372,3,3,163,57,4,4,284,0
405,4,3,162,64,4,4,297,0
427,7,4,163,62,4,5,323,0
511,4,3,162,125,74,4,425,2
386,3,3,161,51,4,5,278,0
437,6,3,3,75,7,3,158,0
476,4,3,162,60,3,105,391,1
504,3,3,4,126,73,4,262,2
403,4,3,4,64,4,4,137,0
479,4,3,162,54,4,3,283,0
371,3,2,162,51,5,4,280,0
382,3,3,163,52,4,2,275,0
516,5,3,162,57,5,105,392,1
376,3,3,4,53,4,4,122,0
364,4,3,4,56,4,3,124,0
493,5,3,163,58,4,2,301,0
363,3,2,4,56,4,2,119,0
397,4,3,162,60,5,3,289,0
402,4,4,5,65,4,5,137,0
361,3,3,4,60,4,4,126,0
368,3,3,162,55,5,5,280,0
410,3,4,163,62,8,4,304,0
476,3,3,4,67,4,104,241,1
374,3,3,162,55,4,4,284,0
373,2,3,162,54,5,3,282,0
462,5,4,163,71,9,5,346,0
390,4,4,5,63,6,4,141,0
405,4,3,5,55,4,4,130,0
387,4,3,4,59,4,4,132,0
526,3,4,162,131,72,4,424,2
364,3,3,162,56,2,4,280,0
358,3,3,3,62,3,3,121,0
379,4,3,162,53,3,4,275,0
381,3,2,161,53,3,2,280,0
417,5,3,161,65,5,5,305,0
356,3,4,5,56,4,4,123,0
435,4,2,3,58,4,6,142,0
366,4,3,163,58,4,4,285,0
399,4,3,162,58,4,4,289,0
367,3,4,4,55,4,5,127,0
371,4,3,4,59,4,4,129,0
515,5,3,163,139,73,4,433,2
380,3,4,162,58,4,4,287,0
543,5,2,162,134,73,4,435,2
386,4,4,5,57,4,2,130,0
383,3,3,5,56,4,4,132,0
576,5,3,162,147,80,8,472,2
367,4,4,163,56,4,4,287,0
425,4,3,6,58,5,3,151,0
385,3,2,5,69,3,4,136,0
390,4,4,163,58,4,4,286,0
396,3,3,4,59,3,4,125,0
366,4,3,4,58,4,4,129,0
359,4,3,163,65,4,5,299,0
422,5,3,162,55,4,5,286,0
463,5,2,163,58,6,5,300,0
547,7,5,162,62,6,105,418,1
374,4,4,5,63,3,4,139,0
381,8,3,5,56,4,4,123,0
356,4,3,163,63,4,3,290,0
376,5,4,5,52,4,4,132,0
534,5,3,163,143,74,5,449,2
360,4,3,161,58,4,4,284,0
377,3,3,162,51,4,3,278,0
404,5,4,162,55,4,5,304,0
367,3,3,4,56,3,3,119,0
477,4,4,4,56,4,103,230,1
411,3,3,4,71,4,4,139,0
371,4,3,4,64,2,3,129,0
351,3,3,164,63,4,3,290,0
470,3,3,4,63,5,104,231,1
538,4,3,162,134,73,4,434,2
518,3,3,163,50,3,5,283,0
392,3,3,5,64,5,5,135,0
397,5,3,163,66,4,3,302,0
375,3,4,164,51,4,5,275,0
369,4,2,4,51,4,5,120,0
386,4,2,162,56,4,4,287,0
365,3,3,162,56,4,5,286,0
355,4,3,4,57,4,4,125,0
594,5,3,4,135,74,6,296,2
401,5,3,162,56,4,4,292,0
392,7,2,163,54,4,5,289,0
436,5,3,4,65,4,5,153,0
367,3,4,162,59,4,4,291,0
476,4,4,163,61,3,101,389,1
377,4,3,162,54,5,3,282,0
392,3,3,162,58,3,4,291,0
390,4,4,162,55,5,4,279,0
358,3,3,5,57,4,2,131,0
398,5,4,162,54,4,4,289,0
372,4,2,4,54,3,5,119,0
359,4,3,4,52,4,3,120,0
372,5,3,5,61,4,4,129,0
379,3,3,4,60,4,5,128,0
551,3,2,4,133,73,4,271,2
374,4,4,6,57,4,4,130,0
369,4,2,4,49,3,4,118,0
389,4,3,162,54,4,4,283,0
395,3,3,162,57,4,4,284,0
391,3,3,162,62,3,3,289,0
466,4,3,4,58,4,104,229,1
370,4,3,4,58,6,5,133,0
492,7,3,163,53,5,103,389,1
438,6,3,162,63,5,5,314,0
481,3,4,164,58,3,103,387,1
374,3,3,162,50,4,5,276,0
366,4,2,4,51,4,3,117,0
559,5,3,162,135,74,4,450,2
374,4,3,4,53,4,3,119,0
368,3,4,5,58,4,4,127,0
384,2,3,5,56,4,3,120,0
441,10,4,163,67,5,9,329,0
372,4,2,162,56,4,4,283,0
386,4,4,163,52,4,5,275,0
552,5,5,3,68,4,106,255,1
372,3,3,4,49,6,5,121,0
394,4,3,163,58,3,3,289,0
365,4,3,4,56,4,4,120,0
392,3,2,5,51,3,5,122,0
387,3,3,5,60,4,4,132,0
387,5,3,162,53,2,3,279,0
393,4,3,162,65,3,5,295,0
358,3,4,163,52,4,3,280,0
371,3,3,4,49,4,4,117,0
381,5,4,163,58,4,5,295,0
379,4,3,4,57,4,5,129,0
397,4,3,4,62,5,4,140,0
382,3,3,162,49,3,4,274,0
391,4,3,5,63,7,5,136,0
348,3,3,4,58,4,3,122,0
403,5,2,162,55,9,4,296,0
356,3,2,4,53,4,4,119,0
372,2,3,162,49,4,5,274,0
373,5,4,162,67,4,4,298,0
379,4,3,4,59,2,4,127,0
366,3,2,162,58,4,5,286,0
443,5,3,4,69,3,6,160,0
486,2,3,5,54,3,103,218,1
425,4,3,162,50,4,3,271,0
404,4,4,5,66,4,4,141,0
380,4,3,4,59,4,5,130,0
348,3,2,4,57,4,4,122,0
377,4,3,162,56,4,4,287,0
473,4,4,4,48,3,103,215,1
394,5,3,161,50,4,4,275,0
364,3,3,4,57,4,3,123,0
392,3,3,4,61,4,4,136,0
364,3,3,164,59,4,2,282,0
390,3,3,3,55,3,4,123,0
486,3,3,162,51,4,104,379,1
384,5,3,4,58,4,4,129,0
383,5,4,162,58,3,4,289,0
564,4,5,5,156,73,6,304,2
492,4,4,163,60,3,103,386,1
390,5,3,161,49,4,3,281,0
411,4,3,162,56,4,3,292,0
409,5,4,161,54,4,4,284,0
378,3,3,5,65,4,4,134,0
398,4,3,5,46,4,3,110,0
375,3,3,5,54,2,4,124,0
399,4,4,5,57,4,5,137,0
379,4,2,5,54,4,7,126,0
558,7,3,3,136,73,5,283,2
393,4,3,4,50,4,4,124,0
376,3,3,161,50,3,4,277,0
381,4,3,162,55,3,3,291,0
413,4,3,163,59,5,5,299,0
416,5,3,4,60,3,5,147,0
385,3,4,162,54,3,4,279,0
390,3,3,162,56,4,5,292,0
372,5,3,4,57,4,4,131,0
379,4,4,5,58,3,5,135,0
526,4,3,163,137,75,4,434,2
536,3,3,4,133,73,4,271,2
383,4,3,162,55,3,3,276,0
377,3,4,162,63,4,2,286,0
410,3,1,162,54,3,5,279,0
623,5,4,162,132,73,5,447,2
391,4,3,163,57,4,5,281,0
373,3,3,161,54,6,3,278,0
373,3,2,162,59,4,4,285,0
395,4,3,162,53,4,4,279,0
529,3,3,5,137,74,5,273,2
385,3,3,162,56,4,4,277,0
370,5,2,4,56,5,5,130,0
357,3,4,3,59,4,4,127,0
412,6,5,3,64,4,5,146,0
371,4,2,162,55,4,4,283,0
393,3,3,163,53,4,4,283,0
390,4,3,162,54,2,4,285,0
377,3,3,3,59,4,4,123,0
412,7,2,162,59,6,4,309,0
381,3,3,161,59,4,3,288,0
378,3,3,4,51,3,5,118,0
429,5,3,162,63,4,4,303,0
393,5,3,162,55,3,4,290,0
376,3,4,4,52,5,4,119,0
395,4,3,4,62,6,4,139,0
394,4,3,162,54,4,4,285,0
477,3,3,163,47,3,103,373,1
549,4,3,5,140,74,4,284,2
385,4,3,162,52,4,4,284,0
390,5,3,163,55,5,4,289,0
369,4,3,163,53,4,3,275,0
391,4,2,162,57,4,3,281,0
369,4,3,4,53,4,4,127,0
429,4,4,6,58,3,4,132,0
393,5,3,162,55,4,4,285,0
365,5,3,5,64,4,5,137,0
389,4,4,4,63,4,4,133,0
382,3,3,162,54,4,4,283,0
414,5,2,4,61,4,5,150,0
384,4,3,162,62,4,4,289,0
390,5,3,163,63,5,5,295,0
411,5,3,4,50,4,4,123,0
496,3,4,4,59,4,104,230,1
526,5,2,162,137,73,5,434,2
388,4,4,162,63,4,4,292,0
370,3,4,162,57,2,4,285,0
