Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
523,4,2,4,48,162,4,276,2
388,4,2,3,50,4,4,117,0
365,4,2,3,48,3,3,118,0
515,38,3,3,53,31,32,233,1
367,4,2,4,48,3,4,122,0
364,4,2,3,45,4,4,112,0
362,4,3,122,46,3,3,229,0
363,5,3,4,50,4,5,122,0
374,3,3,121,45,4,4,226,0
362,4,3,122,47,4,2,231,0
380,4,2,3,45,3,5,112,0
354,4,2,122,46,4,4,229,0
360,5,2,122,46,4,4,233,0
504,32,5,5,57,30,31,217,1
347,3,2,122,41,4,3,226,0
385,4,3,4,50,3,3,123,0
384,4,3,121,45,3,3,233,0
464,31,3,4,50,31,32,209,1
387,5,3,4,57,3,4,128,0
453,32,3,122,52,31,31,329,1
358,3,2,4,51,3,3,125,0
403,5,3,121,44,4,4,257,0
375,4,3,122,49,3,3,241,0
417,7,4,5,56,5,5,145,0
451,4,3,123,47,4,4,238,0
384,5,3,122,54,4,3,241,0
534,3,3,122,47,163,4,396,2
449,32,2,123,46,31,31,323,1
330,4,3,121,45,4,4,231,0
372,5,2,4,49,5,4,120,0
381,6,3,121,49,4,4,242,0
370,4,3,3,48,4,5,124,0
363,5,2,121,51,4,3,240,0
375,5,2,122,52,3,4,237,0
437,6,3,122,63,5,4,275,0
466,31,3,3,56,31,31,199,1
346,4,2,4,48,3,4,115,0
363,5,3,121,53,4,3,242,0
546,33,4,5,68,32,33,242,1
369,4,2,3,46,3,4,120,0
419,6,3,122,60,4,6,276,0
370,5,3,4,45,4,4,121,0
374,5,3,2,47,2,4,113,0
357,4,2,121,41,3,4,227,0
385,4,3,121,55,4,4,247,0
381,4,2,4,56,3,4,129,0
562,6,3,121,53,161,4,413,2
383,5,3,3,49,3,3,130,0
414,5,3,4,61,3,4,146,0
352,5,2,122,39,3,4,226,0
375,4,4,4,51,3,3,120,0
385,6,3,3,51,4,5,129,0
508,33,3,4,58,32,32,230,1
385,4,3,122,57,4,5,248,0
546,5,2,3,52,162,4,288,2
366,4,3,4,50,4,3,118,0
374,4,2,122,57,3,4,243,0
391,4,3,122,44,4,3,229,0
368,3,2,122,46,3,4,235,0
445,31,3,4,49,30,31,198,1
369,4,2,3,46,4,4,116,0
593,6,2,4,51,163,4,288,2
471,32,4,4,55,31,31,209,1
523,4,3,4,44,162,4,270,2
362,3,2,3,52,3,4,118,0
392,4,3,121,58,4,4,248,0
385,4,2,3,51,3,4,129,0
345,3,2,4,46,3,4,107,0
345,4,2,4,50,4,2,117,0
389,4,2,5,49,3,4,123,0
526,4,3,4,53,162,4,286,2
399,5,3,121,51,4,5,253,0
434,32,3,122,52,30,31,323,1
369,5,2,122,44,4,5,234,0
415,6,3,122,49,3,5,252,0
380,5,3,4,47,3,3,118,0
441,32,2,4,48,30,31,199,1
532,4,3,122,45,162,5,390,2
372,4,3,122,55,4,4,248,0
417,5,2,122,51,4,5,258,0
451,4,3,4,64,4,6,157,0
361,4,2,122,49,3,3,233,0
371,5,2,4,54,3,4,134,0
508,32,3,122,47,31,32,325,1
382,3,2,3,47,4,4,115,0
452,31,2,123,52,31,31,318,1
370,5,2,3,44,5,4,123,0
373,6,3,4,52,4,4,134,0
365,5,3,3,47,3,4,112,0
362,4,2,4,46,4,4,116,0
397,4,2,4,51,3,3,123,0
374,5,2,122,45,4,4,236,0
516,5,2,4,50,162,3,280,2
453,32,2,4,48,30,31,199,1
396,6,3,123,51,4,4,248,0
366,4,3,4,49,3,2,117,0
365,4,2,4,52,3,4,121,0
365,6,3,4,53,4,4,127,0
351,4,2,2,44,3,3,108,0
386,4,3,122,52,3,3,239,0
382,4,3,4,52,4,4,121,0
366,4,2,122,47,4,6,234,0
360,3,2,123,50,3,4,233,0
397,4,2,3,40,3,3,102,0
524,5,2,122,38,4,4,222,0
448,7,3,4,63,6,5,154,0
378,6,4,3,41,3,7,117,0
465,32,2,122,51,31,32,332,1
377,3,2,4,45,3,3,114,0
349,3,2,123,46,4,3,231,0
361,4,2,3,49,4,5,114,0
380,4,3,4,51,4,4,125,0
410,7,3,4,48,5,4,138,0
383,3,3,3,50,4,4,118,0
372,5,3,3,48,4,3,123,0
446,31,3,122,46,31,32,312,1
376,5,4,5,55,3,5,129,0
375,4,1,121,54,4,3,243,0
432,4,3,121,57,4,5,271,0
498,36,4,4,57,31,31,227,1
381,3,3,122,52,3,3,242,0
400,6,3,122,64,4,5,258,0
373,5,4,4,46,4,3,117,0
364,4,2,4,48,3,5,119,0
400,5,3,122,46,3,4,239,0
489,32,3,4,50,31,31,205,1
354,5,2,122,42,4,3,230,0
541,5,2,3,45,161,4,274,2
502,4,3,3,42,162,4,264,2
396,6,3,4,54,3,4,133,0
355,5,2,121,44,4,3,230,0
409,4,3,122,52,4,7,253,0
400,6,3,3,53,4,4,127,0
369,4,3,122,51,3,4,238,0
370,5,3,122,55,3,4,250,0
448,31,2,122,49,31,31,319,1
398,5,3,122,52,3,4,238,0
371,8,3,123,51,4,5,251,0
370,4,3,3,52,3,4,121,0
367,5,3,122,56,4,3,246,0
367,5,2,121,46,4,4,241,0
352,4,2,4,43,4,4,115,0
360,4,4,5,55,3,4,128,0
368,6,2,121,45,3,4,234,0
404,6,2,121,54,5,4,259,0
358,4,2,121,51,3,4,236,0
393,3,3,123,51,4,4,236,0
376,4,2,4,49,4,4,118,0
368,3,3,4,50,3,4,117,0
417,4,4,123,61,5,5,271,0
433,32,3,4,57,31,31,203,1
370,5,3,122,51,4,4,240,0
387,4,2,122,54,3,4,242,0
470,31,3,4,46,30,31,195,1
370,5,3,5,44,4,3,118,0
348,4,3,4,47,5,2,116,0
345,3,2,5,54,4,2,120,0
374,4,2,122,54,4,4,246,0
349,4,2,121,46,3,3,234,0
371,5,3,5,45,3,4,121,0
349,4,4,122,51,3,4,247,0
357,4,3,121,46,3,4,234,0
370,4,3,122,52,2,4,242,0
434,7,4,122,59,5,4,269,0
376,4,3,122,47,3,3,230,0
462,5,3,122,56,4,4,261,0
431,4,3,122,46,3,3,241,0
358,3,2,122,51,4,4,239,0
515,5,3,4,42,162,4,266,2
368,8,3,4,49,4,3,118,0
354,4,2,3,55,4,3,120,0
379,5,2,4,44,4,4,117,0
354,4,2,3,47,5,4,113,0
388,5,2,121,41,4,4,226,0
453,30,3,122,51,31,31,318,1
370,4,5,6,50,4,4,122,0
495,31,3,4,54,31,32,209,1
392,6,4,122,56,4,5,254,0
576,3,3,122,53,162,4,415,2
369,5,2,3,51,4,4,121,0
373,4,3,122,52,4,4,239,0
495,4,2,122,39,161,3,386,2
526,4,3,122,56,162,3,404,2
376,4,3,122,52,4,4,242,0
346,3,3,4,42,3,3,109,0
364,4,3,4,49,4,3,118,0
407,5,3,123,49,3,5,252,0
366,6,2,3,44,3,5,116,0
369,4,4,122,50,3,4,242,0
518,34,4,5,60,31,32,237,1
462,31,3,122,50,30,31,316,1
409,7,3,122,55,5,5,271,0
358,4,2,121,48,3,4,237,0
407,6,4,122,58,5,6,265,0
539,5,3,121,49,162,10,406,2
368,5,2,3,44,4,4,117,0
344,4,3,122,47,4,4,236,0
379,5,2,3,47,4,4,120,0
385,4,3,5,54,4,4,132,0
354,3,3,121,42,3,3,229,0
345,4,2,4,50,4,4,117,0
427,34,3,121,43,31,31,314,1
359,5,2,3,54,5,4,123,0
362,5,3,122,50,3,3,236,0
364,5,3,4,50,3,5,119,0
366,3,3,3,38,3,3,105,0
546,3,3,122,53,163,3,399,2
391,5,2,4,47,3,4,117,0
363,5,3,4,52,3,4,124,0
389,5,3,123,55,4,5,245,0
386,4,3,122,47,4,4,236,0
367,4,2,4,49,3,3,115,0
376,5,3,122,50,8,5,244,0
363,5,3,122,49,4,4,242,0
427,6,3,122,54,4,5,259,0
410,5,4,4,48,3,4,123,0
361,4,3,121,45,4,4,236,0
516,3,2,121,48,162,4,391,2
362,4,2,3,51,4,4,125,0
352,4,2,122,42,4,5,229,0
363,4,2,4,55,3,4,123,0
368,6,3,121,50,3,3,234,0
468,32,2,121,47,30,31,313,1
369,7,3,122,53,3,5,252,0
365,4,3,4,47,3,4,115,0
403,5,3,122,55,3,3,242,0
356,4,3,5,45,3,4,116,0
377,4,3,122,54,5,8,252,0
374,4,2,121,46,4,4,232,0
382,4,3,4,48,2,4,113,0
554,6,3,122,47,162,5,412,2
407,4,3,4,53,4,4,117,0
411,4,3,4,61,6,5,149,0
398,6,2,122,56,5,5,263,0
388,4,2,4,49,3,5,125,0
399,4,2,3,50,3,4,125,0
463,32,3,3,50,31,31,198,1
367,3,2,4,47,4,4,120,0
545,5,4,122,52,5,4,255,0
348,4,3,122,53,4,2,240,0
409,5,3,4,48,4,4,126,0
380,5,3,122,46,3,4,231,0
367,4,2,4,49,3,4,120,0
389,6,3,121,48,3,5,247,0
379,5,2,4,56,4,2,128,0
368,3,3,122,49,4,4,235,0
379,5,2,123,55,4,4,243,0
544,3,3,5,53,162,2,279,2
376,4,3,3,52,3,4,120,0
459,7,4,124,72,5,7,288,0
371,4,2,121,53,4,4,244,0
354,4,3,4,55,4,3,127,0
513,5,2,4,53,162,3,281,2
397,4,2,123,50,3,3,245,0
358,4,3,5,51,3,4,121,0
378,5,3,4,56,3,4,132,0
359,5,3,4,50,3,4,126,0
346,3,2,2,46,3,3,115,0
523,3,2,122,46,162,3,388,2
506,4,2,5,42,161,4,275,2
518,3,3,4,43,161,5,275,2
358,4,2,122,48,3,4,237,0
392,6,2,5,49,3,5,126,0
383,4,3,3,53,4,4,123,0
436,4,3,5,48,4,4,132,0
352,4,2,3,45,3,4,107,0
342,4,3,4,50,4,4,118,0
359,4,3,123,54,4,4,242,0
453,32,3,4,51,30,31,208,1
372,4,2,2,51,4,4,118,0
354,5,2,3,44,2,4,113,0
392,5,3,4,56,4,4,126,0
360,4,3,4,54,3,4,124,0
354,5,3,122,50,4,3,239,0
381,4,3,4,47,3,4,114,0
425,7,3,4,63,5,4,152,0
379,4,2,122,51,4,4,242,0
387,5,2,3,43,4,4,111,0
367,3,4,122,50,3,3,243,0
537,5,3,4,56,162,4,287,2
356,4,3,122,45,3,4,234,0
374,5,2,121,43,4,3,228,0
518,4,2,121,49,162,2,390,2
376,4,3,3,55,3,4,126,0
362,3,3,3,56,4,4,127,0
373,5,2,3,48,4,2,124,0
389,3,2,121,48,5,4,232,0
360,4,3,4,56,4,3,125,0
363,4,2,4,44,3,4,110,0
397,4,2,3,52,4,4,119,0
368,4,2,4,48,3,4,114,0
381,4,2,121,44,4,4,234,0
416,6,3,122,55,8,5,262,0
386,4,3,122,55,3,4,243,0
370,4,3,4,52,3,5,121,0
358,5,2,4,43,4,3,111,0
366,5,3,4,46,3,3,116,0
536,4,3,3,50,162,3,274,2
368,4,2,4,54,4,4,128,0
458,32,3,122,54,30,32,324,1
352,4,2,122,50,4,5,234,0
366,4,2,4,52,3,3,115,0
426,4,3,122,51,4,4,238,0
332,4,3,122,44,4,4,232,0
393,5,4,122,57,2,4,242,0
367,6,3,4,54,4,2,130,0
386,5,2,4,49,4,4,123,0
383,4,3,4,52,3,4,127,0
363,2,2,121,51,4,4,238,0
539,3,3,122,55,162,4,402,2
384,5,3,3,59,4,4,129,0
404,5,3,4,55,4,4,139,0
354,3,3,3,50,2,3,110,0
352,5,3,122,49,4,3,238,0
366,3,3,4,57,3,3,124,0
353,7,3,4,53,4,4,129,0
335,4,3,122,40,4,4,229,0
363,5,3,121,46,3,6,237,0
375,4,3,123,58,4,3,251,0
370,4,2,122,48,4,4,237,0
383,5,3,121,50,4,3,244,0
359,4,2,121,49,4,3,235,0
364,3,2,122,50,3,4,233,0
411,6,4,4,49,4,5,136,0
355,5,3,3,48,3,4,116,0
471,33,3,5,45,32,32,215,1
443,31,3,121,48,30,31,316,1
600,4,3,4,35,162,4,258,2
353,3,2,4,46,3,3,114,0
415,5,3,122,50,4,4,241,0
360,3,3,122,44,2,4,218,0
366,4,3,3,47,3,3,115,0
383,3,3,4,46,4,3,121,0
358,4,3,122,49,3,4,243,0
442,32,3,123,51,32,30,323,1
371,4,3,4,46,3,4,113,0
361,4,3,5,51,5,3,126,0
398,6,2,122,40,5,4,241,0
385,4,3,123,49,4,4,241,0
537,5,3,122,46,161,5,394,2
378,5,2,4,54,4,3,126,0
402,4,3,122,50,3,4,242,0
361,5,3,4,45,3,3,110,0
401,4,3,122,51,3,4,246,0
365,3,3,4,52,3,4,128,0
376,4,3,121,51,4,4,236,0
439,32,3,5,46,31,32,206,1
