Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
366,4,3,4,55,3,3,125,0
384,5,4,5,55,3,3,130,0
377,5,3,123,57,2,2,243,0
413,5,5,124,61,3,4,257,0
401,5,4,4,59,3,4,139,0
521,4,141,122,58,3,3,381,2
374,4,3,4,59,3,3,123,0
448,103,2,3,54,2,3,222,1
361,3,3,122,57,2,3,239,0
369,4,4,4,55,3,3,123,0
421,7,4,4,69,5,3,166,0
401,5,2,122,56,3,4,247,0
382,3,2,122,57,4,3,242,0
427,6,3,4,63,4,4,156,0
379,4,3,122,53,2,2,246,0
452,6,5,122,63,4,3,271,0
381,3,4,123,57,2,3,245,0
494,3,140,123,53,3,3,375,2
361,3,3,123,63,3,3,248,0
398,5,3,3,56,3,3,124,0
387,4,3,122,60,3,3,243,0
346,4,3,122,58,3,3,247,0
363,3,2,4,56,2,3,123,0
501,6,2,4,57,3,8,140,0
397,4,3,5,70,1,2,138,0
348,5,3,4,60,2,2,125,0
389,4,3,122,56,3,3,240,0
484,4,3,5,48,2,4,118,0
515,4,141,4,51,3,2,254,2
471,103,3,5,59,3,4,225,1
391,5,4,4,63,3,5,138,0
351,3,3,4,64,4,2,132,0
372,4,3,122,56,3,3,242,0
430,5,3,122,67,4,4,271,0
381,3,3,4,60,3,3,128,0
367,3,3,3,54,3,3,120,0
500,4,142,123,52,3,2,377,2
489,103,3,4,49,2,4,215,1
379,4,3,4,59,2,3,126,0
364,3,3,4,55,3,3,120,0
362,5,3,4,48,2,3,113,0
359,2,3,123,60,3,3,240,0
374,5,3,121,52,2,3,236,0
374,3,4,122,55,3,3,238,0
375,4,3,4,55,3,2,123,0
448,103,2,4,54,3,4,222,1
399,5,3,5,54,2,4,128,0
412,6,4,5,63,4,4,156,0
427,4,3,121,63,3,3,264,0
505,3,141,122,57,2,2,379,2
371,3,2,122,53,3,3,238,0
472,103,6,6,56,3,3,228,1
417,6,4,6,69,6,5,166,0
380,5,2,4,49,3,2,118,0
398,5,3,122,54,4,3,243,0
480,5,3,123,56,3,2,242,0
540,5,141,122,50,3,3,382,2
378,5,2,6,51,3,4,124,0
388,4,3,4,61,3,3,132,0
415,4,4,5,52,3,3,126,0
408,5,3,4,56,4,3,134,0
383,3,3,5,60,3,2,124,0
419,5,4,122,61,3,4,261,0
375,4,3,5,54,3,2,119,0
364,4,3,4,56,2,2,120,0
379,3,3,4,55,2,3,122,0
381,4,3,122,56,3,3,241,0
368,3,3,123,55,2,3,235,0
478,104,2,4,53,3,4,225,1
541,3,141,122,55,3,3,383,2
489,104,3,5,59,1,3,232,1
534,4,141,123,55,3,3,375,2
372,3,2,4,49,3,2,116,0
374,4,3,4,52,3,3,137,0
376,3,3,122,54,3,3,239,0
381,5,3,4,58,2,2,125,0
357,4,4,123,48,2,4,239,0
379,4,2,122,59,3,3,244,0
397,4,3,122,51,2,2,243,0
367,3,3,122,59,3,3,242,0
433,5,3,123,63,3,5,267,0
391,6,3,122,53,3,3,247,0
361,4,4,123,57,3,3,247,0
359,4,3,123,55,3,3,242,0
431,4,3,5,55,2,3,123,0
382,4,4,123,60,3,3,244,0
365,5,3,4,51,3,3,122,0
472,103,3,121,56,2,4,333,1
364,4,3,5,57,3,3,128,0
359,3,2,3,49,2,3,108,0
361,4,3,4,55,3,4,127,0
388,4,4,122,61,3,4,250,0
505,4,141,4,50,1,5,248,2
370,5,3,122,54,2,3,237,0
515,4,141,122,60,3,2,379,2
