Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
374,4,3,122,63,3,3,254,0
384,5,3,122,59,3,3,246,0
514,5,3,122,50,141,4,379,2
371,4,3,122,62,3,4,246,0
408,5,4,122,62,4,3,259,0
385,4,2,4,58,3,3,122,0
372,4,3,5,59,3,4,125,0
391,4,3,122,62,4,3,254,0
376,3,3,122,61,2,4,244,0
388,4,3,122,59,3,3,250,0
379,4,3,5,64,2,4,139,0
570,4,3,4,57,141,2,259,2
366,3,4,5,57,2,3,128,0
440,4,4,123,75,4,4,283,0
383,5,4,5,66,3,2,142,0
399,3,2,122,56,4,3,242,0
477,7,4,123,81,10,8,303,0
391,5,3,4,60,3,3,134,0
402,5,3,121,57,2,5,248,0
406,3,3,4,59,3,3,131,0
419,4,4,123,87,3,3,275,0
367,4,3,123,63,3,3,247,0
510,5,2,4,58,141,3,269,2
517,55,4,123,122,3,3,365,1
367,3,3,6,55,5,4,133,0
366,3,3,5,59,3,3,129,0
515,5,4,122,54,142,3,382,2
515,4,4,124,67,141,3,396,2
409,4,3,4,65,3,4,141,0
385,3,4,3,60,3,3,125,0
382,7,3,6,68,2,4,143,0
396,3,3,123,66,3,2,253,0
408,5,4,123,67,3,3,258,0
384,4,3,123,55,3,3,239,0
420,5,2,5,62,4,3,146,0
407,4,4,123,58,2,3,249,0
511,4,5,6,55,141,3,268,2
365,3,3,123,55,3,3,241,0
350,4,4,123,61,3,3,247,0
371,2,4,123,59,3,2,247,0
391,5,3,4,71,2,3,142,0
424,5,4,122,72,3,3,277,0
513,3,4,5,65,141,2,269,2
529,54,4,123,120,3,4,363,1
380,3,4,5,65,3,3,132,0
381,4,3,123,59,5,3,249,0
404,3,4,3,67,3,3,139,0
382,4,4,123,66,3,3,260,0
387,4,4,124,74,3,4,271,0
365,3,2,122,78,2,3,255,0
385,4,4,124,67,3,3,262,0
559,5,4,5,66,141,3,278,2
529,4,3,4,56,141,3,261,2
516,4,3,4,56,141,3,262,2
376,4,3,5,58,3,4,127,0
508,4,3,122,59,141,4,383,2
384,4,3,123,63,3,3,250,0
419,4,3,122,63,3,3,252,0
444,4,4,123,80,3,5,291,0
425,4,3,123,59,3,4,254,0
374,4,4,123,63,3,3,248,0
384,4,2,5,58,4,4,141,0
358,2,3,4,62,3,3,128,0
419,5,4,122,61,3,4,263,0
491,55,4,122,121,3,3,359,1
371,3,4,5,60,3,3,126,0
495,54,3,123,117,3,3,352,1
363,3,3,122,57,2,2,237,0
519,55,4,123,123,4,3,374,1
396,6,4,5,65,2,2,143,0
361,3,3,4,56,3,3,121,0
387,5,3,123,59,3,3,253,0
434,6,5,123,67,3,4,283,0
388,4,4,3,47,2,3,115,0
525,4,4,6,60,142,2,277,2
392,3,3,5,59,4,4,130,0
392,3,4,5,69,3,3,136,0
453,5,3,122,60,3,4,276,0
437,4,3,122,53,3,3,252,0
400,4,3,3,62,3,4,124,0
389,3,4,5,66,3,4,140,0
347,4,2,121,46,2,2,223,0
535,3,3,5,73,141,2,279,2
387,5,3,122,61,3,3,248,0
382,3,4,6,63,3,4,128,0
404,4,2,3,61,3,3,126,0
374,3,3,5,60,3,3,130,0
380,3,4,4,62,2,3,131,0
380,3,3,4,60,3,3,130,0
509,54,3,123,121,4,3,359,1
514,54,3,4,121,3,4,243,1
364,4,4,123,56,3,2,242,0
392,4,6,4,71,3,4,142,0
366,3,3,5,65,4,3,139,0
403,4,4,123,58,3,4,250,0
382,3,3,122,64,3,3,252,0
379,4,18,3,55,2,2,160,0
376,8,4,4,53,3,3,129,0
381,4,4,6,67,3,3,141,0
393,4,3,4,46,3,3,116,0
445,6,4,123,76,5,3,285,0
384,4,3,122,65,4,3,253,0
548,4,3,123,65,142,4,398,2
426,5,3,4,66,3,3,148,0
440,5,4,6,75,4,5,172,0
420,5,4,4,82,3,4,154,0
493,53,3,122,124,3,3,361,1
496,3,2,5,54,140,4,257,2
493,54,2,123,117,2,4,355,1
517,3,3,123,61,141,3,383,2
382,3,3,4,63,3,2,128,0
447,3,4,123,68,3,3,257,0
374,4,3,4,63,3,3,134,0
346,3,4,123,56,4,5,247,0
404,3,4,4,71,3,3,138,0
364,4,2,5,60,2,2,122,0
536,4,4,122,61,142,3,386,2
394,4,3,122,64,3,4,249,0
401,4,3,4,57,3,4,128,0
403,3,3,5,54,3,3,127,0
388,3,2,3,60,2,3,122,0
369,4,4,5,59,3,3,133,0
388,6,4,122,66,4,3,271,0
386,4,3,122,64,4,2,258,0
386,2,5,124,62,2,3,252,0
435,5,4,5,73,4,5,165,0
377,5,3,4,59,3,3,137,0
370,3,3,4,61,3,3,138,0
359,5,2,4,58,2,3,127,0
419,5,3,4,65,15,4,160,0
520,56,3,5,122,3,4,250,1
514,54,3,122,123,3,3,365,1
512,55,3,122,117,3,4,361,1
376,4,2,123,60,2,3,245,0
495,55,3,3,118,2,3,242,1
452,4,4,123,64,4,5,268,0
504,3,6,4,64,141,3,274,2
400,3,3,122,55,3,3,238,0
481,3,3,5,62,2,3,123,0
368,4,4,123,64,3,3,251,0
368,4,3,6,65,4,4,135,0
395,5,4,123,65,3,4,262,0
421,4,3,122,59,3,3,258,0
386,3,3,122,57,2,4,249,0
549,55,2,123,132,3,3,390,1
386,4,3,5,61,4,4,141,0
542,5,4,5,68,142,4,280,2
513,55,3,4,124,3,3,242,1
514,3,3,123,55,141,3,375,2
441,5,3,122,56,3,4,244,0
432,3,4,122,63,3,4,249,0
505,53,3,122,135,2,4,373,1
399,3,3,5,58,3,4,134,0
402,4,5,4,64,3,4,133,0
396,4,3,5,68,3,3,146,0
528,6,3,122,57,142,4,388,2
364,3,3,122,59,3,3,245,0
418,4,4,123,64,2,3,256,0
359,4,4,123,63,3,4,249,0
381,4,4,5,61,2,3,136,0
533,4,3,4,56,141,3,265,2
519,3,3,123,65,141,3,386,2
389,5,3,123,62,7,4,257,0
406,3,5,4,68,4,4,145,0
409,4,3,122,52,6,4,248,0
425,5,3,4,60,4,3,143,0
388,3,4,122,65,2,3,254,0
534,3,3,122,67,165,3,414,2
385,4,2,123,55,2,3,246,0
518,6,4,122,63,141,3,392,2
523,5,3,5,58,142,2,268,2
427,4,4,122,63,3,4,258,0
388,3,3,121,57,3,4,244,0
406,5,4,123,66,4,2,260,0
371,5,3,121,55,3,3,250,0
547,5,3,123,71,141,4,404,2
417,3,3,122,59,3,2,246,0
396,4,4,121,57,2,3,249,0
413,4,3,123,65,4,3,254,0
531,4,4,123,65,142,3,390,2
397,4,4,3,59,3,4,132,0
562,5,3,4,68,144,4,292,2
373,4,5,5,63,3,3,134,0
396,3,3,4,56,3,3,126,0
359,3,3,123,60,3,4,242,0
529,4,3,4,64,141,3,268,2
403,6,4,122,72,3,3,271,0
495,54,3,122,119,4,4,361,1
382,3,4,5,67,2,3,133,0
519,57,3,4,127,2,3,246,1
354,3,3,123,62,3,3,249,0
393,4,4,122,64,3,2,253,0
