Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
373,4,3,4,55,3,3,121,0
358,3,3,122,52,3,4,239,0
363,4,3,4,47,3,3,113,0
490,4,3,3,166,4,3,241,1
392,4,3,122,46,3,3,237,0
382,5,3,122,55,8,4,250,0
365,4,3,4,50,3,4,120,0
467,7,4,4,63,4,5,163,0
538,3,3,4,203,3,3,269,2
532,7,4,3,165,4,4,250,1
373,4,3,4,50,3,4,125,0
375,4,3,122,52,4,5,243,0
357,3,3,4,46,3,4,110,0
366,5,2,4,40,3,4,110,0
501,4,3,4,166,3,4,236,1
373,5,3,122,53,4,4,251,0
505,5,3,123,173,4,4,370,1
491,4,2,4,165,3,4,234,1
349,5,1,122,48,2,5,231,0
373,5,2,122,46,3,3,235,0
514,6,4,4,167,4,4,250,1
369,4,3,121,54,3,3,237,0
421,7,3,5,57,4,5,147,0
367,3,2,122,49,4,3,235,0
372,4,3,3,51,2,4,116,0
553,7,2,4,209,3,4,281,2
377,5,3,4,50,3,3,118,0
381,4,4,4,52,3,4,123,0
366,4,3,122,49,3,4,239,0
422,7,4,4,59,5,3,152,0
377,4,2,4,49,2,3,118,0
504,7,3,122,164,3,3,359,1
362,5,3,129,54,3,3,268,0
385,5,2,3,44,3,4,111,0
365,4,3,4,52,3,3,120,0
483,3,2,122,167,2,3,349,1
547,5,3,122,173,3,5,371,1
409,5,3,4,56,4,4,134,0
465,6,4,123,61,5,5,281,0
372,4,2,4,46,3,4,113,0
378,4,2,123,54,3,3,237,0
359,5,2,4,52,4,4,124,0
397,4,2,121,49,4,4,242,0
370,4,3,4,49,3,4,121,0
417,5,3,4,62,4,4,146,0
373,3,2,3,47,3,3,110,0
351,4,2,3,47,3,3,114,0
364,4,2,4,44,3,2,110,0
464,4,2,3,168,3,4,235,1
358,4,3,122,46,3,3,237,0
368,4,3,3,47,3,4,108,0
494,5,3,121,166,3,4,352,1
542,4,2,122,204,3,4,392,2
417,6,3,5,45,3,3,127,0
