Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
384,3,3,4,50,4,4,117,0
429,6,3,4,44,2,3,124,0
375,3,3,4,47,4,3,121,0
357,5,2,3,38,3,3,101,0
421,4,3,4,51,3,3,134,0
422,5,3,3,53,3,5,142,0
413,5,3,3,48,3,5,135,0
384,4,2,4,49,2,3,119,0
509,73,2,4,44,72,3,253,2
345,3,1,2,43,2,2,96,0
362,9,3,4,45,3,3,111,0
356,3,3,3,52,3,3,112,0
367,4,2,4,43,3,3,105,0
398,5,3,4,46,3,3,116,0
480,54,3,5,107,3,4,230,1
403,4,3,4,55,3,3,134,0
485,54,2,4,109,3,3,228,1
386,5,3,4,51,3,3,126,0
367,3,3,4,51,2,2,128,0
337,3,3,4,46,3,3,113,0
444,6,3,5,60,5,4,164,0
365,4,3,4,49,3,3,117,0
378,4,3,4,47,3,3,117,0
353,2,2,3,47,1,3,106,0
366,4,3,4,54,3,3,119,0
445,3,2,3,45,3,3,115,0
356,4,2,3,43,3,4,107,0
398,7,3,4,53,3,3,134,0
347,5,2,3,47,3,3,112,0
382,4,4,4,53,3,3,128,0
461,55,2,3,109,3,4,227,1
385,4,3,3,51,2,3,118,0
351,3,2,5,49,3,3,114,0
512,53,3,4,110,3,3,230,1
381,4,3,4,46,3,3,111,0
373,3,3,5,46,3,3,113,0
523,55,3,4,111,3,3,234,1
491,54,3,3,112,3,3,234,1
367,4,3,4,46,3,3,115,0
354,4,3,3,50,3,3,123,0
375,3,3,4,48,3,3,117,0
363,3,3,3,47,2,3,120,0
458,6,3,4,60,4,4,155,0
496,54,3,4,106,3,3,233,1
513,54,2,4,109,3,3,237,1
407,5,3,4,45,2,4,126,0
504,73,3,4,40,72,3,252,2
372,3,3,4,48,3,3,132,0
393,4,3,3,52,3,3,118,0
372,4,3,4,54,3,3,127,0
359,4,3,4,53,3,3,123,0
389,4,3,3,53,2,3,132,0
348,2,2,4,45,2,3,108,0
363,3,3,4,48,3,3,114,0
356,4,3,4,49,2,3,112,0
419,5,3,4,52,4,5,143,0
398,3,2,3,43,3,3,112,0
347,3,2,4,42,3,3,103,0
418,5,3,4,52,2,3,124,0
342,4,3,4,52,3,2,117,0
394,4,3,5,52,3,3,130,0
512,74,2,4,48,72,3,257,2
351,3,2,3,42,3,3,109,0
461,55,2,4,108,3,4,225,1
351,4,2,3,46,3,3,110,0
352,4,3,3,44,3,3,112,0
365,4,2,3,50,3,3,116,0
470,54,3,4,102,3,3,219,1
366,4,3,4,46,3,3,115,0
361,5,3,5,49,3,3,122,0
422,7,3,4,60,3,7,160,0
458,53,2,2,102,2,3,216,1
416,5,3,5,54,3,4,147,0
565,74,2,3,57,74,4,279,2
388,5,3,4,53,3,3,128,0
377,5,2,4,53,3,4,123,0
356,4,2,3,48,3,3,119,0
367,3,2,3,49,2,3,114,0
446,5,3,5,61,5,3,151,0
489,73,3,4,38,73,3,243,2
361,3,3,4,49,2,3,115,0
391,5,3,3,46,3,4,126,0
342,4,2,3,48,3,3,109,0
360,5,4,5,44,3,3,112,0
495,73,2,4,44,71,4,248,2
378,4,3,4,48,3,2,117,0
413,4,2,5,54,4,5,139,0
370,7,3,3,48,3,3,116,0
381,4,3,3,43,3,3,111,0
428,6,4,4,50,3,4,134,0
378,5,2,4,44,3,3,111,0
373,4,2,4,45,3,4,113,0
366,3,2,3,40,3,2,115,0
373,4,2,3,47,2,3,113,0
355,4,4,5,55,3,3,125,0
381,5,3,4,45,3,3,118,0
495,73,2,4,51,72,3,263,2
374,5,3,4,48,2,3,116,0
527,74,3,4,49,72,4,261,2
573,74,3,4,50,73,4,275,2
480,55,3,4,109,3,3,232,1
430,5,3,4,51,4,3,148,0
496,55,3,4,114,4,4,241,1
440,5,3,4,53,3,3,129,0
354,3,2,4,43,2,3,111,0
430,8,3,5,46,2,3,128,0
370,4,3,8,53,3,3,126,0
342,3,2,3,45,3,3,111,0
350,3,3,4,41,3,2,110,0
361,4,2,3,50,2,3,115,0
405,4,2,3,48,3,3,116,0
368,3,3,3,46,3,3,117,0
411,4,2,4,43,3,3,115,0
365,4,3,4,53,3,3,124,0
374,7,3,3,46,3,3,120,0
378,4,3,4,50,3,3,120,0
392,5,3,4,52,3,3,131,0
381,3,3,3,44,3,3,118,0
390,5,3,5,46,3,3,120,0
366,4,2,4,47,3,3,116,0
354,3,3,4,49,3,3,116,0
387,5,3,4,49,3,4,126,0
385,4,3,4,48,2,3,121,0
421,4,4,4,64,3,4,161,0
369,4,2,2,53,3,4,123,0
379,4,4,4,50,2,2,123,0
380,4,4,5,51,3,2,116,0
373,6,3,4,48,4,4,121,0
367,4,2,5,48,2,3,120,0
528,73,2,3,50,73,4,258,2
360,3,2,4,48,3,3,112,0
408,5,3,4,56,3,3,134,0
381,14,2,4,46,4,3,124,0
373,3,2,4,48,3,3,118,0
365,5,2,4,40,3,4,112,0
448,6,3,4,56,4,5,156,0
378,4,4,4,47,3,3,118,0
365,4,2,3,48,3,3,117,0
337,3,2,4,43,3,3,108,0
362,4,3,4,47,2,3,116,0
393,4,3,3,46,3,3,113,0
370,3,2,3,43,2,3,113,0
372,4,3,5,46,2,3,120,0
371,4,2,4,45,3,4,112,0
364,4,3,3,51,2,3,111,0
384,3,3,4,49,3,2,117,0
398,6,3,5,53,3,4,135,0
352,3,2,3,45,3,4,111,0
334,4,2,3,42,3,3,106,0
429,4,3,4,59,4,5,147,0
508,54,3,3,103,2,4,224,1
358,4,3,4,48,3,3,116,0
358,4,3,4,48,3,3,119,0
486,54,2,4,109,3,3,235,1
413,6,4,5,57,4,2,156,0
381,5,2,3,44,3,3,114,0
360,3,3,4,39,3,4,106,0
383,4,2,4,40,3,4,111,0
349,4,2,3,41,3,3,109,0
488,55,2,4,105,3,4,227,1
388,4,3,4,46,4,3,120,0
351,4,2,4,44,3,3,112,0
531,73,2,4,41,72,4,248,2
358,3,3,4,48,3,3,116,0
403,4,3,3,50,3,3,125,0
415,5,3,3,50,4,3,130,0
355,4,3,3,45,6,4,121,0
359,4,3,3,43,3,3,110,0
361,4,3,4,43,3,3,109,0
566,75,3,4,53,73,5,285,2
508,74,2,4,45,72,4,252,2
519,73,2,3,47,72,2,248,2
493,53,3,3,108,3,3,230,1
398,5,2,3,53,4,5,146,0
368,3,2,4,50,3,3,116,0
500,73,2,4,51,72,2,261,2
381,4,2,3,44,3,3,114,0
534,73,3,4,59,72,4,269,2
372,3,2,4,47,3,3,115,0
370,4,2,4,45,3,4,122,0
365,3,3,4,44,3,3,110,0
399,3,3,4,40,2,3,103,0
386,4,4,2,53,3,6,129,0
490,54,2,4,110,3,4,235,1
498,72,2,3,42,72,4,248,2
442,5,2,4,51,3,4,143,0
365,4,2,3,48,3,4,119,0
483,54,3,4,106,3,5,234,1
338,3,2,2,46,2,2,104,0
373,4,4,4,47,3,3,116,0
387,5,2,4,46,3,3,117,0
502,73,2,4,48,72,3,255,2
355,4,3,4,44,4,3,112,0
342,3,2,3,42,3,3,105,0
357,5,2,5,45,3,3,115,0
522,73,3,4,45,72,2,249,2
355,3,2,3,49,3,3,117,0
365,4,3,3,46,3,3,113,0
379,4,3,6,48,3,3,126,0
493,72,3,3,49,71,2,257,2
374,4,3,4,55,4,4,125,0
366,3,2,5,56,2,3,122,0
385,4,2,4,49,3,3,115,0
478,54,2,4,106,2,3,228,1
345,2,3,2,40,3,4,102,0
375,3,3,4,48,3,3,117,0
506,53,2,4,107,3,3,222,1
370,3,2,3,48,3,3,114,0
364,4,3,4,45,3,4,112,0
356,4,3,4,43,3,3,109,0
379,4,3,3,48,3,3,114,0
365,5,2,3,53,3,4,123,0
380,4,2,3,40,5,3,110,0
494,73,3,4,41,73,3,248,2
349,4,2,5,21,2,3,67,0
364,4,2,2,49,3,3,110,0
362,4,2,4,41,3,3,106,0
382,4,3,4,48,3,4,124,0
421,3,8,4,46,3,3,120,0
377,4,2,3,52,3,3,118,0
531,56,3,4,116,3,6,256,1
437,4,4,4,54,5,4,150,0
