Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
357,3,3,127,51,2,2,236,0
375,3,2,126,47,3,4,235,0
357,3,4,127,49,3,3,236,0
349,4,3,5,51,2,3,118,0
357,3,3,3,51,2,2,115,0
452,4,2,127,48,95,3,330,2
353,3,2,4,45,2,2,106,0
357,3,2,127,46,2,3,233,0
449,4,3,5,49,95,3,205,2
363,3,4,4,47,2,3,113,0
431,3,2,127,51,95,2,323,2
440,3,3,3,40,96,3,195,2
367,3,3,2,47,2,2,110,0
351,3,3,4,45,2,2,104,0
349,3,3,126,44,2,2,232,0
342,2,3,4,42,2,3,100,0
368,5,2,4,48,2,3,117,0
379,3,2,127,49,3,3,234,0
369,4,2,126,51,2,3,240,0
499,3,3,127,203,2,3,390,1
350,3,2,126,49,2,2,233,0
414,3,2,127,49,2,3,234,0
345,3,2,127,47,2,2,235,0
383,3,3,4,49,2,2,111,0
498,7,3,126,45,96,3,347,2
365,4,3,4,51,2,3,118,0
423,3,2,3,41,95,3,194,2
514,2,2,4,203,2,2,262,1
341,4,3,126,46,3,3,239,0
331,4,2,127,47,2,2,223,0
363,4,2,3,40,3,3,107,0
347,3,3,127,44,2,3,237,0
356,4,2,3,48,3,2,113,0
397,4,3,3,50,4,3,120,0
362,3,3,127,57,2,3,245,0
354,3,2,4,49,2,3,118,0
356,3,2,3,53,2,3,113,0
356,5,3,126,46,2,3,235,0
333,3,3,127,52,2,2,233,0
361,3,3,3,48,2,3,107,0
377,3,3,127,54,3,3,247,0
369,3,3,5,53,2,3,118,0
379,4,2,3,51,3,3,117,0
499,4,2,4,205,2,3,268,1
363,4,2,3,49,2,3,119,0
362,4,3,126,53,2,3,239,0
360,3,2,126,47,2,2,231,0
344,4,2,127,49,3,3,241,0
342,3,3,127,47,3,3,238,0
385,4,2,127,48,3,3,238,0
381,5,3,3,49,3,3,124,0
516,5,2,4,200,2,3,270,1
351,3,2,3,47,2,3,109,0
394,6,2,5,48,3,4,124,0
340,3,3,127,48,2,2,233,0
500,5,3,3,49,97,4,225,2
357,4,3,4,48,3,2,108,0
500,3,2,127,203,2,3,390,1
355,3,3,4,48,3,2,110,0
517,3,2,127,203,2,3,393,1
530,4,3,126,202,2,4,399,1
396,3,3,128,53,2,2,244,0
379,4,2,126,64,2,2,247,0
364,4,2,4,49,2,3,112,0
359,4,3,127,48,3,3,237,0
429,3,3,4,42,96,3,199,2
364,3,2,4,48,3,2,113,0
335,3,2,126,44,3,3,228,0
355,3,2,4,44,3,3,105,0
404,5,3,127,52,3,4,251,0
356,3,3,4,54,3,3,120,0
359,4,3,127,47,2,3,236,0
388,4,3,4,55,3,3,128,0
367,4,3,3,53,2,2,113,0
370,3,2,126,46,2,2,229,0
402,4,3,4,59,3,3,127,0
408,4,3,127,61,3,3,250,0
374,3,2,4,42,5,3,107,0
426,6,3,127,60,3,4,275,0
364,4,3,127,55,3,2,247,0
388,2,3,126,43,3,4,226,0
382,3,3,3,44,2,2,104,0
527,4,2,4,207,3,3,275,1
357,4,3,126,42,3,3,240,0
444,3,3,127,48,96,2,330,2
381,3,3,3,45,2,3,112,0
419,4,3,125,49,2,3,232,0
350,4,2,4,47,2,3,111,0
427,6,3,3,63,3,4,159,0
340,3,4,5,50,3,2,112,0
368,3,3,4,52,3,2,115,0
372,4,2,4,49,3,2,116,0
360,4,5,5,45,2,2,115,0
360,3,3,4,54,2,2,113,0
508,4,2,3,205,3,2,271,1
379,3,3,4,46,2,2,112,0
475,4,4,129,50,95,2,345,2
356,4,4,127,47,2,3,238,0
371,4,3,127,53,2,3,240,0
345,4,3,5,49,3,2,115,0
357,3,2,127,49,2,3,240,0
364,14,3,127,46,2,3,242,0
369,3,3,4,47,3,3,116,0
357,5,3,127,50,3,4,248,0
337,3,2,127,53,2,3,231,0
454,3,3,127,51,95,2,338,2
419,4,2,126,56,3,3,245,0
357,3,2,127,45,3,3,227,0
531,3,2,4,209,2,3,271,1
343,4,2,2,45,3,2,110,0
358,4,2,126,50,3,2,234,0
373,4,4,4,51,2,2,126,0
364,3,2,127,47,3,3,237,0
455,4,3,127,44,95,4,327,2
359,4,2,126,48,3,3,235,0
344,3,3,3,51,2,2,115,0
339,2,3,126,51,3,2,239,0
352,4,3,127,52,3,2,243,0
443,5,3,4,60,7,5,154,0
368,3,3,127,52,2,2,239,0
451,3,3,127,48,96,2,331,2
352,3,3,127,45,2,3,234,0
385,4,3,127,62,3,3,253,0
384,4,2,4,47,2,3,114,0
345,3,3,3,49,3,2,112,0
455,4,2,4,48,96,3,201,2
365,3,2,4,52,3,3,115,0
364,4,3,126,49,3,3,239,0
349,4,3,127,47,3,2,233,0
349,3,2,4,47,2,3,107,0
352,3,3,3,48,3,2,112,0
402,4,2,2,48,3,4,118,0
355,4,2,126,43,2,3,227,0
461,3,2,126,45,3,2,231,0
382,3,2,127,44,3,3,234,0
342,4,3,4,55,2,2,119,0
382,4,3,4,55,2,3,120,0
365,3,2,4,60,4,3,123,0
331,2,3,127,45,2,3,228,0
366,3,2,3,47,3,2,111,0
525,3,2,4,199,2,3,263,1
350,3,2,3,46,1,2,103,0
488,5,3,4,53,96,4,216,2
386,3,3,4,55,3,3,124,0
365,4,2,3,54,3,3,120,0
366,3,2,127,45,2,3,234,0
551,6,2,4,205,3,4,282,1
520,4,3,2,204,3,4,283,1
381,4,2,127,47,4,4,246,0
349,3,3,5,48,3,2,111,0
344,3,3,126,39,2,3,222,0
354,4,2,127,49,2,2,232,0
379,4,2,4,48,3,3,120,0
362,3,3,126,46,2,2,236,0
506,4,2,126,200,3,3,386,1
364,4,3,126,43,3,3,230,0
351,4,3,127,47,3,3,236,0
347,4,2,4,47,3,3,108,0
387,6,2,127,56,3,3,249,0
407,4,3,127,52,2,4,239,0
337,2,3,126,46,3,4,238,0
358,4,3,5,49,2,3,109,0
