Latency,CategoriesControllerGetcategory,ItemsControllerFindfeaturesitemrandom,ItemsControllerFinditemrandom,ItemsControllerFinditemsrandombyidproduct,ProductsControllerFindproduct,ProductsControllerFindproductrandom,GatewayGet,anomaly
363,4,3,122,57,3,3,237,0
378,4,3,122,53,2,3,240,0
383,4,3,123,52,2,3,239,0
387,5,2,4,51,3,3,118,0
439,44,44,5,47,3,2,183,1
366,5,3,4,50,3,4,113,0
380,5,2,123,65,4,3,252,0
583,59,56,4,114,6,4,317,2
453,6,4,122,63,5,4,271,0
359,3,2,4,48,2,2,107,0
388,5,3,122,54,3,3,244,0
390,4,2,121,49,6,3,242,0
371,4,3,121,54,3,3,235,0
435,8,3,4,62,4,6,154,0
556,44,44,4,55,2,2,201,1
440,4,3,122,50,3,3,272,0
444,45,43,5,53,2,3,197,1
423,3,3,122,53,3,3,238,0
413,6,4,122,59,3,4,257,0
411,5,5,123,56,4,4,265,0
370,6,3,121,46,2,4,232,0
360,4,2,3,45,3,3,109,0
348,4,4,4,43,2,3,105,0
394,4,3,122,61,2,3,246,0
351,4,2,5,51,3,4,117,0
569,58,56,4,115,4,4,291,2
369,3,3,5,49,2,3,111,0
376,5,3,121,60,3,3,248,0
391,5,3,5,49,4,4,119,0
362,4,2,4,54,3,3,120,0
468,44,43,122,51,4,3,321,1
366,3,3,4,49,3,3,111,0
390,4,3,4,53,2,3,117,0
373,4,3,4,53,3,3,121,0
382,6,3,4,48,3,3,115,0
368,4,3,122,53,3,3,242,0
528,58,56,3,110,3,4,284,2
441,44,43,4,52,3,3,200,1
385,6,3,122,47,3,4,237,0
349,4,2,4,53,3,3,114,0
373,4,4,122,53,3,3,241,0
380,5,3,5,54,3,3,124,0
360,4,3,4,49,3,3,116,0
600,59,56,122,119,4,5,433,2
436,45,42,3,40,3,3,190,1
340,4,3,3,50,3,3,110,0
355,4,3,122,47,3,4,231,0
372,4,3,122,57,3,3,245,0
382,5,4,5,50,3,3,116,0
359,4,3,122,51,3,3,235,0
376,5,4,123,58,3,2,245,0
350,5,3,122,49,2,2,228,0
356,5,2,122,48,2,3,230,0
356,4,4,4,59,4,3,126,0
383,5,3,3,41,3,3,106,0
351,4,3,4,47,3,3,110,0
345,6,2,121,48,3,3,232,0
431,45,43,122,53,3,3,319,1
451,44,43,122,60,3,3,326,1
393,5,3,4,55,3,3,124,0
355,4,3,122,51,3,3,230,0
389,5,2,122,51,6,4,242,0
350,4,2,122,50,3,2,231,0
444,43,42,4,51,3,3,195,1
376,4,3,4,58,3,3,125,0
376,4,3,122,51,4,3,236,0
369,5,2,4,48,4,3,121,0
355,4,2,122,54,2,3,234,0
367,4,4,5,46,3,3,113,0
558,57,56,4,110,3,3,287,2
422,6,3,121,53,3,4,250,0
426,6,2,121,58,5,4,264,0
394,5,3,123,56,2,3,246,0
366,4,2,123,49,3,3,231,0
365,5,3,124,49,4,3,238,0
405,4,3,122,53,3,4,238,0
415,6,4,123,61,5,4,263,0
377,4,2,3,49,4,3,117,0
447,44,43,122,58,2,3,318,1
349,4,3,3,51,3,3,116,0
543,59,55,4,111,3,3,288,2
489,5,4,122,61,4,3,261,0
381,4,4,4,49,3,3,114,0
366,5,2,121,48,4,5,238,0
400,3,21,21,53,2,2,150,0
394,4,3,122,51,3,3,239,0
381,6,3,4,50,3,3,119,0
357,6,3,123,53,3,2,239,0
345,5,2,4,51,3,3,118,0
406,5,3,3,54,4,5,134,0
396,5,3,4,52,4,4,128,0
578,45,43,122,51,3,3,346,1
360,4,3,4,49,3,4,112,0
462,44,44,122,52,3,2,317,1
394,4,3,4,52,2,3,114,0
556,58,56,122,112,3,3,404,2
383,4,4,122,57,2,3,243,0
424,5,2,122,48,4,2,241,0
399,5,3,4,53,3,3,122,0
368,4,3,5,57,2,3,124,0
425,6,2,121,44,1,3,226,0
350,4,3,4,52,3,3,114,0
372,4,4,122,63,3,3,248,0
371,5,4,122,58,2,3,243,0
357,5,3,4,48,3,3,113,0
468,44,43,4,56,2,3,205,1
548,58,56,4,115,3,4,289,2
358,5,4,5,53,3,3,122,0
377,4,3,122,56,3,3,240,0
354,4,3,122,54,2,4,240,0
354,4,2,122,52,3,3,234,0
541,58,56,4,113,3,4,291,2
377,4,3,122,52,2,3,234,0
387,5,3,123,51,3,3,242,0
412,6,2,123,58,4,4,263,0
359,5,3,123,51,3,3,236,0
359,4,3,4,51,3,3,120,0
363,4,3,123,53,3,3,236,0
367,5,3,122,47,3,4,230,0
437,5,2,123,51,2,3,243,0
441,6,4,122,62,3,6,269,0
363,4,2,5,55,3,4,123,0
404,5,3,5,59,3,2,138,0
545,58,56,4,117,1,3,288,2
536,44,43,123,57,3,3,318,1
460,45,43,5,58,2,3,208,1
369,4,2,3,50,3,3,115,0
375,4,3,122,56,3,3,238,0
378,5,3,122,52,3,9,239,0
370,3,2,123,49,3,4,230,0
532,58,55,3,110,3,3,284,2
530,61,56,4,111,3,4,289,2
364,5,3,122,52,3,3,239,0
380,4,4,4,57,3,4,125,0
370,3,3,5,45,2,2,109,0
387,5,4,123,57,3,2,248,0
417,6,3,122,64,4,5,273,0
374,4,2,4,52,3,3,111,0
373,4,4,122,46,4,4,231,0
401,4,3,122,58,3,3,246,0
